Unnamed: 0,c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record
655,19800216026099I,I,91,-5,F,1980,2,16,19800216,1330,9,B,A, , ,V,S,LSG,1L71,1,L,7,1.0,3O  , , ,  ,  ,  ,213,2609, , , , ,15415,PIPER ,PA28140     ,PA28  ,2A13    ,SO,    ,,L ,      ,             ,      ,        ,  ,     ,SO,SO67,GA,CEDARTOWN      ,CORNELIUS MOORE               ,28,,315,2.0,,,2,N,B,S,1.0,BRKN,2500,G10,,,,,9,7,,,3,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19830201,,,,20120808,F3,N,5.0,3.0,S,43.0,K,2000.0,0.0,0.0,15000.0,SO,SO67,GA,"PILOT INDICATED ENGINE RUNNING ROUGH AFTER TAKEOFF, SO HE MADE EMERGENCY LANDING IN A FIELD.                       ",                              ,  ,    ,           ,  ,    ,      ,                    ,II,E,A, ,  , , , ,OC,IB,M,5,   ,N,N,N,F, , ,COMM PILOT FLIGHT IN,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Forced Landing      ,To Init Climb(1st Pw,                    ,Pilot Induced       ,Business            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, 
18569,19880209002149A,A,91,0.4,F,1988,2,9,19880209,1115,9,Y,J, , ,S,S,OTH,1M71,1,M,7,1.0,3O  ,3,O,  ,  ,  ,154552,214, ,Y, , ,814EZ,AMTRRU,VARIEZELONG ,VAREZE,EXPA1M71,GL,    ,1.0,M ,LYC   ,O235L2C      ,O235  ,E223    ,EA,O    ,EA,EA01,PA,PERKASIE       ,PENN RIDGE                    ,8,,,,,,1,E,B,S,1.0,CLER,,,,DRY,,,,,,,1,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,19880212,19880301.0,,,20120808,1,N,1.0,0.0,S,48.0,J,1.0,1.0,1.0,115.0,EA,EA05,PA,APPEARS LEFT TANK RAN DRY. UNFASTENED BELT TO TURN VALVE TO FULL TANK.  SELECTOR JAMMED. LOST CONTROL OF AIRCRAFT. ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,E,A, ,28, , ,K,IB,BC,S,8,   ,Y,Y,N,A, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,TEACHER             ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,2824,                    ,                    ,Jammed Or Malfunctio,Uncontroll Coll With,In Traffic Pattern-C,                    ,Pilot And Maintenanc,Personal            ,Experimental Test Fl,VFR                 ,Weather Not A Factor,Day                 ,"FAA Sts, Policies Or",Other               ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-MID WING            ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,Pilot and Ground Cre,                    ,,, 
16009,19990930029029A,A,91,0.4,N,1999,9,30,19990930,2240,9,B,D, , , ,O,LSG,1H71,1,H,7,1.0,3O  ,3,O,  ,  ,  ,153924,2902, ,N,Y, ,8092S,CESSNA,150F        ,150,3A19    ,CE,    ,3512.0,H ,CONT  ,O200A        ,O200  ,E252    ,SO,O    ,SW,SW15,OK,POTEAU         ,ROBERTS S KERR ARPT           ,36,RKR ,,,,,4,X,B,S,2.0,CLER,,10,,DRY,,RKR ,,,,,2,0.0,0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,20000317,20000317.0,,,20120808,F3,N,1.0,3.0,S,45.0,K,744.0,59.0,75.0,1178.0,SW,SW11,AR,"(.19) ON SEPTEMBER 30, 1999, AT 2240 CENTRAL DAYLIGHT TIME, A CESSNA 150F AIRPLANE, N8092S, WAS SUBSTANTIALLY DAMAG",                              ,  ,    ,           ,  ,    ,      ,None                ,AU,V,A, ,24, , ,I,IB,HA,S,8,   ,Y,U,U,A, ,8,COMM PILOT FLIGHT IN,ASEL                ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,                    ,2400,                    ,                    ,Improper Instal - No,Uncontroll Coll With,Level Off Touchdown ,                    ,Pilot And Maintenanc,Instruction         ,Training            ,VFR                 ,Weather Not A Factor,Night               ,Flight Personnel    ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,Pilot and Ground Cre,                    ,,, 
1837,20000426010729A,A,91,0.4,N,2000,4,26,20000426,1350,9,A,X, , , ,D,OTH,1H71,1,H,7,1.0,3O  ,3,O,CV,  ,  ,149572,1072, ,N, , ,76176,CESSNA,140,140,A768    ,CE,    ,,H ,CONT  ,C9012F       ,C90   ,E252    ,SO,O    ,SW,SW15,OK,HUNTER         ,,,,,,,,1,B,B,S,1.0,CLER,,10,,,,,,,,,1,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20001020,,20010612.0,,20120808,1,N,1.0,3.0,S,67.0,O,,,,1000.0,GL,GL15,MN,"(-23) THE PILOT WAS ON A CROSS COUNTRY FLIGHT FROM JUSTIN, TX. TO DES MOINES, IOWA. HE STATED THAT THE ENGINE LOST ",                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,  , , , ,OC,DA,S,5,   ,Y,U,U,F, ,8,PRIVATE PILOT       ,ASEL                ,INSTRUMENT          ,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Forced Landing      ,Normal Cruise       ,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,,, 
9625,19810319010689A,A,91,0.4,F,1981,3,19,19810319,1155,9,Z,Y, , , ,F,   ,1L71,1,L,7,1.0,3O  , , ,  ,  ,  ,80959,1068, , , , ,2022A,BEECH ,A36         ,36,3A15    ,CE,    ,825.0,L ,      ,             ,      ,        ,  ,     ,CE,CE64,KS,HILL CITY      ,,,,135,12.0,,,4,X,B,S,1.0,CLER,,G10,,,,,34,14,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19810320,,,,20120419,XX,N,0.0,1.0,S,50.0,N,22.0,22.0,22.0,22.0,CE,CE64,KS,ENGINE QUIT DUE TO FUEL EXHAUSTION ON RIGHT TANK. SELECTED LEFT TANK. FAILED TO USE BOOST PUMP. NOSED OVER LANDING.,                              ,  ,    ,           ,  ,    ,      ,None                ,ME,E,A, ,  , , , ,FX,DD,S,5,   ,N,N,N,H, ,8,STUDENT             ,NO RATING (OR STUDEN,STUDENT AIRPLANE OR ,QUALIFIED           ,OTHER               ,Fail/Incorrect Use M,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Nose Up Or Over     ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Instruction         ,Training            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, 
3291,19900802033759A,A,135,0.4,N,1990,8,2,19900802,713,9,Z,Y, , , ,O,OTH,1L72,1,L,7,2.0,3O  ,3,O,  ,  ,  ,72900,3375,A,N, , ,138P ,BEECH ,58P         ,58,A23CE   ,CE,    ,1760.0,L ,CONT  ,TSIO520WB    ,O520  ,E8CE    ,SO,O    ,NE,NE01,MA,SPRINGFIELD/CHI,WESTOVER METROPOLITAN         ,5,CEF ,,,,,5,S,B,S,1.0,CLER,,G10,,DRY,,CEF ,,0,,,3,2.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19900820,19900820.0,,,20120808,3,N,5.0,3.0,S,42.0,K,2050.0,60.0,60.0,5000.0,NE,NE03,MA,"ROUGH ENGINE ON LIFTOFF,ABORTED SAFELY BUT ENGINES DAMAGED BY JET FUEL PUMPED BY MISTAKE. PILOT FAILED TO CHECK.   ",PETER PAN WORLD TRAVEL INC    ,MA,PTZA,PTZA294H   ,NE,NE03,      ,None                ,II,E,A, ,SA,V,R, ,OB,IH,S,5,   ,Y,N,N,A,A,8,COMMERCIAL PILOT    ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,Improperly Serviced ,Other/Miscellaneous ,Ground Crew         ,                    ,Engine Malfunction  ,Forced/Precautionary,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Passengers          ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,Pilot and Ground Cre,Pilot and Ground Cre,,, 
29633,19791030053329I,I,91,-5,F,1979,10,30,19791030,2130,9,B,D, , , ,S,OPP,1L71,1,L,7,1.0,3O  , , ,  ,ZA,ZG,24572,5332, , , , ,5431P,PIPER ,PA24250     ,PA24  ,1A15    ,EA,    ,,L ,      ,             ,      ,        ,  ,     ,EA,EA21,MD,FREDERICK      ,MUNI                          ,19,,,,,,1,B,B,S,2.0,CLER,,7,HAZ,,,,31,15,,,5,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19840409,,,,20120808,1,N,1.0,0.0,S,,O,23.0,0.0,0.0,298.0,EA,EA07,MD,PILOT TOOK OFF AND CONTINUED NIGHT FLIGHT WITH BATTERY DISCHARING. MISUSED EMERGENCY GEAR SYSTEM.                  ,                              ,  ,    ,           ,  ,    ,      ,None                ,AU,V,A, ,GE,V,A, ,CC,HB,M,5,   ,U,U,N,F,F,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Fail To Use/Misuse E,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Gear Collapse       ,Roll-Out (Fixed Wing,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Night               ,Flight Personnel    ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,Unscheduled Landing ,Declared Emergency  ,                    ,                    ,,, 
4851,20001205025259A,A,91,0.4,N,2000,12,5,20001205,1138,9,A,X, , , ,O,OTH,1L71,1,L,7,1.0,3O  ,3,O,  ,  ,  ,106687,2525, ,N, , ,4101H,MOONEY,M20J        ,M20   ,2A3     ,SW,    ,3200.0,L ,CONT  ,IO360*       ,IO360 ,E1CE    ,CE,O    ,NE,NE03,CT,DANBURY        ,DANBURY MUNI                  ,26,DXR ,260,1.0,,,1,B,B,V,1.0,BRKN,90,10,,,,DXR ,19,5,,,3,2.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,20010123,,20020411.0,,20120808,9,N,5.0,3.0,S,66.0,O,960.0,43.0,43.0,28308.0,SO,SO05,NC,(-23) THE A/C PERFORMED A NORMAL RUNUP AND TAKEOFF AS REPORTED BY THE PILOT. SHORTLY AFTER TAKEOFF THE PILOT REPORT,                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,73, , ,M,IA,IH,S,5,   ,Y,N,N,F, ,8,AIRLINE TRANSPORT   ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,7310,                    ,                    ,Fuel Contamination  ,Control Coll With Gr,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Other               ,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,                    ,                    ,,, 
531,19800129020169I,I,91,-5,F,1980,1,29,19800129,1740,9,Z,Y, , , ,O,OPP,1H71,1,H,7,1.0,3O  , , ,TR,  ,  ,40633,2016, , , , ,25810,CESSNA,152,150,3A19    ,CE,    ,,H ,      ,             ,      ,        ,  ,     ,NM,NM03,CO,FT COLLINS     ,DOWNTOWN                      ,11,,,,,,1,X,B,S,4.0,,,,,,,,,,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19830201,,,,20120419,3,N,5.0,3.0,S,33.0,O,600.0,0.0,0.0,1050.0,NM,NM03,CO,PILOT STATED HE EXPERIENCED BOTH BRAKES FREEZING UP BEFORE TAKEOFF.                                                ,                              ,  ,    ,           ,  ,    ,      ,                    ,AU,V,A, ,GC,V,A, ,AA,HB,M,5,   ,U,U,N,C,F, ,COMMERCIAL PILOT    ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,UNKNOWN             ,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Improper Oper Brake/,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Loss Of Dir Ctl-Grnd,Roll-Out (Fixed Wing,                    ,Pilot Induced       ,Personal            ,Training            ,VFR                 ,Weather Not A Factor,Dusk                ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, 
13757,20030603012019I,I,91,-23,F,2003,6,3,20030603,1235,9,A,X, , , , ,OPP,2H72,2,H,7,2.0,4T  ,4,F,TR,  ,  ,30313,1201,A, , , ,452FJ,DORNER,DO328300    ,DO32  ,A55NM   ,NM,    ,2112.0,H ,PWA   ,PW306B       ,306,E35NE   ,NE,F    ,NE,NE01,MA,BOSTON         ,GENERAL EDWARD LAWRENCE LOGAN ,,BOS ,,,04221N,07100W,D,S,B,S,1.0,,,,,,,BOS ,,,,,28,25.0,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20030714,,20030917.0,,20120808,,N,,,,,,,,,,,,,"(-23) DATE: JUNE 3, 2003 LOGAN INTERNATIONAL AIRPORT BOSTON MA (BOS) 12:35 EDT ASI: DONALD E. SMALL N452FJ DORNIER ",ATLANTIC COAST AIRLINES       ,VA,VTZA,VTZA983U   ,EA,EA27,      ,Instrument Flight Ru,DE,V,R, ,  , , , ,JJ,FG,M,7,   ,U,N,N,A, ,3,                    ,                    ,                    ,                    ,                    ,"Defic, Co Maintain E",Other/Miscellaneous ,Ground Crew         ,                    ,                    ,                    ,                    ,                    ,Collision With Other,Other Ground Ops    ,                    ,"Miscellaneous, Other",Supplemental Or Comm,Passengers          ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,750 HP AND OVER               ,TURBOFAN/TURBOJET BYPASS      ,Wheeled-Tricycle              ,                    ,                    ,Pilot and Ground Cre,                    ,,, 
