c5,c119,gemma3_4b_it_triplets,phi4mini_instruct_triplets,gemma3_4b_it_triplets_clean,phi4mini_instruct_triplets_clean
19990213001379A,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK","<ACFT, INSTANCE OF, TAXIING>
<ACFT, HAS EFFECT, LOST CONTROL>
<LOST CONTROL, HAS CAUSE, RAN INTO A DITCH>
<RAN INTO A DITCH, HAS CAUSE, STRUCK A TREE>","<ACFT, EVENT DISTANCE, TAKE OFF>
<ACFT, EVENT DISTANCE, RAN INTO A DITCH>
<ACFT, EVENT DISTANCE, STRUCK A TREE>","<ACFT, INSTANCE OF, TAXIING>
<ACFT, HAS EFFECT, LOST CONTROL>
<LOST CONTROL, HAS CAUSE, RAN INTO A DITCH>
<RAN INTO A DITCH, HAS CAUSE, STRUCK A TREE>","<ACFT, EVENT DISTANCE, TAKE OFF>
<ACFT, EVENT DISTANCE, RAN INTO A DITCH>
<ACFT, EVENT DISTANCE, STRUCK A TREE>"
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.       ","<ENGINE, HAS CAUSE, TAKEOFF>
<WING FUEL TANK SUMPS, HAS EFFECT, ENGINE QUIT>
<PREFLIGHT, TIME PERIOD, AFTER TAKEOFF>
<WING FUEL TANK SUMPS, MAINTAINED BY, NOT DRAINED>","<TAKEOFF, EVENT DISTANCE, AFTER>
<ENGINE QUIT, FOLLOWED BY, TAKEOFF>
<WING FUEL TANK SUMPS, NOT DRAINED DURING, PREFLIGHT>
<WING FUEL TANK SUMPS, CONDITION, FROZEN>","<ENGINE, HAS CAUSE, TAKEOFF>
<WING FUEL TANK SUMPS, HAS EFFECT, ENGINE QUIT>
<PREFLIGHT, TIME PERIOD, AFTER TAKEOFF>
<WING FUEL TANK SUMPS, MAINTAINED BY, NOT DRAINED>","<TAKEOFF, EVENT DISTANCE, AFTER>
<ENGINE QUIT, FOLLOWED BY, TAKEOFF>
<WING FUEL TANK SUMPS, NOT DRAINED DURING, PREFLIGHT>
<WING FUEL TANK SUMPS, CONDITION, FROZEN>"
19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.               ,"<HELICOPTER, STARTED WITH, SLING LOAD>
<CRASHED, HAS CAUSE, IMPROPER PREFLIGHT>
<CRASHED, EVENT DISTANCE, TREES>","<HELICOPTER, USED BY, SLING LOAD>
<HELICOPTER, EVENT DISTANCE, TREES>
<CRASH, HAS CAUSE, IMPROPER PREFLIGHT>","<HELICOPTER, STARTED WITH, SLING LOAD>
<CRASHED, HAS CAUSE, IMPROPER PREFLIGHT>
<CRASHED, EVENT DISTANCE, TREES>","<HELICOPTER, USED BY, SLING LOAD>
<HELICOPTER, EVENT DISTANCE, TREES>
<CRASH, HAS CAUSE, IMPROPER PREFLIGHT>"
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,"<TAXIING, HAS CAUSE, LOST NOSEWHEEL STEERING AND BRAKES>
<TAXIING, HAS EFFECT, STRUCK 2 AIRCRAFT AND FENCE>
<CIRCUIT BREAKER HYDRAULIC PUMP, PART OF, TAXIING>","<TAXIING, LOST NOSEWHEEL STEERING, NOSEWHEEL>
<TAXIING, LOST BRAKES, BRAKES>
<TAXIING, STRUCK 2 AIRCRAFT, AIRCRAFT>
<TAXIING, STRUCK FENCE, FENCE>
<TAXIING, CIRCUIT BREAKER HYDRAULIC PUMP, OPEN>","<TAXIING, HAS CAUSE, LOST NOSEWHEEL STEERING AND BRAKES>
<TAXIING, HAS EFFECT, STRUCK 2 AIRCRAFT AND FENCE>
<CIRCUIT BREAKER HYDRAULIC PUMP, PART OF, TAXIING>","<TAXIING, LOST NOSEWHEEL STEERING, NOSEWHEEL>
<TAXIING, LOST BRAKES, BRAKES>
<TAXIING, STRUCK 2 AIRCRAFT, AIRCRAFT>
<TAXIING, STRUCK FENCE, FENCE>
<TAXIING, CIRCUIT BREAKER HYDRAULIC PUMP, OPEN>"
19860128014289I,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.        ,"<FORWARD CARGO DOOR, OPENED BY, AIRCRAFT>
<AIRCRAFT, TOOK OFF, FOLLOWED BY>
<OBJECTS, DROPPED OUT, HAS EFFECT>
<RETURNED, FOLLOWS, FAILED TO SEE WARNING LIGHT>
<FAILED TO SEE WARNING LIGHT, INFLUENCED BY, AIRCRAFT>","<FORWARD CARGO DOOR, EVENT DISTANCE, AIRCRAFT TOOK OFF>
<OBJECTS DROPPED OUT, EVENT DISTANCE, FORWARD CARGO DOOR OPENED>
<WARNING LIGHT, EVENT DISTANCE, FAILED TO SEE WARNING LIGHT>","<FORWARD CARGO DOOR, OPENED BY, AIRCRAFT>
<AIRCRAFT, TOOK OFF, FOLLOWED BY>
<OBJECTS, DROPPED OUT, HAS EFFECT>
<RETURNED, FOLLOWS, FAILED TO SEE WARNING LIGHT>
<FAILED TO SEE WARNING LIGHT, INFLUENCED BY, AIRCRAFT>","<FORWARD CARGO DOOR, EVENT DISTANCE, AIRCRAFT TOOK OFF>
<OBJECTS DROPPED OUT, EVENT DISTANCE, FORWARD CARGO DOOR OPENED>
<WARNING LIGHT, EVENT DISTANCE, FAILED TO SEE WARNING LIGHT>"
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED ","<MR. TIMOTHY ALLEN WELLS, USED BY, BELL HELICOPTER>
<BELL HELICOPTER MODEL BHT-47-G5, INSTANCE OF, N4754R>
<N4754R, ROLE, PILOT IN COMMAND>","<MR. TIMOTHY ALLEN WELLS, USED BY, BELL HELICOPTER MODEL BHT-47-G5>
<MR. TIMOTHY ALLEN WELLS, IN COMMAND OF, BELL HELICOPTER MODEL BHT-47-G5>
<MR. TIMOTHY ALLEN WELLS, PILOT, BELL HELICOPTER MODEL BHT-47-G5>","<MR. TIMOTHY ALLEN WELLS, USED BY, BELL HELICOPTER>
<BELL HELICOPTER MODEL BHT-47-G5, INSTANCE OF, N4754R>
<N4754R, ROLE, PILOT IN COMMAND>","<MR. TIMOTHY ALLEN WELLS, USED BY, BELL HELICOPTER MODEL BHT-47-G5>
<MR. TIMOTHY ALLEN WELLS, IN COMMAND OF, BELL HELICOPTER MODEL BHT-47-G5>
<MR. TIMOTHY ALLEN WELLS, PILOT, BELL HELICOPTER MODEL BHT-47-G5>"
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.                                           ,"<ENGINE, HAS CAUSE, FORCED LANDING>
<AUXILIARY FUEL SYSTEM, HAS EFFECT, ICE>","<ENGINE, QUIT, FORCED LANDING>
<FORCED LANDING, CAUSE, ENGINE QUIT>
<FORCED LANDING, CAUSE, ICE IN AUXILIARY FUEL SYSTEM>","<ENGINE, HAS CAUSE, FORCED LANDING>
<AUXILIARY FUEL SYSTEM, HAS EFFECT, ICE>","<ENGINE, QUIT, FORCED LANDING>
<FORCED LANDING, CAUSE, ENGINE QUIT>
<FORCED LANDING, CAUSE, ICE IN AUXILIARY FUEL SYSTEM>"
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.    ,"<PILOT, USED BY, ALTIMETER>
<ICING, HAS CAUSE, LOST CONTROL>
<ICING, FOLLOWED BY, ALTIMETER NOT IFR CERTIFIED>
<ICING, INFLUENCED BY, ICING FORECAST>","<PILOT, EVENT DISTANCE, LOWER ALTITUDE>
<PILOT, EVENT DISTANCE, LOST CONTROL>
<ALTIMETER, NOT, IFR CERTIFIED>
<ALTIMETER, EVENT DISTANCE, ICING FORECAST>","<PILOT, USED BY, ALTIMETER>
<ICING, HAS CAUSE, LOST CONTROL>
<ICING, FOLLOWED BY, ALTIMETER NOT IFR CERTIFIED>
<ICING, INFLUENCED BY, ICING FORECAST>","<PILOT, EVENT DISTANCE, LOWER ALTITUDE>
<PILOT, EVENT DISTANCE, LOST CONTROL>
<ALTIMETER, NOT, IFR CERTIFIED>
<ALTIMETER, EVENT DISTANCE, ICING FORECAST>"
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,"<AIRCRAFT, DEPARTED FROM, RAY AIRPORT>
<AIRCRAFT, FOLLOWED BY, TAKEOFF>
<AIRCRAFT, FOLLOWED BY, INTO THE CLIMB>
<AIRCRAFT ENGINE, HAS CAUSE, PROBLEMS>","<CLIMB AIRCRAFT ENGINE, HAS PROBLEMS, AFTER TAKEOFF>
<CLIMB AIRCRAFT ENGINE, USED BY, AIRCRAFT>
<CLIMB AIRCRAFT ENGINE, LOCATION, RAY AIRPORT>","<AIRCRAFT, DEPARTED FROM, RAY AIRPORT>
<AIRCRAFT, FOLLOWED BY, TAKEOFF>
<AIRCRAFT, FOLLOWED BY, INTO THE CLIMB>
<AIRCRAFT ENGINE, HAS CAUSE, PROBLEMS>","<CLIMB AIRCRAFT ENGINE, HAS PROBLEMS, AFTER TAKEOFF>
<CLIMB AIRCRAFT ENGINE, USED BY, AIRCRAFT>
<CLIMB AIRCRAFT ENGINE, LOCATION, RAY AIRPORT>"
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.    ,"<FUEL CAP, NOT SECURED, FUEL SIPHONED>
<FUEL SIPHONED, HAS CAUSE, RAN OUT OF FUEL>
<FERRY FLIGHT, EVENT DISTANCE, PONTOON SEPARATED LANDING IN A POND>","<FERRY FLIGHT, EVENT DISTANCE, RAN OUT OF FUEL>
<FERRY FLIGHT, EVENT DISTANCE, LEFT PONTOON SEPARATED LANDING IN A POND>
<FERRY FLIGHT, EVENT DISTANCE, FUEL CAP NOT SECURED>
<FERRY FLIGHT, EVENT DISTANCE, FUEL SIPHONED>","<FUEL CAP, NOT SECURED, FUEL SIPHONED>
<FUEL SIPHONED, HAS CAUSE, RAN OUT OF FUEL>
<FERRY FLIGHT, EVENT DISTANCE, PONTOON SEPARATED LANDING IN A POND>","<FERRY FLIGHT, EVENT DISTANCE, RAN OUT OF FUEL>
<FERRY FLIGHT, EVENT DISTANCE, LEFT PONTOON SEPARATED LANDING IN A POND>
<FERRY FLIGHT, EVENT DISTANCE, FUEL CAP NOT SECURED>
<FERRY FLIGHT, EVENT DISTANCE, FUEL SIPHONED>"
