c5,c119,gpt4o_triplets,gpt4o_triplets_clean
19990213001379A,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK","<ACFT, HAS CAUSE, LOST CONTROL>","<ACFT, HAS CAUSE, LOST CONTROL>"
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.       ","<ENGINE, HAS EFFECT, QUIT>
<WING FUEL TANK SUMPS, HAS CAUSE, FROZEN>
<WING FUEL TANK SUMPS, HAS CAUSE, NOT DRAINED DURING PREFLIGHT>","<ENGINE, HAS EFFECT, QUIT>
<WING FUEL TANK SUMPS, HAS CAUSE, FROZEN>
<WING FUEL TANK SUMPS, HAS CAUSE, NOT DRAINED DURING PREFLIGHT>"
19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.               ,"<HELICOPTER, HAS CAUSE, IMPROPER PREFLIGHT>","<HELICOPTER, HAS CAUSE, IMPROPER PREFLIGHT>"
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,"<TAXIING, HAS EFFECT, LOST NOSEWHEEL STEERING>
<TAXIING, HAS EFFECT, LOST BRAKES>
<LOST NOSEWHEEL STEERING, HAS CAUSE, TAXIING>
<LOST BRAKES, HAS CAUSE, TAXIING>
<STRUCK, HAS EFFECT, 2 AIRCRAFT>
<STRUCK, HAS EFFECT, FENCE>
<CIRCUIT BREAKER, PART OF, HYDRAULIC PUMP>","<TAXIING, HAS EFFECT, LOST NOSEWHEEL STEERING>
<TAXIING, HAS EFFECT, LOST BRAKES>
<LOST NOSEWHEEL STEERING, HAS CAUSE, TAXIING>
<LOST BRAKES, HAS CAUSE, TAXIING>
<STRUCK, HAS EFFECT, 2 AIRCRAFT>
<STRUCK, HAS EFFECT, FENCE>
<CIRCUIT BREAKER, PART OF, HYDRAULIC PUMP>"
19860128014289I,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.        ,"<FORWARD CARGO DOOR, EVENT DISTANCE, AIRCRAFT TOOK OFF>","<FORWARD CARGO DOOR, EVENT DISTANCE, AIRCRAFT TOOK OFF>"
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED ","<BELL HELICOPTER MODEL BHT-47-G5, PILOT IN COMMAND, TIMOTHY ALLEN WELLS>","<BELL HELICOPTER MODEL BHT-47-G5, PILOT IN COMMAND, TIMOTHY ALLEN WELLS>"
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.                                           ,"<FORCED LANDING, HAS CAUSE, ONE ENGINE QUIT>
<ONE ENGINE QUIT, HAS CAUSE, ICE IN AUXILIARY FUEL SYSTEM>","<FORCED LANDING, HAS CAUSE, ONE ENGINE QUIT>
<ONE ENGINE QUIT, HAS CAUSE, ICE IN AUXILIARY FUEL SYSTEM>"
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.    ,"<PILOT, HAS CAUSE, ICING>","<PILOT, HAS CAUSE, ICING>"
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,"<AIRCRAFT, DEPARTED, RAY AIRPORT>","<AIRCRAFT, DEPARTED, RAY AIRPORT>"
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.    ,"<FERRY FLIGHT, HAS CAUSE, RAN OUT OF FUEL>
<LEFT PONTOON, HAS EFFECT, SEPARATED LANDING IN A POND>
<FUEL, HAS CAUSE, FUEL CAP NOT SECURED>
<FUEL, HAS EFFECT, SIPHONED>","<FERRY FLIGHT, HAS CAUSE, RAN OUT OF FUEL>
<LEFT PONTOON, HAS EFFECT, SEPARATED LANDING IN A POND>
<FUEL, HAS CAUSE, FUEL CAP NOT SECURED>
<FUEL, HAS EFFECT, SIPHONED>"
