c5,c119,gemma3_4b_it_triplets,phi4mini_instruct_triplets,gemma3_4b_it_triplets_clean,phi4mini_instruct_triplets_clean
19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,"<TAILWHEEL, INSTANCE OF, COCKED>
<COCKED, FOLLOWED BY, TKOF>","<TAILWHEEL, EVENT DISTANCE, TKOF>","<TAILWHEEL, INSTANCE OF, COCKED>
<COCKED, FOLLOWED BY, TKOF>","<TAILWHEEL, EVENT DISTANCE, TKOF>"
19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,"<TOW PLANE, BECOME, AIRBORNE>
<TOW PLANE, RELEASED BY, STUDENT>
<TOW PLANE, HAS EFFECT, HIT TREE>
<HIT TREE, EVENT DISTANCE, SETTLED>","<TOW PLANE, EVENT DISTANCE, SETTLED>
<TOW PLANE, EVENT DISTANCE, HIT TREE>
<STUDENT, THOUGHT, TOW IN TROUBLE>
<STUDENT, ACTION, RELEASED>","<TOW PLANE, BECOME, AIRBORNE>
<TOW PLANE, RELEASED BY, STUDENT>
<TOW PLANE, HAS EFFECT, HIT TREE>
<HIT TREE, EVENT DISTANCE, SETTLED>","<TOW PLANE, EVENT DISTANCE, SETTLED>
<TOW PLANE, EVENT DISTANCE, HIT TREE>
<STUDENT, THOUGHT, TOW IN TROUBLE>
<STUDENT, ACTION, RELEASED>"
19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","<2ND ILS APCH, INSTANCE OF, ACFT'S G/S INOP>
<WRONG FREQ, TUNED TO, LOM>","<2ND ILS APCH, ACFT'S G/S INOP, TUNED TO WRONG FREQ>","<2ND ILS APCH, INSTANCE OF, ACFT'S G/S INOP>
<WRONG FREQ, TUNED TO, LOM>","<2ND ILS APCH, ACFT'S G/S INOP, TUNED TO WRONG FREQ>"
19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,"<PLT, NOTED, SOFT R BRAKE PEDAL>
<PLT, USED BY, DRG>
<DRG, FOLLOWED BY, TAXI>
<TAXIS, EVENT DISTANCE, TKOF>
<FLT, FOLLOWED BY, SPRINGFIELD>
<FLT, INFLUENCED BY, SOFT BRAKE>
<FLT, INFLUENCED BY, STRONG WINDS>
<STRONG WINDS, LOCATION, BOS>","<PLT NOTED, HAS CAUSE, SOFT R BRAKE PEDAL DRG TAXI>
<PLT NOTED, HAS CAUSE, TKOF.FLT RTND>
<PLT NOTED, HAS CAUSE, SPRINGFIELD DUE>
<PLT NOTED, HAS CAUSE, SOFT BRAKE STRONG WINDS BOS>","<PLT, NOTED, SOFT R BRAKE PEDAL>
<PLT, USED BY, DRG>
<DRG, FOLLOWED BY, TAXI>
<TAXIS, EVENT DISTANCE, TKOF>
<FLT, FOLLOWED BY, SPRINGFIELD>
<FLT, INFLUENCED BY, SOFT BRAKE>
<FLT, INFLUENCED BY, STRONG WINDS>
<STRONG WINDS, LOCATION, BOS>","<PLT NOTED, HAS CAUSE, SOFT R BRAKE PEDAL DRG TAXI>
<PLT NOTED, HAS CAUSE, TKOF.FLT RTND>
<PLT NOTED, HAS CAUSE, SPRINGFIELD DUE>
<PLT NOTED, HAS CAUSE, SOFT BRAKE STRONG WINDS BOS>"
19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"<WASHED OUT UNDERGROUND TUNNEL, LOCATION, SFC>
<WASHED OUT UNDERGROUND TUNNEL, HAS EFFECT, ROOF>
<TFC, PART OF, MAIN GR>
<MAIN GR, HAS CAUSE, BROKE THROUGH ROOF>","<TAXI, EVENT DISTANCE, HARD SFC DUE TFC R MAIN>
<TAXI, HAS CAUSE, BROKE THROUGH ROOF>
<TAXI, LOCATION, A WASHED OUT UNDERGROUND TUNNEL>","<WASHED OUT UNDERGROUND TUNNEL, LOCATION, SFC>
<WASHED OUT UNDERGROUND TUNNEL, HAS EFFECT, ROOF>
<TFC, PART OF, MAIN GR>
<MAIN GR, HAS CAUSE, BROKE THROUGH ROOF>","<TAXI, EVENT DISTANCE, HARD SFC DUE TFC R MAIN>
<TAXI, HAS CAUSE, BROKE THROUGH ROOF>
<TAXI, LOCATION, A WASHED OUT UNDERGROUND TUNNEL>"
19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,"<ACFT, LOCATION, GRASS TAXIWAY>
<NOSE WHEEL, INSTANCE OF, RUT>
<RUT, HAS EFFECT, NOT NOTICED>","<ACFT, EVENT DISTANCE, 6 IN RUT>
<ACFT, LOCATION, GRASS TAXIWAY NOSE>
<6 IN RUT, NOTICED, NOT TRUE>","<ACFT, LOCATION, GRASS TAXIWAY>
<NOSE WHEEL, INSTANCE OF, RUT>
<RUT, HAS EFFECT, NOT NOTICED>","<ACFT, EVENT DISTANCE, 6 IN RUT>
<ACFT, LOCATION, GRASS TAXIWAY NOSE>
<6 IN RUT, NOTICED, NOT TRUE>"
19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,"<DEP, INSTANCE OF, DEST>","<DEP FOR DEST, USED BY, KNOWN ELEC PROB>
<EMERG GR DOWN SYS, NOT USED BY, DEP FOR DEST>","<DEP, INSTANCE OF, DEST>","<DEP FOR DEST, USED BY, KNOWN ELEC PROB>
<EMERG GR DOWN SYS, NOT USED BY, DEP FOR DEST>"
19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,"<MTNS, LOCATION, OBSCURED>
<FLT, FOLLOWED BY, REC REPTD>","<MTNS, OBSCURED, FLT TO CK VOR REC REPTD INOP PRIOR DAY>","<MTNS, LOCATION, OBSCURED>
<FLT, FOLLOWED BY, REC REPTD>","<MTNS, OBSCURED, FLT TO CK VOR REC REPTD INOP PRIOR DAY>"
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,"<GLIDER, INSTANCE OF, OPPORTUNITY>","<GLIDER, HAS EFFECT, NOSE HIGH ATTITUDE>","<GLIDER, INSTANCE OF, OPPORTUNITY>","<GLIDER, HAS EFFECT, NOSE HIGH ATTITUDE>"
19760531024959A,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,"<MAINT, HAS CAUSE, PARTS NOT AVAILABLE>
<TURBOCHARGER WASTE GATE, NOT ACTUATE, WASTE GATE>","<MAINT NOT PERFORMED, PARTS, NOT AVAILABLE>
<TURBOCHARGER WASTE GATE, DID NOT ACTUATE, MAINT NOT PERFORMED>","<MAINT, HAS CAUSE, PARTS NOT AVAILABLE>
<TURBOCHARGER WASTE GATE, NOT ACTUATE, WASTE GATE>","<MAINT NOT PERFORMED, PARTS, NOT AVAILABLE>
<TURBOCHARGER WASTE GATE, DID NOT ACTUATE, MAINT NOT PERFORMED>"
