c5,c119,gpt4o_triplets,gpt4o_triplets_clean
19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,"<TAILWHEEL, POSITION, RIGHT>","<TAILWHEEL, POSITION, RIGHT>"
19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,"<TOW PLANE, INSTANCE OF, AIRBORNE>","<TOW PLANE, INSTANCE OF, AIRBORNE>"
19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","<2ND ILS APCH, INSTANCE OF, APPROACH>","<2ND ILS APCH, INSTANCE OF, APPROACH>"
19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,"<PLT, NOTED, SOFT R BRAKE PEDAL>
<FLT, RETURNED TO, SPRINGFIELD>
<RETURN TO SPRINGFIELD, HAS CAUSE, SOFT BRAKE>
<RETURN TO SPRINGFIELD, HAS CAUSE, STRONG WINDS BOS>","<PLT, NOTED, SOFT R BRAKE PEDAL>
<FLT, RETURNED TO, SPRINGFIELD>
<RETURN TO SPRINGFIELD, HAS CAUSE, SOFT BRAKE>
<RETURN TO SPRINGFIELD, HAS CAUSE, STRONG WINDS BOS>"
19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"<MAIN GR, HAS EFFECT, BROKE THROUGH ROOF>
<ROOF, PART OF, WASHED OUT UNDERGROUND TUNNEL>","<MAIN GR, HAS EFFECT, BROKE THROUGH ROOF>
<ROOF, PART OF, WASHED OUT UNDERGROUND TUNNEL>"
19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,"<ACFT, USED BY, TAXIED>","<ACFT, USED BY, TAXIED>"
19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,"<DEP, USED BY, DEST>","<DEP, USED BY, DEST>"
19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,"<CK VOR, MAINTAINED BY, FLT>","<CK VOR, MAINTAINED BY, FLT>"
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,"<GLIDER, ASSUMED, NOSE HIGH ATTITUDE>","<GLIDER, ASSUMED, NOSE HIGH ATTITUDE>"
19760531024959A,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,"<TURBOCHARGER WASTE GATE, HAS CAUSE, PARTS NOT AVAILABLE>","<TURBOCHARGER WASTE GATE, HAS CAUSE, PARTS NOT AVAILABLE>"
19760507010379A,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ","<ENG OIL SUPPLY, EXHAUSTED, LEFT>
<LDG, LOCATION, MESQUITE BRUSH>
<DENSITY ALT, EVENT DISTANCE, 7200FT>
<ENG, HAS EFFECT, HIGH OIL USAGE>","<ENG OIL SUPPLY, EXHAUSTED, LEFT>
<LDG, LOCATION, MESQUITE BRUSH>
<DENSITY ALT, EVENT DISTANCE, 7200FT>
<ENG, HAS EFFECT, HIGH OIL USAGE>"
19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,"<PLT, FOLLOWED BY, T/O IFR>","<PLT, FOLLOWED BY, T/O IFR>"
19761021035989A,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,"<PLT, PREOCCUPIED WITH, PREV NOSE WHEEL VIBRATION>","<PLT, PREOCCUPIED WITH, PREV NOSE WHEEL VIBRATION>"
19760730023679A,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ","<ELECT SYST, HAS EFFECT, WENT DEAD>","<ELECT SYST, HAS EFFECT, WENT DEAD>"
19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,"<SKID, HAS CAUSE, REFUELING LINE>","<SKID, HAS CAUSE, REFUELING LINE>"
19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","<LOOP ON TOW ROPE, CAUGHT ON, L LNDG GR>","<LOOP ON TOW ROPE, CAUGHT ON, L LNDG GR>"
19770225003319A,NO NARRATIVE AVAILABLE                                                                                             ,,
19770506041719A,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ","<R PROP, HAS EFFECT, EXCESSIVE DROP>
<UN FEATHER, HAS CAUSE, PRESSURE SWITCH MALFUNCTION>","<R PROP, HAS EFFECT, EXCESSIVE DROP>
<UN FEATHER, HAS CAUSE, PRESSURE SWITCH MALFUNCTION>"
