existing_node,match,new_row,final_node,similarity
TAKE OFF,,0,,1.0000001
TAKEOFF,AFTER TAKEOFF,1,AFTER TAKEOFF,1.0
 ,,2,,
TAKEOFF,AFTER TAKEOFF,10,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,11,AFTER TAKEOFF,1.0
 ,,15,,
TAKEOFF,AFTER TAKEOFF,25,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,26,AFTER TAKEOFF,1.0
DOWN,,28,,1.0000001
OUT,,28,,1.0000001
TAKEOFF,AFTER TAKEOFF,34,AFTER TAKEOFF,1.0
DEPARTURE,AFTER DEPARTURE,35,AFTER DEPARTURE,1.0
TAKEOFF,AFTER TAKEOFF,40,AFTER TAKEOFF,1.0
Rolled Over,ROLLED,41,ROLLED,1.0
Pilot,PILOT,41,PILOT,1.0
Pilot,PILOT,41,PILOT,1.0
TAKEOFF,AFTER TAKEOFF,50,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,51,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,51,AFTER TAKEOFF,1.0
STRUCK TREE,STRUCK A TREE,52,STRUCK A TREE,1.0
STRUCK TREE,STRUCK A TREE,52,STRUCK A TREE,1.0
TAKEOFF,AFTER TAKEOFF,55,AFTER TAKEOFF,1.0
FOUND OFF,FOUND,58,FOUND,1.0000001
TAKEOFF,AFTER TAKEOFF,64,AFTER TAKEOFF,1.0
FULL AFT,AFT,68,AFT,1.0
SIDE OF RUNWAY,RUNWAY,69,RUNWAY,1.0
DEPARTURE,AFTER DEPARTURE,70,AFTER DEPARTURE,1.0
IN FLIGHT,FLIGHT,75,FLIGHT,1.0
Nosed Over,NOSED OVER,85,NOSED OVER,1.0000001
Nosed Over,NOSED OVER,85,NOSED OVER,1.0000001
TAKEOFF,AFTER TAKEOFF,87,AFTER TAKEOFF,1.0
GET FUEL,FUEL,95,FUEL,1.0
