c5,c119,gemma3_4b_it_triplets,gemma3_4b_it_triplets_clean
19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,"<TAILWHEEL, COCKED, RIGHT>
<TAILWHEEL, TIME PERIOD, PRIOR TO TKOF>","<TAILWHEEL, COCKED, RIGHT>
<TAILWHEEL, TIME PERIOD, PRIOR TO TKOF>"
19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,"<TOW PLANE, BECOME, AIRBORNE>
<TOW PLANE, RELEASED BY, STUDENT>
<STUDENT, THOUGHT, TOW IN TROUBLE>
<TOW PLANE, HIT, TREE>","<TOW PLANE, BECOME, AIRBORNE>
<TOW PLANE, RELEASED BY, STUDENT>
<STUDENT, THOUGHT, TOW IN TROUBLE>
<TOW PLANE, HIT, TREE>"
19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","<ILS APCH, FOLLOWED BY, 2ND ILS APCH>
<ACFT, HAS CAUSE, G/S INOP>
<LOM, FOLLOWED BY, WRONG FREQ>","<ILS APCH, FOLLOWED BY, 2ND ILS APCH>
<ACFT, HAS CAUSE, G/S INOP>
<LOM, FOLLOWED BY, WRONG FREQ>"
19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,"<BRAKE PEDAL, HAS EFFECT, SOFT>
<FLIGHT, FOLLOWED BY, RTND SPRINGFIELD>
<FLIGHT, INFLUENCED BY, STRONG WINDS>","<BRAKE PEDAL, HAS EFFECT, SOFT>
<FLIGHT, FOLLOWED BY, RTND SPRINGFIELD>
<FLIGHT, INFLUENCED BY, STRONG WINDS>"
19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"<TFC R MAIN, HAS CAUSE, BROKE THROUGH ROOF>
<TFC R MAIN, PART OF, WASHED OUT UNDERGROUND TUNNEL>
<WASHED OUT UNDERGROUND TUNNEL, LOCATION, TUNNEL>
<TAXI OFF, FOLLOWED BY, SFC>","<TFC R MAIN, HAS CAUSE, BROKE THROUGH ROOF>
<TFC R MAIN, PART OF, WASHED OUT UNDERGROUND TUNNEL>
<WASHED OUT UNDERGROUND TUNNEL, LOCATION, TUNNEL>
<TAXI OFF, FOLLOWED BY, SFC>"
19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,"<ACFT, LOCATED ON, GRASS TAXIWAY>
<ACFT, PART OF, TAXIWAY>
<NOSE WHEEL, PART OF, ACFT>
<6 IN RUT, HAS EFFECT, ACFT>
<6 IN RUT, LOCATION, TAXIWAY>","<ACFT, LOCATED ON, GRASS TAXIWAY>
<ACFT, PART OF, TAXIWAY>
<NOSE WHEEL, PART OF, ACFT>
<6 IN RUT, HAS EFFECT, ACFT>
<6 IN RUT, LOCATION, TAXIWAY>"
19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,"<DEP, PART OF, FLIGHT>
<DEP, HAS CAUSE, KNOWN ELEC PROB>
<DEP, FOLLOWED BY, DIDNT USE EMERG GR DOWN SYS>","<DEP, PART OF, FLIGHT>
<DEP, HAS CAUSE, KNOWN ELEC PROB>
<DEP, FOLLOWED BY, DIDNT USE EMERG GR DOWN SYS>"
19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,"<FLIGHT, FOLLOWED BY, REC REPTD INOP>
<FLIGHT, TIME PERIOD, PRIOR DAY>","<FLIGHT, FOLLOWED BY, REC REPTD INOP>
<FLIGHT, TIME PERIOD, PRIOR DAY>"
19760531024959A,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,"<MAINT, NOT PERFORMED, PARTS NOT AVAILABLE>
<TURBOCHARGER, HAS CAUSE, WASTE GATE DID NOT ACTUATE>","<MAINT, NOT PERFORMED, PARTS NOT AVAILABLE>
<TURBOCHARGER, HAS CAUSE, WASTE GATE DID NOT ACTUATE>"
19760507010379A,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ","<LEFT ENG OIL SUPPLY, HAS EFFECT, EXHAUSTED>
<GEAR-UP, FOLLOWED BY, LANDING>
<LANDING, LOCATION, MESQUITE BRUSH>
<DENSITY ALTITUDE, LOCATION, 7200 FT>","<LEFT ENG OIL SUPPLY, HAS EFFECT, EXHAUSTED>
<GEAR-UP, FOLLOWED BY, LANDING>
<LANDING, LOCATION, MESQUITE BRUSH>
<DENSITY ALTITUDE, LOCATION, 7200 FT>"
19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,"<PLT, CONTINUED TO, T/O>
<PLT, FOLLOWED BY, WNDSHD>
<PLT, FOLLOWED BY, WINDOWS FOGGED UP>
<PLT, INFLUENCED BY, VFR DEPARTURE>","<PLT, CONTINUED TO, T/O>
<PLT, FOLLOWED BY, WNDSHD>
<PLT, FOLLOWED BY, WINDOWS FOGGED UP>
<PLT, INFLUENCED BY, VFR DEPARTURE>"
19761021035989A,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,"<PILOT, PREOCCUPIED BY, PREVIOUS NOSE WHEEL VIBRATION>
<PILOT, DID NOT OBSERVE, GR SAFE LIGHT>
<WIND, SPEED, 23KTS>","<PILOT, PREOCCUPIED BY, PREVIOUS NOSE WHEEL VIBRATION>
<PILOT, DID NOT OBSERVE, GR SAFE LIGHT>
<WIND, SPEED, 23KTS>"
19760730023679A,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ","<ELECT SYST, HAS CAUSE, GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED>
<ELECT SYST, TIME PERIOD, NOT TIME TO EXT>
<GEAR, MAINTAINED BY, MANUALLY>","<ELECT SYST, HAS CAUSE, GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED>
<ELECT SYST, TIME PERIOD, NOT TIME TO EXT>
<GEAR, MAINTAINED BY, MANUALLY>"
19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,"<GRASS FIRE, HAS CAUSE, SKID>
<SKID, INSTANCE OF, REFUELING LINE>","<GRASS FIRE, HAS CAUSE, SKID>
<SKID, INSTANCE OF, REFUELING LINE>"
19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","<BANNER PICK UP, HAS EFFECT, L LNDG GR>
<LOOP ON TOW ROPE, FOLLOWED BY, PLT UN MAINTAIN FLT>","<BANNER PICK UP, HAS EFFECT, L LNDG GR>
<LOOP ON TOW ROPE, FOLLOWED BY, PLT UN MAINTAIN FLT>"
19770225003319A,NO NARRATIVE AVAILABLE                                                                                             ,,
19770506041719A,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ","<R ENG,HAS CAUSE, L MAG EXCESSIVE DROP>
<R ENG,HAS CAUSE, PRESSURE SWITCH MALFUNCTION>
<R ENG,FOLLOWED BY, ATTEMPTS FEATHER R PROP>","<R ENG,HAS CAUSE, L MAG EXCESSIVE DROP>
<R ENG,HAS CAUSE, PRESSURE SWITCH MALFUNCTION>
<R ENG,FOLLOWED BY, ATTEMPTS FEATHER R PROP>"
19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,"<RUDDER GUST LOCK, INSTANCE OF, RUDDER GUST LOCK ENGAGED>
<WINGS, HAS EFFECT, ICE>
<OVERWEIGHT, HAS EFFECT, OVERWEIGHT>","<RUDDER GUST LOCK, INSTANCE OF, RUDDER GUST LOCK ENGAGED>
<WINGS, HAS EFFECT, ICE>
<OVERWEIGHT, HAS EFFECT, OVERWEIGHT>"
19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,"<RUDDER & AIL CTL CABLES, PART OF, RUDDER>
<RUDDER & AIL CTL CABLES, PART OF, AIL CTL>
<RUDDER & AIL CTL CABLES, LOCATION, BATTERY BOX SUPPORT STRUCTURE>","<RUDDER & AIL CTL CABLES, PART OF, RUDDER>
<RUDDER & AIL CTL CABLES, PART OF, AIL CTL>
<RUDDER & AIL CTL CABLES, LOCATION, BATTERY BOX SUPPORT STRUCTURE>"
19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,"<L MAG, INSTANCE OF, #5>
<L MAG, HAS CAUSE, CYL COMPRESSION>
<CYL COMPRESSION, VALUE, 25/80>","<L MAG, INSTANCE OF, #5>
<L MAG, HAS CAUSE, CYL COMPRESSION>
<CYL COMPRESSION, VALUE, 25/80>"
19770530012939A,WRONG PROP INSTALLED                                                                                               ,"<PROP, INSTANCE OF, AIRFRAME>
<PROP, HAS CAUSE, WRONG INSTALLED>","<PROP, INSTANCE OF, AIRFRAME>
<PROP, HAS CAUSE, WRONG INSTALLED>"
19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,"<FLUID, LOCATION, R BRAKE>
<FLUID, TIME PERIOD, PRIOR TO DEPARTURE>","<FLUID, LOCATION, R BRAKE>
<FLUID, TIME PERIOD, PRIOR TO DEPARTURE>"
19770705018649A,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,"<MIXTURE CONTROL BALL BEARING, MISSING FROM, HANDLE>","<MIXTURE CONTROL BALL BEARING, MISSING FROM, HANDLE>"
19770622022049A,OIL FILLER CAP MISSING.                                                                                            ,"<OIL FILLER CAP, MISSING>","<OIL FILLER CAP, MISSING>"
19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,"<N42807, INSTANCE OF, ACFT>
<N7930C, INSTANCE OF, ACFT>
<PLT, USED BY, N42807>
<PLT, USED BY, N7930C>
<TOTAL HYD FAILURE, HAS CAUSE, N42807>
<TOTAL HYD FAILURE, HAS CAUSE, N7930C>
<CONTINUED TAXIING, FOLLOWED BY, N42807>
<CONTINUED TAXIING, FOLLOWED BY, N7930C>","<N42807, INSTANCE OF, ACFT>
<N7930C, INSTANCE OF, ACFT>
<PLT, USED BY, N42807>
<PLT, USED BY, N7930C>
<TOTAL HYD FAILURE, HAS CAUSE, N42807>
<TOTAL HYD FAILURE, HAS CAUSE, N7930C>
<CONTINUED TAXIING, FOLLOWED BY, N42807>
<CONTINUED TAXIING, FOLLOWED BY, N7930C>"
19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,"<PLT, USED, EMERG LNDNG GR EXTNSN>
<PLT, INFLUENCED BY, ELECTRICAL PWR FAILURE>","<PLT, USED, EMERG LNDNG GR EXTNSN>
<PLT, INFLUENCED BY, ELECTRICAL PWR FAILURE>"
19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,"<INSUFFICIENT ALTITUDE, HAS EFFECT, SUCCESSFUL AUTOROTATION>","<INSUFFICIENT ALTITUDE, HAS EFFECT, SUCCESSFUL AUTOROTATION>"
