c5,c119,gemma3_4b_it_triplets_clean
19790407008559A,PILOT SAID THE ELEVATOR CONTROL JAMMED.A PARACHUTE WAS FOUND BETWEEN THE REAR SEAT AND CONTROL STICK.              ,"<ELEVATOR CONTROL, INSTANCE OF, JAMMED>
<PARACHUTE, LOCATED BETWEEN, REAR SEAT>
<PARACHUTE, LOCATED BETWEEN, CONTROL STICK>"
19790321010439A,INSTRUCTOR CHECKING OUT PILOT IN MULTIENGINE AIRPLANE. STUDENT FEATHERED WRONG ENGINE. EMERGENCY LANDING.          ,"<INSTRUCTOR, CHECKING OUT, PILOT>
<PILOT, OPERATING, MULTIENGINE AIRPLANE>
<PILOT, FEATHERED, WRONG ENGINE>
<PILOT, PERFORMED, EMERGENCY LANDING>"
19790207002459A,ENGINE FAILED ON TAKEOFF. FOUND WATER IN FUEL TANKS.                                                               ,"<ENGINE, HAS CAUSE, AFTER TAKEOFF>
<ENGINE, INSTANCE OF, FAILURE>
<FUEL TANKS, HAS EFFECT, WATER>"
19790222003429A,ATTEMPTED TAKEOFF AT 6700 FT ALTITUDE WITH FROST ON WINGS.ACFT SETTLED ONTO ICE AND SNOW COVERED LAKE.             ,"<ATTEMPTED TAKEOFF, TIME PERIOD, 6700 FT ALTITUDE>
<ATTEMPTED TAKEOFF, HAS EFFECT, FROST ON WINGS>
<ACFT, INSTANCE OF, AIRPLANE>
<ACFT, SETTLED ONTO, ICE AND SNOW COVERED LAKE>"
19790412014049I,PRECAUTIONARY LANDING WHEN ONE SIDE OF THE ENGINE COWL CAME OPEN DUE TO A LOOSE DZUS FASTENER.                     ,"<ENGINE COWL, HAS EFFECT, PRECAUTIONARY LANDING>
<ENGINE COWL, PART OF, AIRCRAFT>
<DZUS FASTENER, PART OF, ENGINE COWL>
<ENGINE COWL, INSTANCE OF, AIRCRAFT COMPONENT>"
19790222003439A,ACRFT WAS SERVICED 65 DAYS PRIOR TO ACCIDENT. HAD NOT BEEN FLOWN PRIOR TO DATE OF ACCIDENT. WATER FOUND IN FUEL.   ,"<ACRFT, TIME PERIOD, 65 DAYS PRIOR TO ACCIDENT>
<ACRFT, TIME PERIOD, DATE OF ACCIDENT>
<FUEL, HAS EFFECT, WATER>"
19790204002289A,AFTER A FORCED LANDING ICE WAS FOUND IN GASCOLATOR AND IN FLEXIBLE HOSE BETWEEN AIR FILTER AND CARBURATOR.         ,"<FORCED LANDING, FOLLOWED BY, ICE>
<ICE, HAS EFFECT, GASCOLATOR>
<ICE, HAS EFFECT, FLEXIBLE HOSE>
<FLEXIBLE HOSE, PART OF, AIR FILTER>
<FLEXIBLE HOSE, PART OF, CARBURATOR>"
19790319004969A,ENGINE FAILURE ON TAKEOFF. CONTAMINATED FUEL FOUND IN AIRCRAFT.                                                    ,"<ENGINE FAILURE, HAS CAUSE, AFTER TAKEOFF>
<CONTAMINATED FUEL, HAS EFFECT, AIRCRAFT>
<CONTAMINATED FUEL, LOCATION, AIRCRAFT>"
19790405013359I,PILOT ATTEMPTED TAKEOFF WITH OBSTRUCTION (MAGAZINE) BETWEEN RUDDER AND VERTICAL STABILIZER ZE.                     ,"<PILOT, ATTEMPTED TAKEOFF, TRUE>
<PILOT, HAS CAUSE, OBSTRUCTION>
<OBSTRUCTION, INSTANCE OF, MAGAZINE>
<RUDDER, PART OF, VERTICAL STABILIZER>"
19790316004809A,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT STRUCK GROUND SHORT OF RUNWAY. WATER IN FUEL.                           ,"<ENGINE, HAS CAUSE, FINAL APPROACH>
<AIRCRAFT, HAS CAUSE, STRUCK GROUND>
<AIRCRAFT, HAS EFFECT, SHORT OF RUNWAY>
<AIRCRAFT, HAS EFFECT, WATER IN FUEL>"
19790421024889I,PILOT TOOK OFF WITH THE ENGINE NOT OPERATING PROPERLY. MUSHED BACK TO THE GROUND BEYOND THE RUNWAY.                ,"<PILOT, USED BY, ENGINE>
<ENGINE, HAS CAUSE, PILOT TOOK OFF WITH THE ENGINE NOT OPERATING PROPERLY>
<PILOT, FOLLOWED BY, MUSHED BACK TO THE GROUND BEYOND THE RUNWAY>"
19790210002629A,FCD LDG AT NIGHT. HARD LDG ON APT. FUEL STAINS FOUND FROM WING DRAINS TO FUSELAGE. LESS THAN 2 GALS FUEL ONBOARD.  ,"<FCD, INSTANCE OF, ACFT>
<LDG, INSTANCE OF, ACFT DISPATCHER>
<LDG, EVENT DISTANCE, APT>
<FUEL STAINS, HAS EFFECT, WING DRAINS>
<FUEL STAINS, HAS EFFECT, FUSELAGE>
<FUEL, LOCATION, WING>
<FUEL, LOCATION, FUSELAGE>
<LESS THAN 2 GALS FUEL, HAS CAUSE, ONBOARD>"
19790318010729A,ENGINE STOPPED ON EMPTY TANK DURING ILS APPROACH. WOULD NOT START ON FULL TANK. WATER IN FUEL.CRASHED SHORT OF RWY.,"<ENGINE, HAS EFFECT, STOPPED>
<ENGINE, TIME PERIOD, EMPTY TANK>
<ENGINE, TIME PERIOD, ILS APPROACH>
<ENGINE, HAS CAUSE, CRASHED>
<ENGINE, HAS EFFECT, WOULD NOT START>
<FUEL, HAS EFFECT, WATER>
<CRASH, HAS CAUSE, SHORT OF RWY>"
19790309032649A,"CARGO DOOR CAME OPEN IN FLIGHT. AFTER LANDING,THE DOOR WAS PROPERLY LATCHED. THE FAILURE COULD NOT BE DUPLICATED.  ","<CARGO DOOR, HAS EFFECT, DOOR CAME OPEN IN FLIGHT>
<AFTER LANDING, HAS EFFECT, DOOR WAS PROPERLY LATCHED>
<FAILURE, HAS CAUSE, COULD NOT BE DUPLICATED>"
19790421024749I,ENGINE QUIT SOON AFTER TAKEOFF. WATER AND DEBRIS FOUND IN THE FUEL SYSTEM.                                         ,"<ENGINE, HAS CAUSE, ENGINE QUIT>
<ENGINE, PART OF, AIRPLANE>
<FUEL SYSTEM, HAS EFFECT, WATER AND DEBRIS>"
19790224007709I,WINDSHIELD FOGGED UP DUE TO INOP HEATER. LANDED LONG AFTER APPROACH AND RAN OFF DEPARTURE END OF RUNWAY.           ,"<WINDSHIELD, HAS EFFECT, FOGGED UP>
<WINDSHIELD, MAINTAINED BY, HEATER>
<AIRCRAFT, LANDED, LONG AFTER APPROACH>
<AIRCRAFT, RAN OFF, DEPARTURE END OF RUNWAY>"
19790210002639A,AIRCRAFT CRASHED ON FIRST TEST FLIGHT AFTER REBUILDING. AILERON CONTROLS REVERSED.                                 ,"<AIRCRAFT, INSTANCE OF, ACFT>
<AIRCRAFT, EVENT DISTANCE, FIRST TEST FLIGHT>
<AIRCRAFT, HAS CAUSE, REBUILDING>
<AILERON CONTROLS, HAS CAUSE, REVERSED>"
19790224007469I,ENGINE QUIT LEVEL FLIGHT. LEFT TANK EMPTY AND ICE IN RIGHT TANK. GAS SEDIMENT BOWL WOULD NOT DRAIN.                ,"<ENGINE, HAS CAUSE, LEVEL FLIGHT>
<ENGINE, INSTANCE OF, ACFT>
<LEFT TANK, INSTANCE OF, FUEL TANK>
<LEFT TANK, HAS EFFECT, >
<RIGHT TANK, INSTANCE OF, FUEL TANK>
<RIGHT TANK, HAS EFFECT, ICE>
<GAS SEDIMENT BOWL, HAS EFFECT, WOULD NOT DRAIN>"
