c5_sources,node,count
19790407008559A,ELEVATOR CONTROL,1
19790407008559A;19790725018519A,JAMMED,2
19790207002459A;19790224007469I;19790316004809A;19790318010729A;19790421024749I;19790421024889I;19790427100559I;19790427100619I;19790513026659I;19790529041069A;19790602009889A;19790603012119A;19790603029089I;19790623022919A;19790625015009A;19790703018439I;19790726019139A;19790808027309A;19790813023739A;19790829023019A;19790916031359A;19790919027319A;19791017051209I;19791022029739A;19791022054789I;19791103056779I,ENGINE,50
19790207002459A;19790319004969A;19790609011809A;19790623014019A;19790705018829I;19790716019189I;19790808027309A;19790916031359A;19790919027319A;19791102034159A,AFTER TAKEOFF,12
19790207002459A;19790309032649A;19790625015009A,FAILURE,3
19790207002459A;19790609024769A,FUEL TANKS,3
19790207002459A;19790222003439A;19790318010729A;19790425024979I;19790623022919A;19790809030499I;19790829023019A,WATER,7
19790222003429A;19790515018139A,ATTEMPTED TAKEOFF,4
19790222003429A,6700 FT ALTITUDE,1
19790222003429A,FROST ON WINGS,1
19790210002629A;19790210002639A;19790222003429A;19790224007469I;19790429005459A;19790513010459A;19790603012119A;19790609024769A;19790623022919A;19790807024709A,ACFT,20
19790222003429A;19790421024749I;19790510009019A;19790513010459A;19790623022919A;19790807024709A;19790829023019A,AIRPLANE,7
19790412014049I;19790928049769I,ENGINE COWL,6
19790412014049I,PRECAUTIONARY LANDING,1
19790209002599A;19790210002639A;19790316004809A;19790319004969A;19790412014049I;19790427100559I;19790508100289I;19790510009019A;19790703018439I;19790716019189I;19790725018519A;19790809030499I;19790813023739A;19790823023209I;19790829023019A;19790919027319A;19790929049639I,AIRCRAFT,32
19790412014049I,DZUS FASTENER,1
19790412014049I;19790421024669I;19790602009889A,AIRCRAFT COMPONENT,3
19790222003439A,ACRFT,2
19790222003439A,65 DAYS PRIOR TO ACCIDENT,1
19790222003439A,DATE OF ACCIDENT,1
19790210002629A;19790222003439A;19790318010729A;19790425024979I;19790609024769A;19790622017219I;19790808027309A;19790829023019A;19791022029739A,FUEL,11
19790204002289A;19790312008529I;19790520026369I;19790528028209I;19790609016529A;19790627017429I,FORCED LANDING,11
19790204002289A;19790224007469I,ICE,4
19790204002289A;19790809030499I,GASCOLATOR,2
19790204002289A,FLEXIBLE HOSE,3
19790204002289A,AIR FILTER,1
19790204002289A,CARBURATOR,1
19790319004969A;19790801021959A;19791102034159A,ENGINE FAILURE,5
19790319004969A,CONTAMINATED FUEL,2
19790405013359I;19790421024889I;19790425024979I;19790508100289I;19790513010459A;19790519010229A;19790602009889A;19790603029089I;19790610014749I;19790622017219I;19790623014019A;19790703018439I;19790705018829I;19790710018689I;19790729022479I;19790807029619I;19790813030889I;19790820032669I;19790918023659I;19791102034159A,PILOT,33
19790405013359I,OBSTRUCTION,2
19790405013359I,MAGAZINE,1
19790405013359I,RUDDER,1
19790405013359I,VERTICAL STABILIZER,1
19790316004809A,FINAL APPROACH,1
19790316004809A,STRUCK GROUND,1
19790316004809A,SHORT OF RUNWAY,1
19790312008529I;19790316004809A;19790429005459A;19790528028209I;19790609024769A;19790622017199I;19790705018829I;19790801021959A;19790808027309A;19790919027319A;19791102034159A,WATER IN FUEL,13
19790421024889I,PILOT TOOK OFF WITH THE ENGINE NOT OPERATING PROPERLY,1
19790421024889I,MUSHED BACK TO THE GROUND BEYOND THE RUNWAY,1
