c5_sources,entity1,entity2,weight,relations,rows
19990213001379A,ACFT,,1,EVENT DISTANCE,0
19990213001379A,ACFT,RAN INTO A DITCH,1,HAS EFFECT,0
19990213001379A,ACFT,STRUCK A TREE,1,HAS EFFECT,0
19751029037799A,ACFT,G/S INOP,1,HAS CAUSE,102
19750905025029A,ACFT,TAXIWAY,1,PART OF,105
19850525020799A,STRUCK A TREE,TOUCHED DOWN,1,HAS CAUSE,52
19850525020799A,STRUCK A TREE,3 MILES FROM AIRPORT,1,LOCATION,52
19800217031649I;19991230042089A,AFTER TAKEOFF,ENGINE QUIT,2,FOLLOWED BY,1,10
19820725041999I,AFTER TAKEOFF,LOOSE COWLING,1,HAS EFFECT,11
19870606018859A,AFTER TAKEOFF,UNABLE TO STAY AIRBORNE,1,HAS EFFECT,34
19950216008379I,AFTER TAKEOFF,ENGINE STOPPED,1,FOLLOWED BY,51
19991230042089A,ENGINE QUIT,CUTTING OUT,1,HAS CAUSE,10
19880527016939A,ENGINE QUIT,INITIAL CLIMBOUT,1,HAS CAUSE,95
19780129004679I,ENGINE QUIT,ICE RESTRICTION,1,HAS CAUSE,136
19780403009359I,ENGINE QUIT,LANDED SHORT OF RUNWAY,1,HAS EFFECT,172
19780416008469I,ENGINE QUIT,AFTER TAKEOFF,1,TIME PERIOD,176
19800217031649I,WING FUEL TANK SUMPS,FROZEN,1,HAS EFFECT,1
19790720021329A,CRASHED,IMPROPER PREFLIGHT,1,HAS CAUSE,2
19790720021329A,CRASHED,FROZEN,1,INSTANCE OF,2
19790720021329A,CRASHED,WEDGED IN TREES,1,HAS EFFECT,2
19940818022409A,CRASHED,BAD OIL LEAK,1,HAS CAUSE,48
19940818022409A,CRASHED,CRACKED ENGINE CASE,1,HAS CAUSE,48
19960418007829A,CRASHED,BURNED,1,HAS CAUSE,96
19960418007829A,CRASHED,AFTER DEPARTURE,1,TIME PERIOD,96
19960418007829A,CRASHED,GRASS RUNWAY,1,LOCATION,96
19841214074599I,TAXIING,LOST NOSEWHEEL STEERING,1,HAS EFFECT,3
19841214074599I,TAXIING,BRAKES,1,HAS EFFECT,3
20050429009279I,TAXIING,PARKING,1,FOLLOWED BY,38
19790718019229I,BRAKES,BAGGAGE CART,1,INSTANCE OF,17
19780311016379I,BRAKES,WORN,1,HAS CAUSE,162
19780311016379I,BRAKES,,1,HAS CAUSE,162
19780525040389I,BRAKES,INEFFECTIVE LANDING,1,HAS EFFECT,180
19780525040389I,BRAKES,RAN FENCE,1,FOLLOWED BY,180
19841214074599I,STRUCK 2 AIRCRAFT,TAXIING,1,HAS CAUSE,3
19841214074599I,STRUCK 2 AIRCRAFT,FENCE,1,HAS EFFECT,3
19841214074599I,CIRCUIT BREAKER HYDRAULIC PUMP,OPEN,1,INSTANCE OF,3
19860128014289I,OBJECTS,FAILED TO SEE WARNING LIGHT,1,HAS EFFECT,4
19860128014289I,AIRCRAFT,RETURNED,1,FOLLOWED BY,4
19940412011509I,AIRCRAFT,GROUND,1,LOCATION,12
19940412011509I,AIRCRAFT,LANDED SAFELY,1,EVENT DISTANCE,12
19860706034879A,AIRCRAFT,FLIPPED,1,HAS EFFECT,25
19960322013629I,AIRCRAFT,MAINTENANCE,1,FOLLOWED BY,28
19790211002709A,AIRCRAFT,FAILED TO LIFTOFF RUNWAY,1,HAS CAUSE,30
19790211002709A,AIRCRAFT,RAN OFF END,1,HAS EFFECT,30
19790211002709A,AIRCRAFT,INTO SNOW BANK,1,HAS EFFECT,30
19790211002709A,AIRCRAFT,FROST ON AIRFRAME,1,HAS EFFECT,30
20050429009279I,AIRCRAFT,CARGO TRIP,1,PART OF,38
19930530020029I,AIRCRAFT,TAKEOFF ROLL,1,FOLLOWED BY,45
19930530020029I,AIRCRAFT,ACCELERATION,1,FOLLOWED BY,45
19840821046409A,AIRCRAFT,DC-10,1,INSTANCE OF,50
19840821046409A,AIRCRAFT,NOT HAD ANNUAL INSPECTION,1,TIME PERIOD,50
20010421009329I,AIRCRAFT,CRUISE FLIGHT,1,TIME PERIOD,54
