existing_node,match,new_row,final_node,similarity
TAKE OFF,,0,,1.0000001
TAKEOFF,AFTER TAKEOFF,1,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,1,AFTER ENGINE QUIT,1.0000001
 ,,2,,
ENGINE QUIT,AFTER ENGINE QUIT,6,AFTER ENGINE QUIT,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,8,AFTER ENGINE QUIT,1.0000001
TAKEOFF,AFTER TAKEOFF,10,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,10,AFTER ENGINE QUIT,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,10,AFTER ENGINE QUIT,1.0000001
TAKEOFF,AFTER TAKEOFF,11,AFTER TAKEOFF,1.0
 ,,15,,
TAKEOFF,AFTER TAKEOFF,25,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,26,AFTER TAKEOFF,1.0
DOWN,,28,,1.0000001
OUT,,28,,1.0000001
TAKEOFF,AFTER TAKEOFF,34,AFTER TAKEOFF,1.0
DEPARTURE,AFTER DEPARTURE,35,AFTER DEPARTURE,1.0
LANDING,AFTER LANDING,39,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,40,AFTER TAKEOFF,1.0
Rolled Over,ROLLED,41,ROLLED,1.0
Pilot,PILOT,41,PILOT,1.0
Pilot,PILOT,41,PILOT,1.0
LANDING,AFTER LANDING,47,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,50,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,51,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,51,AFTER TAKEOFF,1.0
STRUCK TREE,STRUCK A TREE,52,STRUCK A TREE,1.0000001
STRUCK TREE,STRUCK A TREE,52,STRUCK A TREE,1.0000001
TAKEOFF,AFTER TAKEOFF,55,AFTER TAKEOFF,1.0
TAXI OUT,TAXI,57,TAXI,1.0
FOUND OFF,FOUND,58,FOUND,1.0000001
TAKEOFF,AFTER TAKEOFF,64,AFTER TAKEOFF,1.0
FULL AFT,AFT,68,AFT,1.0
SIDE OF RUNWAY,RUNWAY,69,RUNWAY,1.0
DEPARTURE,AFTER DEPARTURE,70,AFTER DEPARTURE,1.0
IN FLIGHT,FLIGHT,75,FLIGHT,1.0
Nosed Over,NOSED OVER,85,NOSED OVER,1.0000001
Nosed Over,NOSED OVER,85,NOSED OVER,1.0000001
TAKEOFF,AFTER TAKEOFF,87,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,95,AFTER ENGINE QUIT,1.0000001
GET FUEL,FUEL,95,FUEL,1.0
TAXI OFF,TAXI,104,TAXI,1.0
LANDING,AFTER LANDING,109,AFTER LANDING,1.0
LANDING,AFTER LANDING,109,AFTER LANDING,1.0
NOT FEATHERED,FEATHERED,130,FEATHERED,1.0
ENGINE QUIT,AFTER ENGINE QUIT,131,AFTER ENGINE QUIT,1.0000001
OUT OF FUEL,FUEL,131,FUEL,1.0
ENGINE QUIT,AFTER ENGINE QUIT,132,AFTER ENGINE QUIT,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,134,AFTER ENGINE QUIT,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,136,AFTER ENGINE QUIT,1.0000001
WATER IN THE FUEL,WATER IN FUEL,150,WATER IN FUEL,1.0
PILOT CERTIFICATE,NO PILOT CERTIFICATE,150,NO PILOT CERTIFICATE,1.0
NO ANNUAL,ANNUAL,150,ANNUAL,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,152,AFTER ENGINE QUIT,1.0000001
TAKEOFF,AFTER TAKEOFF,155,AFTER TAKEOFF,1.0
AFTER,,155,,1.0000001
TAKEOFF,AFTER TAKEOFF,156,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,158,AFTER LANDING,1.0
WORN OUT,WORN,162,WORN,1.0000001
EMPTY,,162,,1.0000001
GEAR HANDLE DOWN,GEAR HANDLE,164,GEAR HANDLE,1.0000001
TAKEOFF,AFTER TAKEOFF,166,AFTER TAKEOFF,1.0
LIFTOFF,AFTER LIFTOFF,166,AFTER LIFTOFF,1.0
WATER IN THE FUEL SYSTEM,WATER IN ALL OF THE FUEL SYSTEM,168,WATER IN ALL OF THE FUEL SYSTEM,1.0
ENGINE QUIT,AFTER ENGINE QUIT,172,AFTER ENGINE QUIT,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,176,AFTER ENGINE QUIT,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,176,AFTER ENGINE QUIT,1.0000001
TAKEOFF,AFTER TAKEOFF,176,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,184,AFTER ENGINE QUIT,1.0000001
TAKEOFF,AFTER TAKEOFF,191,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,191,AFTER TAKEOFF,1.0
UP POSITION,DOWN POSITION,192,DOWN POSITION,1.0000001
WATER IN THE FUEL SYSTEM,WATER IN ALL OF THE FUEL SYSTEM,199,WATER IN ALL OF THE FUEL SYSTEM,1.0
BECAME AIRBORNE,AIRBORNE,207,AIRBORNE,1.0000001
