c5_sources,node,count
19750905025029A;19751029037799A;19770610021339A;19780822026439A;19781020041019A;19790210002629A;19790210002639A;19790222003429A;19790224007469I;19790429005459A;19790513010459A;19790603012119A;19790609024769A;19790623022919A;19790807024709A;19990213001379A,ACFT,34
19780218007139I;19780311016379I;19780811037539I;19781108022269I;19790224007469I;19790513026659I;19790519010229A;19960322013629I;19990213001379A,,10
19990213001379A,RAN INTO A DITCH,1
19850525020799A;19990213001379A,STRUCK A TREE,3
19780210006769I;19780218007139I;19780225001789I;19780319009079I;19780416008469I;19780522035289I;19780629034269I;19780708043109I;19780808049829I;19780820049069I;19781117041969A;19781216025369I;19781230019999I;19790207002459A;19790207005339I;19790319004969A;19790609011809A;19790623014019A;19790705018829I;19790716019189I;19790808027309A;19790916031359A;19790919027319A;19791102034159A;19800217031649I;19820725041999I;19840121015319I;19840821046409A;19860706034879A;19870606018859A;19950216008379I;19970523014439I;19991230042089A;20010411006739I;20060621012279A,AFTER TAKEOFF,39
19780106001449I;19780108002219I;19780110002479I;19780129004679I;19780219007659I;19780403009359I;19780416008469I;19780429014759I;19780811037539I;19781114026859I;19781230019999I;19790207005159I;19790210006409I;19790318009229I;19790421024749I;19790528028209I;19790622017199I;19790705018829I;19800217031649I;19801116083749I;19880527016939A;19991230042089A;20070630826079I,AFTER ENGINE QUIT,26
19800217031649I,WING FUEL TANK SUMPS,1
19790720021329A;19800217031649I;19801116083749I,FROZEN,3
19790318010729A;19790720021329A;19910710026989A;19920405008919A;19940818022409A;19960418007829A,CRASHED,11
19780106001449I;19790720021329A,IMPROPER PREFLIGHT,2
19790720021329A,WEDGED IN TREES,1
19780402008409I;19841214074599I;20050429009279I,TAXIING,5
19841214074599I,LOST NOSEWHEEL STEERING,1
19780311016379I;19780525040389I;19790718019229I;19841214074599I,BRAKES,7
19841214074599I,STRUCK 2 AIRCRAFT,2
19790119001139A;19841214074599I,FENCE,2
19841214074599I,CIRCUIT BREAKER HYDRAULIC PUMP,1
19841214074599I,OPEN,1
19820725041999I;19860128014289I,OBJECTS,3
19860128014289I,FAILED TO SEE WARNING LIGHT,1
19780327010619I;19780402008409I;19780429014759I;19780519033989I;19780607010749A;19780619046649I;19780726036499I;19780825038179I;19780923027059I;19781009029939I;19781102023729I;19781108022239I;19781110039789A;19781117041969A;19790119001139A;19790209002599A;19790210002639A;19790211002709A;19790306009619I;19790316004809A;19790316004819A;19790319004969A;19790404013469I;19790412014049I;19790427100559I;19790508100289I;19790510009019A;19790703018439I;19790716019189I;19790718019229I;19790725018519A;19790809030499I;19790813023739A;19790823023209I;19790829023019A;19790919027319A;19790929049639I;19840821046409A;19860128014289I;19860706034879A;19870309039779I;19890725041869I;19930530020029I;19940412011509I;19950314029269I;19960322013629I;20010421009329I;20020619014309A;20050429009279I;20050713014239I;20070202001609A,AIRCRAFT,96
19860128014289I,RETURNED,1
20000215010329A,MR. TIMOTHY ALLEN WELLS,2
20000215010329A;20010411006739I,BELL HELICOPTER,3
20000215010329A,BELL HELICOPTER MODEL BHT-47-G5,1
19780904017739I;19790525014229A;20000215010329A;20010411006739I,HELICOPTER,6
19801116083749I;20000215010329A;20070630826079I,N4754R,6
19971226042729I;20000215010329A,PILOT IN COMMAND,2
19801116083749I,ICE IN AUXILIARY FUEL SYSTEM,1
19780111000459A;19780130004789I;19780206006149I;19780208007759I;19780210005719I;19780212006439I;19780218007139I;19780221000179I;19780225001819I;19780307014069I;19780309015599I;19780311016379I;19780316008589I;19780327010619I;19780330011569I;19780402009009I;19780409009699I;19780503031639I;19780504031959I;19780526040429I;19780528040689I;19780603041629I;19780619046649I;19780623036259I;19780624034629I;19780704042039I;19780708043109I;19780723038809I;19780725039589I;19780805024609A;19780808049579I;19780921019829I;19781018032569I;19781113027039I;19781119026389I;19781207022839I;19781223039539A;19781230019999I;19790106001239I;19790123003659I;19790203005099I;19790214002969A;19790313008789I;19790316004819A;19790405013359I;19790410008789A;19790421024889I;19790425024979I;19790508100289I;19790513010459A;19790519010229A;19790602009889A;19790603029089I;19790610014749I;19790622017219I;19790623014019A;19790703018439I;19790705018829I;19790710018689I;19790729022479I;19790807029619I;19790813030889I;19790820032669I;19790918023659I;19791102034159A;19791128035159A;19821117066379I;19850315007389A;19850418016709I;19860706034879A;19871027060859A;19930530020029I;19950216008379I;19960504009509A;19970908038069A;20010411006739I;20010421009329I;20030620012809I;20050429009279I;20060621012279A,PILOT,119
19850315007389A,ALTIMETER,1
19850315007389A,ICING,2
19850315007389A;19950527014439A,LOST CONTROL,3
19850315007389A,ICING FORECAST,1
19850315007389A,ALTITUDE,1
19850315007389A,LOWER ALTITUDE,1
19790622017219I;20070630826079I,CLIMB,2
19900425011659A,FERRY FLIGHT,3
19780723038809I;19900425011659A,RAN OUT OF FUEL,2
19900425011659A,LEFT PONTOON SEPARATED,1
19900425011659A,LANDING IN A POND,1
19780429014759I;19790524200519I;19791022054789I;19900425011659A,FUEL CAP,5
19900425011659A,FUEL SIPHONED,1
19991230042089A,CUTTING OUT,1
19820725041999I,LOOSE COWLING,1
19820725041999I,RETURNING TO LAND,1
19820725041999I,COWLING CAME OFF,1
19820725041999I;19940815046149I,CRACKED WINDSHIELD,2
19820725041999I,DENTED STABILIZER,1
19790316009739I;19940412011509I,GROUND,2
19940412011509I,LANDED SAFELY,1
19971226042729I,NR2 ENGINE FIRE,5
19971226042729I,LOADING PASSENGERS,1
19790223006939I;19971226042729I,GATE,2
19971226042729I,EVACUATED,1
19971226042729I,FUEL LEVER,2
19971226042729I,FLIGHT IDLE,1
