existing_node,match,new_row,final_node,similarity
FLT,FIRST FLT,3,FIRST FLT,1.0
FLT,FIRST FLT,7,FIRST FLT,1.0
UNDER,DOWN,21,DOWN,1.0000001
FLT,FIRST FLT,27,FIRST FLT,1.0
ENGINE QUIT,ENGINE TO QUIT,32,ENGINE TO QUIT,1.0000001
ENGINE QUIT,ENGINE TO QUIT,32,ENGINE TO QUIT,1.0000001
ENGINE QUIT,ENGINE TO QUIT,34,ENGINE TO QUIT,1.0000001
ENGINE QUIT,ENGINE TO QUIT,36,ENGINE TO QUIT,1.0000001
LANDING,AFTER LANDING,36,AFTER LANDING,1.0
TAKEOFF ROLL,DURING TAKEOFF ROLL,40,DURING TAKEOFF ROLL,1.0000001
ENGINE QUIT,ENGINE TO QUIT,50,ENGINE TO QUIT,1.0000001
ENGINE QUIT,ENGINE TO QUIT,50,ENGINE TO QUIT,1.0000001
WATER IN THE FUEL,WATER IN FUEL,50,WATER IN FUEL,1.0
ENGINE QUIT,ENGINE TO QUIT,52,ENGINE TO QUIT,1.0000001
LIFTOFF,AFTER LIFTOFF,57,AFTER LIFTOFF,1.0
TAKEOFF,AFTER TAKEOFF,61,AFTER TAKEOFF,1.0
TOUCHDOWN,AFTER TOUCHDOWN,61,AFTER TOUCHDOWN,1.0
RAN OUT,RAN OFF,63,RAN OFF,1.0
TOUCHDOWN,AFTER TOUCHDOWN,64,AFTER TOUCHDOWN,1.0
DURING TAKEOFF,AFTER TAKEOFF,66,AFTER TAKEOFF,1.0
ENGINE QUIT,ENGINE TO QUIT,68,ENGINE TO QUIT,1.0000001
ENGINE QUIT,ENGINE TO QUIT,68,ENGINE TO QUIT,1.0000001
LANDING,AFTER LANDING,80,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,83,AFTER TAKEOFF,1.0
ENGINE QUIT,ENGINE TO QUIT,84,ENGINE TO QUIT,1.0000001
ENGINE QUIT,ENGINE TO QUIT,84,ENGINE TO QUIT,1.0000001
TAKEOFF,AFTER TAKEOFF,87,AFTER TAKEOFF,1.0
SIDE OF RUNWAY,RUNWAY,87,RUNWAY,1.0
SIDE OF AIRCRAFT,AIRCRAFT,90,AIRCRAFT,1.0
TAKEOFF,AFTER TAKEOFF,91,AFTER TAKEOFF,1.0
RUNUP,DURING RUNUP,92,DURING RUNUP,1.0
ENGINE QUIT,ENGINE TO QUIT,94,ENGINE TO QUIT,1.0000001
ENGINE QUIT,ENGINE TO QUIT,99,ENGINE TO QUIT,1.0000001
