c5_sources,node,count
19780527014729A,CARBURETOR,1
19780527014729A,AIR BOX ASSEMBLY,1
19780616046119I;19790318009019I,PRECAUTIONARY LANDING,3
19780616046119I,LOW POWER,1
19780616046119I,CARBURETOR HEAT,1
19780616046119I,OVER RICH MIXTURE,1
19780623018469A,LOSS OF ALTERNATOR EXCITING CURRENT,1
19780623018469A,LOOSE BATTERY POST,1
19780607020299A,ABORTED,1
19780607020299A,AIRBORNE,1
19780623036259I,SMOKE AND FUMES IN COCKPIT,1
19780623036259I,GRASS AND DIRT IN ENGINE COMPARTMENT,1
19780625035919I;19781102023549I;19781128024449I;19790410008789A,WATER,6
19780625035919I,GASCOLATOR,2
19780625035919I,FOREIGN MATERIAL,1
19780625035779I;19780626034739I;19780725039589I;19780925018069I;19781230019999I;19790107000829I;19790113001939I;19790211007509A;19790414012459I,ENGINE,10
19780625035779I,FUEL SELECTOR MOVED BY A PASSENGER,1
19780625035779I;19790207005339I;19790224005689A;19790316004819A,DURING TAKEOFF,4
19780626034739I;19781128024449I;19790113001939I,WATER IN FUEL SYSTEM,4
19780812020899A,FUEL VENT LINE,1
19780812020899A,MUD DAUBERS,1
19780810035619A,LOW OIL STATE,1
19780810035619A,LNDD IN FLOODED ALFALFA FIELD,1
19780820049069I;19780825038179I;19780829037939I;19781009029939I;19790113001939I,LANDED,6
19780820049069I,OAT FIELD,1
19780805024609A,MIXTURE CONTROL,1
19780805024609A,PLT,1
19780704042039I,INOPERATIVE RADIO,1
19780704042039I;19790123003659I;19790316004819A,PILOT,3
19780629034269I,FLIGHT,1
19780629034269I,RADIO FAILURE,1
19780725039589I;19780829037939I;19790127003859I;19790210006409I;19790211007509A,WATER IN FUEL,6
19780708043109I,OVERSHOT,2
19780708043109I;19790113001939I,AIRPORT,2
19780708043109I;19781128024449I;19790203005099I,LANDING,3
19780808049829I;19781108022269I,RAN OFF,2
19780808049829I,SIDE OF RUNWAY,1
19780811037539I;19780904017739I;19781102023549I;19781114026859I;19790207005159I;19790210006409I;19790410008789A,FORCED LANDING,8
19780811037539I;19780829037939I;19781114026859I;19790127003859I;19790207005159I;19790210006409I,ENGINE QUIT,8
19780825038179I,FUEL EXHAUSTION,1
19780901016759I,UNABLE TO EXTEND GEAR,1
19780901016759I,DEFLATED NOSE GEAR STRUT,1
19780904017739I;19781102023549I;19781128024449I,POWER LOSS,4
19780904017739I,HELICOPTER,1
19780904017739I,JET FUEL,1
19780920018899I,EXPLOSION,1
19780920018899I,EXHAUST TUNNELS DAMAGED,1
19780903028619A;19781102023549I;19790410008789A,FUEL,3
19780925018069I,SMOKE FROM NACELLE,1
19780903028619A,EXCESSIVE WATER,1
19780923027059I;19781110039789A;19781117041969A;19790316004819A,AIRCRAFT,7
19780923027059I;19781230020029I,TOTAL ELECTRICAL FAILURE,3
19780923027059I,FINAL,1
19780829037939I;19780923027059I,GEAR,4
19780923027059I,PARTIALLY EXTENDED,1
19780923027059I,COLLAPSED,2
19780923027059I,TOUCHDOWN,1
19781009029939I,TAKEOFF RUNWAY,1
19780829037939I,REMAINING RUNWAY,1
19790119001139A,FAILED TO CLIMB,1
19781231044159A;19790119001139A,AIRFRAME ICE,2
19781108022269I,SIDE OF TAXIWAY,1
19781114026859I,FIELD,1
19781114026859I,ICE IN FUEL LINES,1
19781128024449I,FUEL STORAGE TANK,1
19781230019999I,FUEL STARVATION,1
19781230020029I;19790410008789A,ENGINE FAILURE,2
19790106001239I,TIRES,1
19790106001239I,BLOWN ON LANDING,1
19790107000829I,FLAMED OUT,1
19790116002119I,EMERGENCY LIFT-OFF,1
19790116002119I,MAINTENANCE EQUIPMENT ON THE RUNWAY,1
19790123003659I,INOPERATIVE BRAKES,1
19781110039789A,1/4IN ICE,1
19781205041369A,ELEVATOR GUST LOCK,1
19781205041369A,CRPATH,1
19781119026389I,WHEEL,1
19781119026389I,DITCH,1
19781119026389I,NO BRAKES,1
19781119026389I,INSUFFICIENT FLUID,1
19781216025369I,LANDING GEAR SELECTOR,1
19781216025369I,UP POSITION,1
19790127003859I,LOCAL STORAGE TANK,1
19781117041969A;19781231044159A,FROST ON THE WINGS,2
19781231044159A,ACFT,1
19781231044159A,TRIM HINGES,1
19781207022839I;19790224005689A,SNOW,3
19781207022839I,ENGINE COMPARTMENT,1
19781207022839I,MELTED,1
19781207022839I,MELTED SNOW,1
19781207022839I,FROZE UP THROTTLE LINKAGE,1
19781102039739A,GUST LOCK,1
19781102039739A,R WING,1
19781102039739A,SUB DMG,1
19781102039739A,CESSNA 172,2
19781102039739A,N8107T,1
19781223039539A,GENERATOR,1
19781223039539A,CIRCUIT BREAKER,1
19790203005099I,AFTER LOSING RIGHT BRAKE,1
19790203005099I,LOST CONTROL,1
19790203005099I,VEERED OFF RUNWAY,1
19790207005159I,ICE,1
19790207005159I,FUEL STRAINER,1
19790223006939I,JET BLAST,1
19790223006939I,BAGGAGE CART TO ROLL INTO B99,1
19790306009619I;19790313008789I,TAXIED,3
19790306009619I,DRAINAGE DITCH,1
19790306009619I;19790313008789I,NIGHT,2
19790318009019I,LOW OVERCAST,1
19790318009019I,INSTRUMENT LIGHT INOPERATIVE,1
19790207002469A,ARMED FLARE GUN,2
19790207002469A,CABIN,1
19790207002469A,FALLING FROM GLOVE BOX,1
19790316004819A,RESTRICTED STEERING,1
19790316004819A,FROST,1
19790316004819A,UNABLE TO CONTROL,1
19790224005689A,WINGS,1
19790224005689A,FAILED TO REMOVE SNOW,1
19790207005339I,FORWARD CARGO DOOR,1
19790414012459I,FUEL SYSTEM CONTAMINATED,1
19790211007509A,STOPPED,1
19790211007509A,CLIMBOUT,1
19790211007509A,ENGINE STOPPED,3
19790211007509A,EMERGENCY CRASH LANDING,1
19790410008789A,COMPANY OWNED FUEL TANKER,1
