c5_sources,node,count
19790407008559A,ELEVATOR CONTROL,1
19790407008559A,PARACHUTE,1
19790321010439A,STUDENT,2
19790321010439A,MULTIENGINE AIRPLANE,1
19790321010439A,FEATHERED WRONG ENGINE,2
19790321010439A;19790524200519I,EMERGENCY LANDING,2
19790207002459A;19790312008529I;19790421024749I;19790429005459A;19790528028209I;19790623022919A;19790627017429I;19790916031359A,WATER,8
19790207002459A,FUEL TANKS,1
19790222003429A;19790405013359I;19790511011259A;19790515018139A,ATTEMPTED TAKEOFF,5
19790222003429A,6700 FT ALTITUDE,1
19790222003429A,ICE AND SNOW COVERED LAKE,1
19790222003429A,FROST,1
19790222003429A;19790510009019A,WINGS,2
19790204002289A;19790224007469I,ICE,4
19790204002289A,GASCOLATOR,1
19790204002289A,FLEXIBLE HOSE,3
19790204002289A,AIR FILTER,1
19790204002289A,CARBURETOR,1
19790204002289A;19790312008529I;19790520026369I;19790528028209I;19790627017429I,DURING FORCED LANDING,5
19790319004969A;19790801021959A;19791102034159A,ENGINE FAILURE,3
19790319004969A;19790421024749I;19790609011809A;19790623014019A;19790623022919A,AFTER TAKEOFF,5
19790319004969A,CONTAMINATED FUEL,1
19790319004969A;19790510009019A,AIRCRAFT,2
19790216014249A;19790405013359I;19790602009889A;19791030053329I,PILOT,5
19790316004809A,GROUND,1
19790316004809A,SHORT OF RUNWAY,1
19790210002629A,FCD LDG,1
19790210002629A,NIGHT,1
19790210002629A,HARD LDG,1
19790210002629A,APT,1
19790210002629A,FUEL STAINS,2
19790210002629A,WING DRAINS,1
19790210002629A,FUSELAGE,1
19790210002629A;19790312008529I;19790429005459A;19790528028209I;19790605014519I;19790627017429I,FUEL,6
19790210002629A,ONBOARD,1
19790309032649A,CARGO DOOR,2
19790309032649A,DOOR,2
19790309032649A,INFLIGHT,1
19790309032649A;19790712020439I;19790807029669I,AFTER LANDING,3
19790224007469I;19790421024749I;19790427100559I;19790528028209I;19790705018829I;19791103056779I,ENGINE QUIT,6
19790421024749I;19790916031359A,FUEL SYSTEM,3
19790421024749I,DEBRIS,1
19790224007709I,WINDSHIELD,1
19790224007709I,INOP HEATER,1
19790224007709I,LANDED LONG,2
19790224007709I,APPROACH,1
19790224007709I;19790623014019A,RAN OFF,3
19790224007709I,DEPARTURE END OF RUNWAY,1
19790224007469I,EMPTY TANK,2
19790224007469I,LEFT TANK,1
19790224007469I,RIGHT TANK,1
19790216014249A,GUST LOCK,1
19790312008529I;19790425024979I;19790627017429I,POWER LOSS,4
19790421024669I,GEAR,1
19790421024669I,BROKEN EXTENSION CABLE,1
19790507025919I;19790520026369I,FUEL EXHAUSTION,2
19790605014519I,CAPTAIN,1
19790615016499I,TOW BAR,1
19790615016499I,NOSE WHEEL,1
19790510009019A,AIRCRAFT TOOK OFF,1
19790425024979I;19790510009019A,UNABLE TO MAINTAIN FLIGHT,2
19790510009019A,FROST ON THE WINGS,1
19790510009019A,MODERATE FROST,1
19790515018139A,FLIGHT CONTROLS,1
19790513026659I;19790602009889A;19790622017199I;19790623022919A;19790809030499I;19790813023739A,ENGINE,7
19790623022919A,ACFT,3
19790623022919A,SPUTTERING,2
19790623022919A,CRASHED,1
19790623022919A,BURNED,1
19790623022919A,FUEL LINES,1
19790427100559I;19790602009889A,FUEL CONTAMINATION,2
19790524200519I,FUMES,2
19790524200519I,PASSENGER CABIN,1
19790609011809A,LOST ELECT. POWER,1
19790609011809A;19790813030889I;19790820032669I;19790829023019A;19790916031359A,LANDED,6
19790609011809A,AIRPORT,1
19790622017199I,RUNWAY AT HOME,1
19790513026659I,LOSS OF OIL PRESSURE,1
19790513026659I,ENGINE SHUTDOWN,1
19790513026659I,MINOR OIL LEAK,1
19790525014229A,HELICOPTER,4
19790525014229A,GROUND RUN UP,1
19790525014229A,VIBRATE,1
19790525014229A,IMPROPERLY SERVICED STRUTS,2
19790525014229A,SELF DESTRUCTED,1
19790525014229A,GR RESONANCE,1
19790425024979I;19790705018829I;19790801021959A;19790808027309A;19790919027319A;19791102034159A,WATER IN FUEL,6
19790511011259A,ICE ON AIRFRAME,1
19790507025919I,UNABLE TO RESTART ENGINE,1
19790602009889A,FAILED ENROUTE,1
19790602009889A,DITCHED IN THE OCEAN,1
19790602009889A,ACCIDENT,1
19790809030499I,FUEL CONTAMINATED WITH DIRT AND WATER,1
19790807029619I,OIL CAP,1
19790705018829I;19790807029619I,PREFLIGHT,2
19790807029619I,OIL,2
19790807029619I,COWL,1
19790807029619I,AFTER LIFTOFF,1
19790813030889I,LOW OIL PRESSURE,1
19790807029669I,LOST DIRECTIONAL CONTROL,1
19790807029669I,SOLO,1
19790807029669I,ILLEGAL,1
19790813023739A,WATER AND TRASH IN FUEL,1
19790705018829I,FAILED TO DRAIN,1
19790820032669I,HIGHWAY,1
19790829023019A,SOYBEAN FIELD,1
19790829023019A,FLIPPED OVER,1
19790808027309A,INSUFFICIENT ALTITUDE,1
19790712020439I,STOPPED,2
19790712020439I,RUNWAY,1
19790710018689I,ELECTRICAL FAILURE,1
19790710018689I,MANUAL GEAR EXTENSION,1
19790918023659I,NOSE GEAR DOOR RETRACT RODS,1
19790918023659I,NOSE GEAR,1
19791017051209I;19791022054789I,ENGINE STOPPED,2
19791017051209I,OBSTRUCTED FUEL VENT LINE,1
19791022054789I,FUEL STARVATION,1
19791030053329I,NIGHT FLIGHT,1
19791030053329I,BATTERY,1
19791030053329I,DISCHARGING,1
19791030053329I,EMERGENCY GEAR SYSTEM,1
19790916031359A,END OF RUNWAY,1
19790919027319A,FAILED,1
19791103056779I,TOO RICH A MIXTURE,1
