existing_node,match,new_row,final_node,similarity
TAKEOFF,AFTER TAKEOFF,3,AFTER TAKEOFF,1.0
ROUGH,BECAME ROUGH,6,BECAME ROUGH,1.0
OUT,EMPTY,7,EMPTY,1.0000001
ON TAKEOFF,AFTER TAKEOFF,15,AFTER TAKEOFF,1.0
POWER,FULL POWER,18,FULL POWER,1.0
POWER,FULL POWER,18,FULL POWER,1.0
TAKEOFF ROLL,ON TAKEOFF ROLL,19,ON TAKEOFF ROLL,1.0
TAKEOFF,AFTER TAKEOFF,19,AFTER TAKEOFF,1.0
ONE SIDE,EMPTY,20,EMPTY,1.0000001
TAKEOFF,AFTER TAKEOFF,20,AFTER TAKEOFF,1.0
IN FLIGHT,BEFORE FLIGHT,21,BEFORE FLIGHT,1.0
GEAR UP,GEAR,21,GEAR,1.0
LANDING,AFTER LANDING,24,AFTER LANDING,1.0
DURING TAKEOFF,AFTER TAKEOFF,28,AFTER TAKEOFF,1.0
ON TAKEOFF,AFTER TAKEOFF,31,AFTER TAKEOFF,1.0
PRECAUTIONARY LANDING,MADE PRECAUTIONARY LANDING,35,MADE PRECAUTIONARY LANDING,1.0
IN FLIGHT,BEFORE FLIGHT,35,BEFORE FLIGHT,1.0
EMERGENCY LANDING,DURING EMERGENCY LANDING,38,DURING EMERGENCY LANDING,1.0
EMERGENCY LANDING,DURING EMERGENCY LANDING,44,DURING EMERGENCY LANDING,1.0
FLIGHT,BEFORE FLIGHT,51,BEFORE FLIGHT,1.0
TAKEOFF,AFTER TAKEOFF,56,AFTER TAKEOFF,1.0
ON LANDING,AFTER LANDING,59,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,61,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,61,AFTER TAKEOFF,1.0
FULL,EMPTY,66,EMPTY,1.0000001
ON LANDING,AFTER LANDING,70,AFTER LANDING,1.0
TREES,INTO TREES,76,INTO TREES,1.0
LANDING,AFTER LANDING,83,AFTER LANDING,1.0
FLIGHT,BEFORE FLIGHT,85,BEFORE FLIGHT,1.0
DURING LANDING,AFTER LANDING,86,AFTER LANDING,1.0
FLIGHT,BEFORE FLIGHT,91,BEFORE FLIGHT,1.0
ON TAKEOFF,AFTER TAKEOFF,94,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,96,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,99,AFTER TAKEOFF,1.0
TREES,INTO TREES,99,INTO TREES,1.0
