c5,c119,gpt4o_triplets_clean
19790928027659A,FOUND LEFT FUEL CAP IMPROPERLY INSTALLED. FUEL STAINS ON TOP OF LEFT WING.                                         ,"<LEFT FUEL CAP, IMPROPERLY INSTALLED, NULL>
<FUEL STAINS, LOCATION, TOP OF LEFT WING>"
19791014005659A,STUDENT PILOT CARRYING PASSENGERS CRASHED SHORTLY AFTER TAKEOFF. WATER FOUND IN STRAINER. AIRCRAFT OUT OF LICENSE  ,"<STUDENT PILOT, INSTANCE OF, PILOT>
<STUDENT PILOT, USED BY, AIRCRAFT>
<STUDENT PILOT, HAS EFFECT, CRASHED>
<CRASHED, FOLLOWS, SHORTLY AFTER TAKEOFF>
<WATER, LOCATION, STRAINER>
<AIRCRAFT, INSTANCE OF, OUT OF LICENSE>"
19791002050939I,PILOT RAN OUT OF FUEL DUE TO OPEN BOWL DRAIN ON THE FUEL STRAINER. HAD PREVIOUS PROBLEM IWTH STICKING DRAIN.       ,"<PILOT, RAN OUT, FUEL>
<FUEL, DUE TO, OPEN BOWL DRAIN>
<OPEN BOWL DRAIN, ON, FUEL STRAINER>
<PILOT, HAD PREVIOUS PROBLEM, STICKING DRAIN>"
19791029027649A,PILOT FAILED TO PROPERLY SECURE SEAT. SEAT SLID BACK ON TAKEOFF.                                                   ,"<SEAT, FAILED TO SECURE, PILOT>
<SEAT, SLID BACK, AFTER TAKEOFF>"
19791116043249A,PILOT NOTICED & DISREGARDED BROKEN EXHAUST PIPE. AIRLINE CAUGHT FIRE IN AIR. TRIED TO RETURN. EXPLODED ON FINAL.   ,"<PILOT, NOTICED, BROKEN EXHAUST PIPE>
<BROKEN EXHAUST PIPE, PART OF, AIRLINE>
<AIRLINE, CAUGHT FIRE, IN AIR>
<AIRLINE, TRIED TO RETURN, NULL>
<AIRLINE, EXPLODED, FINAL>"
19790929042239I,TAXIED INTO UNMARKED MANHOLE NEAR UNLIGHTED TAXIWAY. AIRPLANES LANDING/TAXI LIGHT INOPERATIVE.                     ,"<AIRPLANES LANDING/TAXI LIGHT, INOP, NULL>"
19791023031609A,ENGINE RAN ROUGH. STUDENT PILOT MISSED 1ST LANDING APPROCH. ENGINE QUIT ON BASE ON 2ND TRY. HIT TREES.             ,"<ENGINE, RAN, BECAME ROUGH>
<STUDENT PILOT, MISSED, 1ST LANDING APPROACH>
<ENGINE, QUIT, BASE>
<ENGINE, QUIT, 2ND ILS APCH>
<HIT, TREES>"
19791014052729I,"ENGINE BECAME ROUGH, PILOT CHECKED FOR CARB ICE. MADE PRECAUTIONARY LANDING IN A FIELD. PRIMER UNLOCKED AND OUT.   ","<ENGINE, HAS EFFECT, BECAME ROUGH>
<PILOT, CHECKED FOR, CARB ICE>
<MADE PRECAUTIONARY LANDING, LOCATION, FIELD>
<PRIMER, UNLOCKED, EMPTY>"
19791015052549I,ENGINE QUIT AND WAS SHUTDOWN. CAUSE FOUND TO BE FUEL STARVATION DUE TO MISSING FUEL CAP.                           ,"<ENGINE QUIT, HAS CAUSE, FUEL STARVATION>"
19791222048669I,PILOT ELECTED TO LAND GEAR UP DUE TO UNSAFE NOSE GEAR INDICATION. NO MALFUNCTION FOUND.                            ,"<LAND GEAR, USED BY, PILOT>"
19791222048699I,FLIGHT DIVERTED FOR ADDITIONAL FUEL. AIRCRAFT WAS IMPROPERLY FUELED FOR DEPARTURE.                                 ,"<AIRCRAFT, HAS CAUSE, IMPROPERLY FUELED FOR DEPARTURE>"
19791129033509A,TRIED TAKEOFF FROM TRAILER. SKID TIEDOWN FELL BACK IN PLACE. HELICOPTER ROLLED OVER OFF TRAILER.                   ,"<HELICOPTER, ATTEMPTED TAKEOFF, TRAILER>"
19791219034489A,WIND RAISED LIGHT SLING LOAD . CABLE HIT TAILROTOR. MADE HARD AUTOROTATE LANDING.                                  ,"<CABLE, HIT, TAILROTOR>
<HARD AUTOROTATE LANDING, HAS CAUSE, WIND RAISED LIGHT SLING LOAD>"
19791126034419A,CFI WITH STUDENT ATTEMPTED TAKEOFF FROM SNOW COVERED RWY WITH ICE ON WINGS. UNABLE TO CLIMB. CRASHED OFF END RWY.  ,"<CFI, USED BY, STUDENT>
<ATTEMPTED TAKEOFF, LOCATION, SNOW COVERED RWY>
<ATTEMPTED TAKEOFF, HAS CAUSE, ICE ON WINGS>
<UNABLE TO CLIMB, HAS CAUSE, ICE ON WINGS>
<CRASHED, LOCATION, OFF END RWY>"
19791221039859A,PILOT DID NOT DRAIN FUEL TANKS. WATER IN TANKS CAUSED ENGINE TO STOP AFTER TAKEOFF. LANDED IN FIELD.               ,"<FUEL TANKS, FAILED TO DRAIN, PILOT>
<WATER IN TANKS, HAS CAUSE, ENGINE TO STOP>
<ENGINE TO STOP, FOLLOWS, AFTER TAKEOFF>
<LANDED, LOCATION, FIELD>"
19791218033279A,"ENGINE FAILED ON TAKEOFF, FOUND WATER IN FUEL.                                                                     ","<ENGINE, FAILED, AFTER TAKEOFF>
<WATER, IN, FUEL>"
19791228036809A,TRIED TO TAKE OFF WITH SNOW & ICE ON ACFT. UNABLE TO CLIMB. RAN OFF END RWY INTO A BARN.                           ,"<SNOW & ICE, LOCATION, ACFT>"
19791208047929I,PILOT FAILED TO CHECK POSITION OF GEAR KNOB DURING PREFLIGHT. RETRACTED ON TAKEOFF ROLL.                           ,"<GEAR KNOB, POSITION, DURING PREFLIGHT>"
19791216046619I,"CREW MISUSED AUTO THROTTLE SYSTEM, LOST POWER. INCORRECTLY ASSUMED FLAMEOUT. POWER AND CONTROL WERE SOON RESTORED. ","<CREW, MISUSED, AUTO THROTTLE SYSTEM>
<CREW, LOST, FULL POWER>
<CREW, INCORRECTLY ASSUMED, FLAMEOUT>
<FULL POWER, RESTORED, CONTROL>"
19791210043359A,ENGINE COWLING CAME OPEN ON THE TAKEOFF ROLL. ABORTED TAKEOFF. UNABLE TO STOP ON RUNWAY. DROPPED OVER A CLIFF.     ,"<ENGINE COWLING, CAME OPEN, ON TAKEOFF ROLL>
<AFTER TAKEOFF, ABORTED, NULL>
<UNABLE TO STOP, LOCATION, RUNWAY>
<DROPPED, LOCATION, CLIFF>"
