c5_sources,entity1,entity2,weight,relations,rows
19790928027659A,FUEL STAINS,TOP OF LEFT WING,1,LOCATION,0
19791014005659A,STUDENT PILOT,PILOT,1,INSTANCE OF,1
19791014005659A,STUDENT PILOT,AIRCRAFT,1,USED BY,1
19791014005659A,STUDENT PILOT,CRASHED,1,HAS EFFECT,1
19791014005659A,AIRCRAFT,OUT OF LICENSE,1,INSTANCE OF,1
19791222048699I,AIRCRAFT,IMPROPERLY FUELED FOR DEPARTURE,1,HAS CAUSE,10
19800113015049I,AIRCRAFT,NORMAL TIE DOWN AREA,1,LOCATION,27
19800120016369I,AIRCRAFT,STICKING FLAP,1,HAS CAUSE,29
19800615052619I,AIRCRAFT,NIGHT,1,TIME PERIOD,71
19791014005659A,CRASHED,SHORTLY AFTER TAKEOFF,1,FOLLOWS,1
19791126034419A,CRASHED,OFF END RWY,1,LOCATION,13
19791014005659A,WATER,STRAINER,1,LOCATION,1
19800119018919I,WATER,LOWEST POINT IN FUEL SYSTEM,1,LOCATION,32
19800219031689I,WATER,GASCOLATOR,1,LOCATION,39
19800223029599I,WATER,FUEL TANKS,1,LOCATION,45
19800224029629I,WATER,FUEL,1,LOCATION,46
19800403047119I,WATER,TANKS,1,LOCATION,52
19791116043249A,BROKEN EXHAUST PIPE,AIRLINE,1,PART OF,4
19791014052729I,ENGINE,BECAME ROUGH,1,HAS EFFECT,7
19800217031679I,ENGINE,WATER IN FUEL TANKS,1,HAS CAUSE,40
19800217031679I,ENGINE,WATER IN FUEL SYSTEM,1,HAS CAUSE,40
19800223026959I,ENGINE,STOPPED,1,HAS EFFECT,44
19800403047119I,ENGINE,FUEL CONTAMINATION,1,HAS CAUSE,52
19800322006789A,ENGINE,DIDN'T DRAIN FUEL LINES,1,HAS CAUSE,57
19800322006789A,ENGINE,QUIT ON TAKEOFF,1,HAS EFFECT,57
19791014052729I,MADE PRECAUTIONARY LANDING,FIELD,1,LOCATION,7
19791015052549I,ENGINE QUIT,FUEL STARVATION,1,HAS CAUSE,8
19800219031689I,ENGINE QUIT,AFTER TAKEOFF,1,FOLLOWS,39
19800129002139A,ENGINE QUIT,WATER AND DIRT IN FUEL TANK,1,HAS CAUSE,41
19800607046889I,ENGINE QUIT,WATER IN FUEL,1,HAS CAUSE,67
19791222048669I,LAND GEAR,PILOT,1,USED BY,9
19791219034489A,HARD AUTOROTATE LANDING,WIND RAISED LIGHT SLING LOAD,1,HAS CAUSE,12
19791126034419A,CFI,STUDENT,1,USED BY,13
19791126034419A,ATTEMPTED TAKEOFF,SNOW COVERED RWY,1,LOCATION,13
19791126034419A,ATTEMPTED TAKEOFF,ICE ON WINGS,1,HAS CAUSE,13
19791126034419A,UNABLE TO CLIMB,ICE ON WINGS,1,HAS CAUSE,13
19791221039859A,WATER IN TANKS,ENGINE TO STOP,1,HAS CAUSE,14
19791221039859A,ENGINE TO STOP,AFTER TAKEOFF,1,FOLLOWS,14
19791221039859A,LANDED,FIELD,1,LOCATION,14
19791228036809A,SNOW & ICE,ACFT,1,LOCATION,16
19791210043359A,UNABLE TO STOP,RUNWAY,1,LOCATION,19
19800429039119A,RUNWAY,TAXIWAY,1,PART OF,73
19791210043359A,DROPPED,CLIFF,1,LOCATION,19
19791210036229A,RAN OFF,END OF RUNWAY,1,LOCATION,20
19800109001489A,ELECTRIC POWER,LOSS,1,HAS EFFECT,22
19800109001489A,GEAR,COLLAPSED,1,HAS EFFECT,22
19800109001489A,GEAR,LANDING ROLL,1,EVENT DISTANCE,22
19800501044549I,GEAR,EMERGENCY SYSTEM,1,USED BY,62
19800518014229A,GEAR,DAMAGE TO LEFT WING,1,HAS EFFECT,72
19800114013749I,COPILOT LANDING,AFTER LANDING,1,INSTANCE OF,24
19800807063609I,AFTER LANDING,EVENT,1,INSTANCE OF,86
19800118015029I,LANDING GEAR,RETRACT RODS,1,PART OF,28
19800128019739I,TEMPERATURE,16 BELOW ZERO,1,INSTANCE OF,30
19800119018919I,ICE,LOWEST POINT IN FUEL SYSTEM,1,LOCATION,32
19800119018919I,ICE,STRAINER,1,LOCATION,32
19800127019329I,FORCED LANDING,ENGINE FAILURE,1,HAS CAUSE,33
19800504044909I,FORCED LANDING,FIELD,1,LOCATION,63
19800519054059I,FORCED LANDING,LOUD NOISES,1,HAS CAUSE,65
19800714060679I,FORCED LANDING,ENGINE FAILED,1,HAS CAUSE,81
19800128019779I,SMOKE,COCKPIT,1,LOCATION,34
19800128019779I,SMOKE,LIFTOFF,1,FOLLOWS,34
19800128019779I,SMOKE,RAG IN THE ENGINE COWL,1,HAS CAUSE,34
19800128019789I,OIL,COWLING,1,LOCATION,35
19800129020169I,BRAKES,FREEZING UP,1,HAS EFFECT,36
19800822082749I,BRAKES,INOPERATIVE,1,INFLUENCED BY,83
19800822082749I,BRAKES,AFTER LANDING,1,FOLLOWS,83
19800822082749I,BRAKES,REPLACED,1,FOLLOWED BY,83
19800216026099I,DURING EMERGENCY LANDING,FIELD,1,LOCATION,38
19800208002479A,HARD LANDING,THROTTLE FROZE UP,1,HAS CAUSE,42
19800208002479A,SNOW AND ICE,SURFACE AT DEPARTURE,1,LOCATION,42
19800223026959I,ENGINE STOPPED,CARBURETOR ICE,1,HAS CAUSE,44
19800223026959I,ENGINE STOPPED,FUEL CONTAMINATION,1,HAS CAUSE,44
19800228028039I,UP ELEVATOR,PROP BLAST DURING TAXI,1,HAS CAUSE,47
19800319040039I,POWER LOSS,LOSS OF OIL,1,HAS CAUSE,49
19800320047429I,TAKEOFF WARNING HORN,ABORTED TAKEOFF,1,HAS EFFECT,50
19800507051499I,ABORTED TAKEOFF,ACCESS DOOR LIGHT CAME ON,1,HAS CAUSE,64
19800331045949I,ON TAKEOFF ROLL,60 MPH,1,EVENT DISTANCE,51
19800225005279A,SEAT,AIRPLANE,1,PART OF,53
