c5_sources,node,count
19790928027659A,FUEL STAINS,1
19790928027659A,TOP OF LEFT WING,1
19791014005659A,STUDENT PILOT,3
19791014005659A;19791222048669I;19800611054319I,PILOT,3
19791014005659A;19791222048699I;19800113015049I;19800120016369I;19800615052619I,AIRCRAFT,6
19791014005659A;19791126034419A;19800322006789A,CRASHED,4
19791014005659A,SHORTLY AFTER TAKEOFF,1
19791014005659A;19800119018919I;19800219031689I;19800223029599I;19800224029629I;19800403047119I,WATER,6
19791014005659A;19800119018919I,STRAINER,2
19791014005659A,OUT OF LICENSE,1
19791116043249A,BROKEN EXHAUST PIPE,1
19791116043249A,AIRLINE,1
19791014052729I;19800217031679I;19800223026959I;19800322006789A;19800403047119I,ENGINE,7
19791014052729I,BECAME ROUGH,1
19791014052729I,MADE PRECAUTIONARY LANDING,1
19791014052729I;19791221039859A;19800216026099I;19800504044909I,FIELD,4
19791015052549I;19800129002139A;19800219031689I;19800322006789A;19800607046889I,ENGINE QUIT,5
19791015052549I;19800716028479A,FUEL STARVATION,2
19791222048669I,LAND GEAR,1
19791222048699I,IMPROPERLY FUELED FOR DEPARTURE,1
19791219034489A,HARD AUTOROTATE LANDING,1
19791219034489A,WIND RAISED LIGHT SLING LOAD,1
19791126034419A,CFI,1
19791126034419A,STUDENT,1
19791126034419A,ATTEMPTED TAKEOFF,2
19791126034419A,SNOW COVERED RWY,1
19791126034419A,ICE ON WINGS,2
19791126034419A,UNABLE TO CLIMB,1
19791126034419A,OFF END RWY,1
19791221039859A,WATER IN TANKS,1
19791221039859A,ENGINE TO STOP,2
19791221039859A;19800219031689I;19800321006629A;19800427044589I,AFTER TAKEOFF,4
19791221039859A,LANDED,1
19791228036809A,SNOW & ICE,1
19791228036809A,ACFT,1
19791210043359A,UNABLE TO STOP,1
19791210043359A;19800429039119A;19800523016979A,RUNWAY,3
19791210043359A,DROPPED,1
19791210043359A,CLIFF,1
19791210036229A,RAN OFF,1
19791210036229A;19800623021719A,END OF RUNWAY,2
19800109001489A,ELECTRIC POWER,1
19800109001489A,LOSS,1
19800109001489A;19800501044549I;19800518014229A,GEAR,4
19800109001489A;19800413049409I,COLLAPSED,2
19800109001489A,LANDING ROLL,1
19800114013749I,COPILOT LANDING,1
19800114013749I;19800807063609I;19800822082749I,AFTER LANDING,3
19800113015049I,NORMAL TIE DOWN AREA,1
19800118015029I,LANDING GEAR,1
19800118015029I,RETRACT RODS,1
19800120016369I,STICKING FLAP,1
19800128019739I,TEMPERATURE,1
19800128019739I,16 BELOW ZERO,1
19800119018919I,ICE,2
19800119018919I,LOWEST POINT IN FUEL SYSTEM,2
19800127019329I;19800504044909I;19800519054059I;19800714060679I,FORCED LANDING,5
19800127019329I,ENGINE FAILURE,1
19800128019779I,SMOKE,3
19800128019779I,COCKPIT,1
19800128019779I,LIFTOFF,1
19800128019779I,RAG IN THE ENGINE COWL,1
19800128019789I,OIL,1
19800128019789I,COWLING,1
19800129020169I;19800822082749I,BRAKES,4
19800129020169I,FREEZING UP,1
19800216026099I;19800716028479A,DURING EMERGENCY LANDING,2
19800219031689I,GASCOLATOR,1
19800217031679I,WATER IN FUEL TANKS,1
19800217031679I,WATER IN FUEL SYSTEM,1
19800129002139A,WATER AND DIRT IN FUEL TANK,1
19800208002479A,HARD LANDING,1
19800208002479A,THROTTLE FROZE UP,1
19800208002479A,SNOW AND ICE,1
19800208002479A,SURFACE AT DEPARTURE,1
19800223026959I,STOPPED,1
19800223026959I,ENGINE STOPPED,2
19800223026959I,CARBURETOR ICE,1
19800223026959I;19800403047119I,FUEL CONTAMINATION,2
19800223029599I,FUEL TANKS,1
19800224029629I,FUEL,1
19800228028039I,UP ELEVATOR,1
19800228028039I,PROP BLAST DURING TAXI,1
19800319040039I,POWER LOSS,1
19800319040039I,LOSS OF OIL,1
19800320047429I;19800805067769I,TAKEOFF WARNING HORN,2
19800320047429I;19800507051499I,ABORTED TAKEOFF,2
19800331045949I,ON TAKEOFF ROLL,1
19800331045949I,60 MPH,1
19800403047119I,TANKS,1
19800225005279A,SEAT,2
19800225005279A;19800611054319I,AIRPLANE,2
19800225005279A,TAXI FOR TAKEOFF,1
19800321006629A,FAILED TO CLIMB,1
19800321006629A,HIT TREE,1
19800321006629A,DEPARTURE END OF RUNWAY,1
19800322006789A,FUEL LINES,1
19800322006789A,WATER IN TANK,1
19800322006789A,DIDN'T DRAIN FUEL LINES,1
19800322006789A,QUIT ON TAKEOFF,1
19800322006789A;19800413049409I,PLANE,3
19800408048109I,FAILED TO REMOVE NOSE DOWNLOCK PIN,1
19800408048109I,UNSCHEDULED LANDING,1
19800415047829I,ENGINE STOPPAGE,1
19800415047829I;19800519054059I;19800607046889I,WATER IN FUEL,3
19800427044589I,ELECTRICAL FAILURE,1
19800501044549I,EMERGENCY SYSTEM,1
19800507051499I,ACCESS DOOR LIGHT CAME ON,1
19800519054059I,LOUD NOISES,1
19800615052619I,NIGHT,1
19800518014229A,DAMAGE TO LEFT WING,1
19800429039119A,TAXIWAY,1
19800413049409I,NOSE GEAR,1
19800413049409I;19800523016979A,MAINTENANCE,2
19800508011869A,RAN OUT OF FUEL,1
19800508011869A,DID NOT CHECK FUEL TIME USED,1
19800423010499A,GEAR UNSAFE LIGHT,1
19800423010499A,LIGHT,1
19800423010499A,GO-AROUND,1
19800423010499A,STARTED WITHOUT ADVANCING PROPS,1
19800423010499A,SETTLED,1
19800423010499A;19800620022039A,INTO TREES,2
19800608019219A,STALLED,1
19800608019219A,AVOIDING TREES,1
19800608019219A,STUCK RINGS AND VALVES,1
19800608019219A,SLUDGE IN OIL,1
19800421009329A,GEAR RETRACTION,2
19800421009329A,CLIMBOUT,1
19800421009329A,EMERGENCY GEAR HANDLE,1
19800424010429A,MAIN ROTOR,1
19800424010429A,SEVERED TAIL ROTOR,1
19800523016979A,AILERONS,1
19800523016979A,WING-TIP,3
19800523016979A,WING,1
19800523016979A,AFTER LIFT-OFF,1
19800714060679I;19800716028479A,ENGINE FAILED,3
19800714060679I,LACK OF OIL,1
19800805067769I,TAKEOFF REJECTED,1
19800822082749I,INOPERATIVE,1
19800822082749I,HYDRAULIC RESERVOIR,1
19800822082749I,EMPTY,1
19800822082749I,REPLACED,1
19800815066579I,OIL LEAK,1
19800815066579I,DIPSTICK NOT BEING SECURED,1
19800807063609I,STRUCK,1
19800807063609I,LOG IN TALL GRASS,1
19800807063609I,EVENT,1
19800620022039A,LOST DIRECTIONAL CONTROL,1
19800620022039A,VEERED OFF RUNWAY,2
19800823080969I,ELECTRICAL SYSTEM FAILURE,1
19800823080969I,CORRODED BATTERY LEAD,1
19800716028479A,CRASH,1
19800707059709I,PREVIOUS LANDING,1
19800707059709I,ROUGH PRIVATE RUNWAY,1
19800820066389I,BENT ACTUATOR,1
19800820066389I,PREVIOUS BRAKE AND TIRE FAILURE,2
19800820066389I,BENT THE ROD,1
19800623021719A,DITCH,1
