c5_sources,node,count
19751029037799A;19790720021329A;19990213001379A,ACFT,4
19850315007389A;19950527014439A;19990213001379A,LOST CONTROL,6
19780129004679I;19780210005719I;19780210006769I;19780218007139I;19780225001789I;19780225001819I;19780228000419I;19780309015599I;19780325010349I;19780518033959I;19800217031649I;19840121015319I;19840821046409A;19850418016709I;19860530030499A;19940818022409A;19950216008379I;19971226042729I;19991230042089A;20030620012809I,ENGINE,26
19780210006769I;19800217031649I,QUIT,2
19790720021329A;20000215010329A;20010411006739I;20050504010229A;20051009024969I,HELICOPTER,6
19780106001449I;19790720021329A,IMPROPER PREFLIGHT,2
19790720021329A;19840821046409A;19880527016939A;19910710026989A;19920405008919A,CRASHED,5
19790720021329A,LOAD WEDGED IN TREES,1
19860128014289I,FORWARD CARGO DOOR,1
19860128014289I;19991230042089A,AIRCRAFT TOOK OFF,2
20000215010329A,BELL HELICOPTER MODEL BHT-47-G5,1
19780309015599I;19780421012829I;19780526040429I;19850315007389A;19860530030499A;19860706034879A;19950216008379I;20051009024969I,PILOT,9
19850315007389A,ICING,2
19850315007389A,ALTIMETER,1
19850315007389A,NOT IFR CERTIFIED,1
19900425011659A;19960322013629I,FERRY FLIGHT,2
19780106001449I;19900425011659A,RAN OUT OF FUEL,2
19900425011659A,LEFT PONTOON,1
19900425011659A,SEPARATED LANDING IN A POND,1
19991230042089A,STARTED CUTTING OUT,1
19991230042089A,NOT DEVELOPING ENOUGH POWER,1
19991230042089A,SHORTLY AFTER,1
19820725041999I,LOOSE COWLING,1
19780210006769I;19780303015509I;19820725041999I;19840821046409A;19870606018859A,AFTER TAKEOFF,5
19780401007929I;19780421012829I;19780429014759I;19780913017419I;19840821046409A;19860530030499A;19860706034879A;19870309039779I;19940412011509I;19950216008379I;19960322013629I;19970523014439I;20000215041409A;20000625032189I;20010421009329I;20010910029739I;20050429009279I,AIRCRAFT,17
19940412011509I,DESCENT,1
19971226042729I,NR2 ENGINE,1
19950619021589I,LANDED OFF AIRPORT,3
19950619021589I,HIGH OIL TEMP,1
19950619021589I,SHEARED MAIN GEAR,1
19780221000179I;19950619021589I,LOW ON OIL,3
19940815046149I,ANTENNA,1
19940815046149I,CRACKED WINDSHIELD,1
19781108022239I;19790718019229I,BAGGAGE CART,6
19790718019229I,GROUND STAND,1
19790718019229I,9 INCH TEAR IN FUSELAGE,1
19790718019229I,INOPERATIVE BRAKES,1
19781108022239I;19790718019229I;19870309039779I,PARKED AIRCRAFT,3
20000625032189I,NORTHWEST AIRLINES DC-10 BOEING,1
19860530030499A,OVERHEAT,1
19860530030499A,HOT OIL SMELL,1
19860530030499A,FAILED TO REMOVE AIR INTAKE PLUGS,1
19860530030499A,NOSED OVER IN FURROWS,1
19821117066379I,ACCESS DOOR,1
19821117066379I,FUSELAGE,1
19950602032329I,VEERED OFF TAXIWAY,1
19950602032329I,STRUCK TAXIWAY LIGHT,1
19780429014759I;19901101064289I,FUEL CAP,2
19780309015599I;19901101064289I,RIGHT TANK,2
19780112002729I;19780509032859I;19791128035159A;19860706034879A;19950804028629A,WATER,5
19780112002729I;19780509032859I;19791128035159A;19860706034879A;19950804028629A,FUEL,6
19840121015319I,SOLID ICE IN CARBURETOR BOWL,1
19870523018729A;19871211075169A;19910710026989A;19950527014439A,CLIMBOUT,5
19950527014439A,TOW RELEASE,1
19950527014439A,ROLLED BOTH WAYS,1
19950527014439A,SPIRAL TO IMPACT,1
19950527014439A,NEGLECTED TO CONNECT RIGHT AILERON,1
19850418016709I,POWER FAILURE,1
19780913017419I,FRONT BAGGAGE DOOR,1
19870606018859A,UNABLE TO STAY AIRBORNE,1
20050504010229A,SIKORSKY S-70A,2
20050504010229A,INFLIGHT,1
20050429009279I,PARKING,1
19890723054159I,INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS,1
19890723054159I,PASSENGERS ONBOARD,1
19970523014439I,CARGO DOOR,1
19781108022239I,JET BLAST,1
19940226003029A;19950804028629A;19980508008619A,LOST POWER,3
19780221000179I;19980508008619A,FAILED TO VISUALLY CHECK FUEL,2
19940818022409A,LEFT ENGINE,1
19940818022409A,NEAR H71,1
19940818022409A,BAD OIL LEAK,1
19940818022409A,CRACKED ENGINE CASE,1
19920405008919A,ATTEMPTED TAKEOFF,1
19920405008919A,2500 FT SOD STRIP,1
19920405008919A,HIT TREES,1
19780108002219I;19780110002479I;19780112002729I;19780403009389I;19780507032369I;19780509032859I;19840821046409A;19871027060859A;19980620030289I,FORCED LANDING,10
19840821046409A,FAILURE,2
19840821046409A,ANNUAL INSPECTION,1
19950216008379I,CESSNA 207,4
19950216008379I,BETHEL AIRPORT,1
19850525020799A,STRUCK TREE,1
19850525020799A,3 MILES FROM AIRPORT,1
20010421009329I,RPM LOSS,1
19780403009359I;19780529040959I;19850729066139I;19871211075169A;19911222062669I;19940226003029A;19960524045629A,LANDED,9
19960524045629A,SEA ICE,1
19871211075169A,ROUGH ENGINE,1
19871211075169A,CITY STREET,1
19780211006969I;19780401007929I;20010910029739I,NOSE GEAR,3
19871027060859A,IFR DUAL FLIGHT,2
19870523018729A;19871027060859A,PILOT ERROR,2
19910710026989A,STALLED,2
19910710026989A,SEAT TRACK,1
19910710026989A,NO LOCKING PINS,1
19910710026989A,SEAT PIN,1
19910710026989A,BENT,1
19910710026989A,BELT,1
19910710026989A,NOT FASTENED,1
19780112002729I;19780509032859I,POWER LOSS,2
19950314029269I,N7016M,1
19950314029269I,AMATEUR BUILT AIRCRAFT,1
19780106001449I;19780221000179I;19950314029269I,EMERGENCY OFF AIRPORT LANDING,5
19950314029269I,NEAR THE BLO,1
19950314029269I,MARCH 14, 1995
19780225001819I;19800804037399A,FUEL EXHAUSTION,2
19800804037399A,FUEL SIPHONED,1
19780402008409I,WORN OUT & INEFFECTIVE BRAKES,1
19780402008409I,STRUCK,1
19780225001819I;19911222062669I,AFTER LIFTOFF,3
19780113002859I;19911222062669I,ABORTED,3
19911222062669I,NOTICED,1
19780316008589I;19780504031959I;19911222062669I,RUNWAY,4
19780504031959I;19911222062669I,RAN OFF,3
19781210024199I,WHEELS,1
19781210024199I,SNOW PACKED IN THE WHEEL PANTS,1
19950804028629A,LANDED HARD,2
19950804028629A,ROUGH WATER,1
19950804028629A,DAMAGED,2
19770927027719A;19950804028629A,FLOATS,2
19950804028629A,LONGERON,1
19950804028629A,MISREAD,2
19950804028629A,WATER IN SUMP,1
19780228000419I;20040925025079A,FUEL CONTAMINATION,4
20040925025079A,AIRFRAME FUEL FILTER,1
20040925025079A,FUEL FILTER,1
20040925025079A,ENGINE DRIVEN FUEL PUMP FILTER,1
19870309039779I,N106DA,1
19870309039779I,BRAKE PROBLEMS,1
20020619014309A,N759TY,1
20020619014309A,CE-182,1
19951031041599A,TEST FLIGHT,1
19951031041599A,STORAGE,1
19850729066139I,FIELD,1
19940226003029A,LEFT FUEL CAP LEAKED,3
19940226003029A,PRIVATE STRIP,1
19940226003029A,NOSED OVER,1
19940226003029A,PREVENTED GRAVITY FUEL FLOW,1
20010411006739I,HELIPAD,1
19870816062719I,COPPER TUBE,1
19870816062719I,AERIAL BANNERS,1
19980620030289I,HIGHWAY 93,1
19990923027739A,N153JC,1
19990923027739A,HOMEBUILT CIERNIA GLASAIR III,1
19980415037339I,NOSE BAGGAGE DOOR,1
19980415037339I,NOSE LANDING GEAR,1
19950826026019A,NR1 ENGINE,1
19950826026019A,COMPRESSOR STALL,1
20000215041409A,BEECH 1900D,1
20000215041409A,N81SK,1
20000215041409A,SKYWAY AIRLINE,1
20000215041409A,SKYWAY AIRLINE FLIGHT,1
20000215041409A,FEBRUARY 19, 2000
19880527016939A,AVOIDING TREES,1
19970828026989A,DURING TAKEOFF ROLL,1
19970828026989A,LOUD POP,1
19970828026989A,RWY,1
19970828026989A,CORNFIELD,1
19870523018729A,CANOPY,2
19870523018729A,UNCONTROLLED GROUND COLLISION,2
20030620012809I,OIL FILLER CAP,1
19750315005389A,TAILWHEEL,1
19750315005389A,PRIOR TO TKOF,1
19751029037799A,2ND ILS APCH,1
19751029037799A,G/S INOP,1
19751209037899A,RETURNED,2
19751209037899A,SOFT BRAKE,1
19751209037899A,STRONG WINDS BOS,1
19750818025579A,R MAIN GR,1
19750818025579A,TAXI OFF HARD SFC,1
19750923031109A,DEP,2
19750923031109A,DEST,1
19750923031109A,KNOWN ELEC PROB,1
19760215007629A;19770703018529A,FIRST FLT,2
19760215007629A,MTNS OBSCURED,1
19760507010379A,GEAR-UP LANDING,1
19760507010379A,MESQUITE BRUSH,1
19760730023679A,ELECT SYST,1
19760730023679A,WENT DEAD,1
19770702018479A,R RUDDER CABLE,1
19770702018479A,BATTERY BOX SUPPORT STRUCTURE,1
19770814024089A,L MAG,1
19770814024089A,INOP,1
19770530012939A,WRONG PROP,1
19770530012939A,INSTALLED,1
19770528021299A,R BRAKE,1
19770528021299A,DOWN,1
19770705018649A,MIXTURE CONTROL,1
19770705018649A,HANDLE,1
19770617020389A,INSUFFICIENT ALTITUDE,1
19770617020389A,UNSUCCESSFUL AUTOROTATION,1
19770703018529A,AFTER ANNUAL,1
19780108002219I;19780110002479I;19780129004679I;19780210006769I;19780219007659I;19780328011399I;19780416008469I;19780429014759I;19780529040959I;19780613045599I,ENGINE QUIT,14
19780108002219I;19780110002479I;19780210006769I;19780225001789I;19780416008469I;19780429014759I;19780518033959I;19780529040959I,WATER IN FUEL,11
19780108002219I,FROZEN,1
19780113002859I,UNLOCKED DOOR,1
19780129004679I,AFTER LANDING,1
19780129004679I,FROZEN LAKE,1
19780129004679I;19780210005719I,ICE,2
19780129004679I,MAIN FUEL STRAINER,1
19770927027719A,REAR COMPTMT,2
19770927027719A,EXCEEDED AFT CG LMT,1
19771016042599A,WIND,1
19771016042599A;19780520014159A,GUSTING TO 25,2
19780211006969I,FERRIED FROM AN EARLIER COLLAPSE,1
19780219007659I,ICE IN THE FUEL SYSTEM,1
19780218007139I,SNOW PACKED IN ENGINE COWL,1
19780225001789I,SYSTEM,1
19780225001789I,GASCOLATOR,1
19780225001789I,CARBURETOR,1
19780221000179I,LOW OIL PRESSURE,2
19780228000419I,BEGAN SURGING,1
19780303015509I,ELECTRICAL EMERGENCY,2
19780303015509I,JUMP START,1
19780421012829I,AIRCRAFT LIGHT,1
19780421012829I,DIMMING,1
19780421012829I;19780617046219I,FLIGHT,2
19780421012829I,NIGHT,1
19780316008589I,DITCH,1
19780325010349I,WATER CONTAMINATION IN THE FUEL SYSTEM,1
19780328011399I,LIFT OFF,1
19780328011399I;19780613045599I,WATER IN THE FUEL SYSTEM,2
19780402009009I;19780409009699I,ELECTRICAL FAILURE,2
19780402009009I,FINAL,1
19780403009359I,SHORT OF RUNWAY,1
19780403009389I,HIGHWAY,1
19780409009699I,EXTENDED GEAR MANUALLY,1
19780309015599I,VACUUM IN THE TANK,1
19780309015599I,NON-VENTED CAP,1
19780309015599I,FUEL LEAK,1
19780507032369I,OIL LEAK,1
19780617046219I,MAG. FAILURE,1
19780520014159A,GUSTING TO 30K,1
19780429014759I,LANDED ON FREEWAY,1
19780501031459I,UNSCHEDULED LANDING,1
19780501031459I,OIL COMING FROM ENGINES,2
19780501031459I,BOTH OIL CAPS NOT LOCKED PROPERLY,1
