existing_node,match,new_row,final_node,similarity
TAKEOFF,AFTER TAKEOFF,11,AFTER TAKEOFF,1.0
SIDE OF PARKED AIRCRAFT,PARKED AIRCRAFT,17,PARKED AIRCRAFT,1.0000001
TAKEOFF,AFTER TAKEOFF,25,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,25,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,34,AFTER TAKEOFF,1.0
SIDE OF PARKED AIRCRAFT,PARKED AIRCRAFT,42,PARKED AIRCRAFT,1.0000001
TAKEOFF,AFTER TAKEOFF,50,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,55,AFTER TAKEOFF,1.0
TAKEOFF ROLL,DURING TAKEOFF ROLL,62,DURING TAKEOFF ROLL,1.0000001
TAKEOFF,AFTER TAKEOFF,64,AFTER TAKEOFF,1.0
LIFTOFF,AFTER LIFTOFF,69,AFTER LIFTOFF,1.0
SAME RUNWAY,RUNWAY,69,RUNWAY,1.0
SIDE OF RUNWAY,RUNWAY,69,RUNWAY,1.0
EMPTY,BACK,95,BACK,1.0000001
TAKEOFF ROLL,DURING TAKEOFF ROLL,97,DURING TAKEOFF ROLL,1.0000001
FLT,FIRST FLT,103,FIRST FLT,1.0
FLT,FIRST FLT,107,FIRST FLT,1.0
UNDER,BACK,121,BACK,1.0000001
FLT,FIRST FLT,127,FIRST FLT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,132,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,132,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,134,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,136,AFTER ENGINE QUIT,1.0
LANDING,AFTER LANDING,136,AFTER LANDING,1.0
TAKEOFF ROLL,DURING TAKEOFF ROLL,140,DURING TAKEOFF ROLL,1.0000001
PREFLIGHT,DURING PREFLIGHT,145,DURING PREFLIGHT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,150,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,150,AFTER ENGINE QUIT,1.0
WATER IN THE FUEL,WATER IN FUEL,150,WATER IN FUEL,1.0
ENGINE QUIT,AFTER ENGINE QUIT,152,AFTER ENGINE QUIT,1.0
LIFTOFF,AFTER LIFTOFF,157,AFTER LIFTOFF,1.0
TAKEOFF,AFTER TAKEOFF,161,AFTER TAKEOFF,1.0
TOUCHDOWN,AFTER TOUCHDOWN,161,AFTER TOUCHDOWN,1.0
RAN OUT,RAN OFF,163,RAN OFF,1.0
DOWN,BACK,164,BACK,1.0000001
TOUCHDOWN,AFTER TOUCHDOWN,164,AFTER TOUCHDOWN,1.0
DURING TAKEOFF,AFTER TAKEOFF,166,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,168,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,168,AFTER ENGINE QUIT,1.0
WATER IN THE FUEL SYSTEM,WATER IN FUEL SYSTEM,168,WATER IN FUEL SYSTEM,1.0
ENGINE TO QUIT,AFTER ENGINE QUIT,176,AFTER ENGINE QUIT,1.0
LANDING,AFTER LANDING,180,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,183,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,184,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,184,AFTER ENGINE QUIT,1.0
TAKEOFF,AFTER TAKEOFF,187,AFTER TAKEOFF,1.0
SIDE OF RUNWAY,RUNWAY,187,RUNWAY,1.0
SIDE OF AIRCRAFT,AIRCRAFT,190,AIRCRAFT,1.0
TAKEOFF,AFTER TAKEOFF,191,AFTER TAKEOFF,1.0
RUNUP,DURING RUNUP,192,DURING RUNUP,1.0
ENGINE QUIT,AFTER ENGINE QUIT,194,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,199,AFTER ENGINE QUIT,1.0
WATER IN THE FUEL SYSTEM,WATER IN FUEL SYSTEM,199,WATER IN FUEL SYSTEM,1.0
TOUCHDOWN,AFTER TOUCHDOWN,202,AFTER TOUCHDOWN,1.0
TAKEOFF,AFTER TAKEOFF,215,AFTER TAKEOFF,1.0
WATER IN THE FUEL SYSTEM,WATER IN FUEL SYSTEM,216,WATER IN FUEL SYSTEM,1.0
TAKEOFF,AFTER TAKEOFF,220,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,225,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,226,AFTER TAKEOFF,1.0
WATER IN THE FUEL,WATER IN FUEL,226,WATER IN FUEL,1.0
TAKEOFF,AFTER TAKEOFF,227,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,227,AFTER LANDING,1.0
SIDE OF RUNWAY,RUNWAY,230,RUNWAY,1.0
ENGINE QUIT,AFTER ENGINE QUIT,232,AFTER ENGINE QUIT,1.0
TAKEOFF,AFTER TAKEOFF,233,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,238,AFTER LANDING,1.0
NOSE WHEEL DOWN,NOSE WHEEL,240,NOSE WHEEL,1.0
WHEEL WELL,WHEEL,240,WHEEL,1.0
TOUCHDOWN,AFTER TOUCHDOWN,246,AFTER TOUCHDOWN,1.0
ENGINE QUIT,AFTER ENGINE QUIT,251,AFTER ENGINE QUIT,1.0
GEAR UP,GEAR,251,GEAR,1.0
ENGINE QUIT,AFTER ENGINE QUIT,254,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,254,AFTER ENGINE QUIT,1.0
OIL LOSS,AFTER OIL LOSS,255,AFTER OIL LOSS,1.0
LANDING,AFTER LANDING,256,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,257,AFTER TAKEOFF,1.0
WATER IN THE FUEL SYSTEM,WATER IN FUEL SYSTEM,262,WATER IN FUEL SYSTEM,1.0
NO BRAKES,BRAKES,269,BRAKES,1.0
TAKEOFF,AFTER TAKEOFF,270,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,272,AFTER ENGINE QUIT,1.0
WATER IN THE FUEL,WATER IN FUEL,272,WATER IN FUEL,1.0
WATER IN THE FUEL,WATER IN FUEL,272,WATER IN FUEL,1.0
ON LANDING,AFTER LANDING,281,AFTER LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,282,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,283,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,283,AFTER ENGINE QUIT,1.0
OUT,BACK,287,BACK,1.0000001
ON LANDING,AFTER LANDING,291,AFTER LANDING,1.0
DURING TAKEOFF,AFTER TAKEOFF,293,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,294,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,296,AFTER TAKEOFF,1.0
