c5_sources,entity1,entity2,weight,relations,rows
19990213001379A,ACFT,LOST CONTROL,1,HAS CAUSE,0
19751029037799A,ACFT,2ND ILS APCH,1,INFLUENCED BY,102
19751029037799A,ACFT,G/S INOP,1,INFLUENCED BY,102
19850315007389A,LOST CONTROL,ICING,1,HAS CAUSE,7
19950527014439A,LOST CONTROL,CLIMBOUT,1,FOLLOWS,27
19950527014439A,LOST CONTROL,ROLLED BOTH WAYS,1,HAS EFFECT,27
19950527014439A,LOST CONTROL,SPIRAL TO IMPACT,1,HAS EFFECT,27
19950527014439A,LOST CONTROL,NEGLECTED TO CONNECT RIGHT AILERON,1,HAS CAUSE,27
19780210006769I;19800217031649I,ENGINE,QUIT,2,HAS EFFECT,1
19991230042089A,ENGINE,STARTED CUTTING OUT,1,HAS EFFECT,10
19991230042089A,ENGINE,NOT DEVELOPING ENOUGH POWER,1,HAS EFFECT,10
19860530030499A,ENGINE,OVERHEAT,1,HAS EFFECT,19
19860530030499A,ENGINE,HOT OIL SMELL,1,HAS EFFECT,19
19840121015319I,ENGINE,SOLID ICE IN CARBURETOR BOWL,1,HAS CAUSE,26
19850418016709I,ENGINE,POWER FAILURE,1,HAS CAUSE,31
19940818022409A,ENGINE,BAD OIL LEAK,1,HAS CAUSE,48
19940818022409A,ENGINE,CRACKED ENGINE CASE,1,HAS CAUSE,48
19840821046409A,ENGINE,FAILURE,1,HAS CAUSE,50
19950216008379I,ENGINE,CESSNA 207,1,PART OF,51
19780129004679I,ENGINE,AFTER ENGINE QUIT,1,HAS EFFECT,136
19780218007139I,ENGINE,SNOW PACKED IN ENGINE COWL,1,HAS CAUSE,155
19780225001789I;19780518033959I;19780725039589I,ENGINE,WATER IN FUEL,3,HAS CAUSE,156
19780225001819I,ENGINE,FUEL EXHAUSTION,1,HAS CAUSE,157
19780225001819I,ENGINE,AFTER LIFTOFF,1,FOLLOWS,157
19780228000419I,ENGINE,BEGAN SURGING,1,HAS EFFECT,160
19780228000419I,ENGINE,FUEL CONTAMINATION,1,HAS CAUSE,160
19780325010349I,ENGINE,WATER CONTAMINATION IN THE FUEL SYSTEM,1,HAS CAUSE,167
19780210005719I,ENGINE,ICE,1,HAS CAUSE,175
19780309015599I,ENGINE,VACUUM IN THE TANK,1,HAS CAUSE,177
