existing_node,match,new_row,final_node,similarity
FORCED LANDING,DURING FORCED LANDING,6,DURING FORCED LANDING,1.0
TAKEOFF,AFTER TAKEOFF,11,AFTER TAKEOFF,1.0
SIDE OF PARKED AIRCRAFT,PARKED AIRCRAFT,17,PARKED AIRCRAFT,1.0000001
TAKEOFF,AFTER TAKEOFF,25,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,25,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,34,AFTER TAKEOFF,1.0
SIDE OF PARKED AIRCRAFT,PARKED AIRCRAFT,42,PARKED AIRCRAFT,1.0000001
FORCED LANDING,DURING FORCED LANDING,50,DURING FORCED LANDING,1.0
FORCED LANDING,DURING FORCED LANDING,50,DURING FORCED LANDING,1.0
TAKEOFF,AFTER TAKEOFF,50,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,55,AFTER TAKEOFF,1.0
FORCED LANDING,DURING FORCED LANDING,58,DURING FORCED LANDING,1.0
FORCED LANDING,DURING FORCED LANDING,61,DURING FORCED LANDING,1.0
TAKEOFF ROLL,DURING TAKEOFF ROLL,62,DURING TAKEOFF ROLL,1.0
TAKEOFF,AFTER TAKEOFF,64,AFTER TAKEOFF,1.0
LIFTOFF,AFTER LIFTOFF,69,AFTER LIFTOFF,1.0
SAME RUNWAY,RUNWAY,69,RUNWAY,1.0
SIDE OF RUNWAY,RUNWAY,69,RUNWAY,1.0
TEST FLIGHT,FIRST TEST FLIGHT,83,FIRST TEST FLIGHT,1.0
FORCED LANDING,DURING FORCED LANDING,89,DURING FORCED LANDING,1.0
EMPTY,AGAIN,95,AGAIN,1.0000001
TAKEOFF ROLL,DURING TAKEOFF ROLL,97,DURING TAKEOFF ROLL,1.0
FLT,FIRST FLT,103,FIRST FLT,1.0
FLT,FIRST FLT,107,FIRST FLT,1.0
UNDER,AGAIN,121,AGAIN,1.0000001
FLT,FIRST FLT,127,FIRST FLT,1.0
FORCED LANDING,DURING FORCED LANDING,132,DURING FORCED LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,132,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,132,AFTER ENGINE QUIT,1.0
FORCED LANDING,DURING FORCED LANDING,133,DURING FORCED LANDING,1.0
FORCED LANDING,DURING FORCED LANDING,134,DURING FORCED LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,134,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,136,AFTER ENGINE QUIT,1.0
LANDING,AFTER LANDING,136,AFTER LANDING,1.0
TAKEOFF ROLL,DURING TAKEOFF ROLL,140,DURING TAKEOFF ROLL,1.0
PREFLIGHT,DURING PREFLIGHT,145,DURING PREFLIGHT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,150,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,150,AFTER ENGINE QUIT,1.0
WATER IN THE FUEL,WATER IN FUEL,150,WATER IN FUEL,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,152,AFTER ENGINE QUIT,1.0
LIFTOFF,AFTER LIFTOFF,157,AFTER LIFTOFF,1.0
TAKEOFF,AFTER TAKEOFF,161,AFTER TAKEOFF,1.0
TOUCHDOWN,AFTER TOUCHDOWN,161,AFTER TOUCHDOWN,1.0
RAN OUT,RAN OFF,163,RAN OFF,1.0
DOWN,AGAIN,164,AGAIN,1.0000001
TOUCHDOWN,AFTER TOUCHDOWN,164,AFTER TOUCHDOWN,1.0
DURING TAKEOFF,AFTER TAKEOFF,166,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,168,AFTER ENGINE QUIT,1.0
LIFT OFF,AFTER LIFT OFF,168,AFTER LIFT OFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,168,AFTER ENGINE QUIT,1.0
WATER IN THE FUEL SYSTEM,WATER IN FUEL SYSTEM,168,WATER IN FUEL SYSTEM,1.0
FORCED LANDING,DURING FORCED LANDING,173,DURING FORCED LANDING,1.0
ENGINE TO QUIT,AFTER ENGINE QUIT,176,AFTER ENGINE QUIT,1.0
FORCED LANDING,DURING FORCED LANDING,179,DURING FORCED LANDING,1.0
LANDING,AFTER LANDING,180,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,183,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,184,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,184,AFTER ENGINE QUIT,1.0
TAKEOFF,AFTER TAKEOFF,187,AFTER TAKEOFF,1.0
SIDE OF RUNWAY,RUNWAY,187,RUNWAY,1.0
SIDE OF AIRCRAFT,AIRCRAFT,190,AIRCRAFT,1.0
TAKEOFF,AFTER TAKEOFF,191,AFTER TAKEOFF,1.0
RUNUP,DURING RUNUP,192,DURING RUNUP,1.0
ENGINE QUIT,AFTER ENGINE QUIT,194,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,199,AFTER ENGINE QUIT,1.0
WATER IN THE FUEL SYSTEM,WATER IN FUEL SYSTEM,199,WATER IN FUEL SYSTEM,1.0
OVER RICH MIXTURE,TOO RICH A MIXTURE,201,TOO RICH A MIXTURE,1.0000001
TOUCHDOWN,AFTER TOUCHDOWN,202,AFTER TOUCHDOWN,1.0
TAKEOFF,AFTER TAKEOFF,215,AFTER TAKEOFF,1.0
WATER IN THE FUEL SYSTEM,WATER IN FUEL SYSTEM,216,WATER IN FUEL SYSTEM,1.0
TAKEOFF,AFTER TAKEOFF,220,AFTER TAKEOFF,1.0
MAINTENANCE,AFTER MAINTENANCE,223,AFTER MAINTENANCE,1.0
TAKEOFF,AFTER TAKEOFF,225,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,226,AFTER TAKEOFF,1.0
WATER IN THE FUEL,WATER IN FUEL,226,WATER IN FUEL,1.0000001
TAKEOFF,AFTER TAKEOFF,227,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,227,AFTER LANDING,1.0
SIDE OF RUNWAY,RUNWAY,230,RUNWAY,1.0
FORCED LANDING,DURING FORCED LANDING,232,DURING FORCED LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,232,AFTER ENGINE QUIT,1.0
TAKEOFF,AFTER TAKEOFF,233,AFTER TAKEOFF,1.0
FORCED LANDING,DURING FORCED LANDING,237,DURING FORCED LANDING,1.0
LANDING,AFTER LANDING,238,AFTER LANDING,1.0
NOSE WHEEL DOWN,NOSE WHEEL,240,NOSE WHEEL,1.0
WHEEL WELL,WHEEL,240,WHEEL,1.0
FORCED LANDING,DURING FORCED LANDING,241,DURING FORCED LANDING,1.0
TOUCHDOWN,AFTER TOUCHDOWN,246,AFTER TOUCHDOWN,1.0
ENGINE QUIT,AFTER ENGINE QUIT,251,AFTER ENGINE QUIT,1.0
GEAR UP,GEAR,251,GEAR,1.0
FORCED LANDING,DURING FORCED LANDING,254,DURING FORCED LANDING,1.0
FORCED LANDING,DURING FORCED LANDING,254,DURING FORCED LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,254,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,254,AFTER ENGINE QUIT,1.0
OIL LOSS,AFTER OIL LOSS,255,AFTER OIL LOSS,1.0
LANDING,AFTER LANDING,256,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,257,AFTER TAKEOFF,1.0
