c5_sources,node,count
19751029037799A;19781231044159A;19790623022919A;19790720021329A;19791228036809A;19990213001379A,ACFT,9
19790203005099I;19850315007389A;19950527014439A;19990213001379A,LOST CONTROL,7
19780129004679I;19780210005719I;19780210006769I;19780218007139I;19780225001789I;19780225001819I;19780228000419I;19780309015599I;19780325010349I;19780518033959I;19780625035779I;19780626034739I;19780725039589I;19780925018069I;19781230019999I;19790107000829I;19790113001939I;19790211007509A;19790414012459I;19790513026659I;19790602009889A;19790622017199I;19790623022919A;19790809030499I;19790813023739A;19791014052729I;19800217031649I;19800217031679I;19800223026959I;19800322006789A;19800403047119I;19840121015319I;19840821046409A;19850418016709I;19860530030499A;19940818022409A;19950216008379I;19971226042729I;19991230042089A;20030620012809I,ENGINE,50
19780210006769I;19800217031649I,QUIT,2
19780904017739I;19790525014229A;19790720021329A;20000215010329A;20010411006739I;20050504010229A;20051009024969I,HELICOPTER,11
19780106001449I;19790720021329A,IMPROPER PREFLIGHT,2
19790623022919A;19790720021329A;19791014005659A;19791126034419A;19800322006789A;19840821046409A;19880527016939A;19910710026989A;19920405008919A,CRASHED,10
19790720021329A,LOAD WEDGED IN TREES,1
19790207005339I;19860128014289I,FORWARD CARGO DOOR,2
19790510009019A;19860128014289I;19991230042089A,AIRCRAFT TOOK OFF,3
20000215010329A,BELL HELICOPTER MODEL BHT-47-G5,1
19780309015599I;19780421012829I;19780526040429I;19780704042039I;19790123003659I;19790216014249A;19790316004819A;19790405013359I;19790602009889A;19791014005659A;19791030053329I;19791222048669I;19800611054319I;19850315007389A;19860530030499A;19860706034879A;19950216008379I;20051009024969I,PILOT,20
19850315007389A,ICING,2
19850315007389A,ALTIMETER,1
19850315007389A,NOT IFR CERTIFIED,1
19900425011659A;19960322013629I,FERRY FLIGHT,2
19780106001449I;19800508011869A;19900425011659A,RAN OUT OF FUEL,3
19900425011659A,LEFT PONTOON,1
19900425011659A,SEPARATED LANDING IN A POND,1
19991230042089A,STARTED CUTTING OUT,1
19991230042089A,NOT DEVELOPING ENOUGH POWER,1
19991230042089A,SHORTLY AFTER,1
19820725041999I,LOOSE COWLING,1
19780210006769I;19780303015509I;19780625035779I;19790207005339I;19790224005689A;19790316004819A;19790319004969A;19790421024749I;19790609011809A;19790623014019A;19790623022919A;19791221039859A;19800219031689I;19800321006629A;19800427044589I;19820725041999I;19840821046409A;19870606018859A,AFTER TAKEOFF,18
19780401007929I;19780421012829I;19780429014759I;19780913017419I;19780923027059I;19781110039789A;19781117041969A;19790316004819A;19790319004969A;19790510009019A;19791014005659A;19791222048699I;19800113015049I;19800120016369I;19800615052619I;19840821046409A;19860530030499A;19860706034879A;19870309039779I;19940412011509I;19950216008379I;19960322013629I;19970523014439I;20000215041409A;20000625032189I;20010421009329I;20010910029739I;20050429009279I,AIRCRAFT,32
19940412011509I,DESCENT,1
19971226042729I,NR2 ENGINE,1
19950619021589I,LANDED OFF AIRPORT,3
19950619021589I,HIGH OIL TEMP,1
19950619021589I,SHEARED MAIN GEAR,1
19780221000179I;19950619021589I,LOW ON OIL,3
19940815046149I,ANTENNA,1
19940815046149I,CRACKED WINDSHIELD,1
19781108022239I;19790718019229I,BAGGAGE CART,6
19790718019229I,GROUND STAND,1
19790718019229I,9 INCH TEAR IN FUSELAGE,1
19790123003659I;19790718019229I,INOPERATIVE BRAKES,2
