c5_sources,entity1,entity2,weight,relations,rows
19760606015529A,GLIDER,NOSE HIGH ATTITUDE,1,HAS EFFECT,8
19780111000459A,ACFT DISPATCHER,PILOT,1,HASSA,50
19780111000459A,PILOT,TO REMOVE TIEDROPE,1,FORGOT,50
19781113027039I,PILOT,UNMARKED DITCH AT END OF TAXIWAY,1,EVENT DISTANCE,178
19791128035159A,PILOT,RAIN SHOWER,1,EVENT DISTANCE,334
19791128035159A,PILOT,ENGINE,1,USED BY,334
19791128035159A,PILOT,FIELD,1,LOCATION,334
19801005072789I,PILOT,END OF RUNWAY,1,EVENT DISTANCE,466
19821117066379I,PILOT,UNABLE TO PRESSURIZE,1,CAUSE,656
19821117066379I,PILOT,FOUND ACCESS DOOR SLIGHTLY OPEN,1,CAUSE,656
19821117066379I,PILOT,DEPRESSURIZED,1,CAUSE,656
19821117066379I,PILOT,DOOR OPENED FULLY,1,CAUSE,656
19821117066379I,PILOT,STOPPED BY FUSELAGE,1,CAUSE,656
19850315007389A,PILOT,LOWER ALTITUDE,1,EVENT DISTANCE,856
19850315007389A,PILOT,LOST CONTROL,1,EVENT DISTANCE,856
19850418016709I,PILOT,VISUALLY INSPECT FUEL TANKS,1,HAS EFFECT,891
19861114075329I,PILOT,MALFUNCTIONING ENCODING ALTIMETER,1,AWARE OF,1117
19930530020029I,PILOT,LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL,1,HAS CAUSE,1693
19930530020029I,PILOT,PILOTS SEAT,1,USED BY,1693
20010421009329I,PILOT,RPM LOSS,1,HAS EFFECT,2406
20010421009329I,PILOT,COULD NOT MAINTAIN ALTITUDE,1,HAS EFFECT,2406
20010421009329I,PILOT,MADE AN EMERG,1,ACTION,2406
20030620012809I,PILOT,OIL FILLER CAP NOT SECURE,1,HAS CAUSE,2488
20030620012809I,PILOT,OIL COMING OUT OF ENGINE,1,HAS CAUSE,2488
20050429009279I,PILOT,AIRCRAFT,1,USED BY,2598
20050429009279I,PILOT,TAXIING,1,EVENT DISTANCE,2598
20050429009279I,PILOT,PARKING,1,EVENT DISTANCE,2598
20050429009279I,PILOT,CARGO TRIP,1,EVENT DISTANCE,2598
20050429009279I,PILOT,TAXIWAY,1,EVENT DISTANCE,2598
19780402008409I,TAXIING AIRCRAFT,INEFFECTIVE BRAKES,1,HAS CAUSE,74
19780402008409I,INACTIVE AIRCRAFT,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT,1,CAUSE,74
19780427013859I,ENGINE COWLING,ENGINE IN FLIGHT,1,SEPARATED FROM,85
19980616023109I,ENGINE COWLING,SEPERATED,1,HAS CAUSE,2160
19780509032859I,POWER LOSS,FORCED LANDING,1,HAS CAUSE,111
19780509032859I,POWER LOSS,FOUND WATER IN FUEL,1,HAS CAUSE,111
19801116083749I,FORCED LANDING,ENGINE QUIT,1,CAUSE,467
19801116083749I,FORCED LANDING,ICE IN AUXILIARY FUEL SYSTEM,1,CAUSE,467
19780913017419I,ABORTED TAKEOFF,FRONT BAGGAGE DOOR POPPED OPEN,1,CAUSE,144
19780916024019A,TIE DOWN STRAP,LEFT SKID,1,ACROSS,155
