c5_sources,entity1,entity2,weight,relations,rows
19760606015529A,GLIDER,OPPORTUNITY,1,INSTANCE OF,8
19790609016529A,GLIDER,140 FEET ABOVE GROUND,1,EVENT DISTANCE,246
19780111000459A,ACFT DISPATCHER,HARRASSMENT OF PILOT,1,HAS CAUSE,50
19780111000459A,PILOT,FORGOT TO REMOVE TIEDROPE,1,HAS EFFECT,50
19781113027039I;19790123003659I;19970908038069A,PILOT,TAXI,3,USED BY,"173,178,2051"
19781113027039I,PILOT,TAXIED,1,FOLLOWED BY,178
19791128035159A,PILOT,FIELD,1,LANDED IN,334
19791128035159A,PILOT,RAN ROUGH,1,FOLLOWED BY,334
19801005072789I,PILOT,BRAKE,1,USED BY,466
19821117066379I,PILOT,PRESSURIZE,1,USED BY,656
19850315007389A,PILOT,ALTIMETER,1,USED BY,856
19850418016709I,PILOT,DID NOT VISUALLY INSPECT FUEL TANKS,1,USED BY,891
19781230019999I;19860706034879A,PILOT,TANKS,2,USED BY,"166,1037"
19860706034879A,PILOT,FUEL,1,USED BY,1037
19861114075329I,PILOT,MALFUNCTIONING ENCODING ALTIMETER,1,AWARE OF,1117
19870309039779I,PILOT,BRAKE PROBLEMS,1,UNAWARE OF,1151
19930530020029I;20010421009329I;20050429009279I,PILOT,AIRCRAFT,3,USED BY,"1693,2406,2598"
19960504009509A,PILOT,TRAILER TIE DOWN,1,FAILED TO DETACH,1967
19990714022959I,PILOT,FRONT RANGE AIRPORT,1,DEPARTED FROM,2210
20030620012809I,PILOT,OIL FILLER CAP,1,USED BY,2488
20030620012809I,PILOT,FAILED,1,INFLUENCED BY,2488
19790623014019A;19790820029909A;19791029027649A;20060621012279A,PILOT,TAKEOFF,4,ABORTED;EVENT DISTANCE;STATED THAT;USED BY,"250,293,316,2650"
19780130004789I;19780526040429I,PILOT,GEAR HANDLE,2,USED BY,"41,96"
19780206006149I,PILOT,TOW BAR,1,USED BY,47
19780208007759I,PILOT,GEAR SAFE LIGHTS,1,OBSERVED,51
19780212006439I,PILOT,AIRBORNE,1,UNABLE TO BECOME,55
19780212006439I,PILOT,FROST ON THE WINGS,1,HAS CAUSE,55
19780212006439I,PILOT,FAILURE TO USE FULL POWER,1,HAS CAUSE,55
19780218007139I,PILOT,LOCALLY,1,INTENDED TO FLY,57
