c5_sources,node,count
19760606015529A;19790609016529A,GLIDER,2
19760606015529A,OPPORTUNITY,1
19780111000459A,ACFT DISPATCHER,1
19780111000459A,HARRASSMENT OF PILOT,1
19780111000459A;19780130004789I;19780206006149I;19780208007759I;19780210005719I;19780212006439I;19780218007139I;19780221000179I;19780225001819I;19780307014069I;19780309015599I;19780311016379I;19780327010619I;19780330011569I;19780402009009I;19780409009699I;19780526040429I;19780528040689I;19780603041629I;19780623036259I;19780623036419I;19780624034629I;19780704042039I;19780708043109I;19780725039589I;19780808049579I;19780903028619A;19780920018899I;19780921019829I;19781018032569I;19781113027039I;19781119026389I;19781223039539A;19781230019999I;19790123003659I;19790203005099I;19790207002469A;19790214002969A;19790224005689A;19790316004819A;19790321010439A;19790410008789A;19790421024889I;19790425024979I;19790507025919I;19790508100289I;19790513010459A;19790515027029I;19790519010229A;19790605014429I;19790610014749I;19790622017219I;19790623014019A;19790703018439I;19790705018829I;19790710018689I;19790807024709A;19790807029619I;19790808027309A;19790813030889I;19790820029909A;19791014052729I;19791029027649A;19791030053329I;19791102034159A;19791108054919I;19791128035159A;19791208047929I;19791221039859A;19791222048669I;19800105013639I;19800128019789I;19800208002479A;19800225005279A;19800322006789A;19800328007979A;19800418044679I;19800421009329A;19800501044549I;19800508011869A;19800523016979A;19800611054319I;19800623021719A;19800624056259I;19800624056339I;19800707059709I;19800807063609I;19800823080969I;19801005072789I;19821117066379I;19850315007389A;19850418016709I;19860706034879A;19861114075329I;19870309039779I;19930530020029I;19950216008379I;19960504009509A;19970908038069A;19990714022959I;20010421009329I;20030620012809I;20050429009279I;20051009024969I;20060621012279A,PILOT,151
19780111000459A,FORGOT TO REMOVE TIEDROPE,1
19780402008409I,TAXIING AIRCRAFT,1
19780402008409I;19781108022239I;19790718019229I,PARKED AIRCRAFT,3
19780402008409I,INEFFECTIVE BRAKES,1
19780402008409I,WORN OUT,1
19780206006039I;19780427013859I;19791210036229A;19791210043359A;19980616023109I,ENGINE COWLING,8
19780108002219I;19780203005449I;19780205005989I;19780210006769I;19780213006479I;19780218007139I;19780225001789I;19780228000419I;19780328011399I;19780403009359I;19780403009389I;19780427013859I;19780518033959I;19780529040959I;19780613045599I;19780624034629I;19780625035919I;19780725039589I;19780829037939I;19781009029939I;19781114026859I;19781120025989I;19790111000619I;19790127003859I;19790127003899I;19790207002459A;19790210006409I;19790214002969A;19790224007469I;19790318009229I;19790412014049I;19790414012459I;19790421024749I;19790421024889I;19790427100559I;19790427100619I;19790507025919I;19790513026659I;19790529041069A;19790603029089I;19790605014429I;19790610014749I;19790622017199I;19790623022919A;19790625015009A;19790703018439I;19790705018829I;19790726019139A;19790809030499I;19790928049769I;19791014052729I;19791015052549I;19791023031609A;19791128035159A;19791221039859A;19800119000759A;19800129002139A;19800217031649I;19800217031679I;19800219031689I;19800322006789A;19800607046889I;19800608019219A;19800712077549I;19800714060679I;19800716028479A;19801116083749I;19840121015319I;19860706034879A;19880527016939A;19991230042089A;20030620012809I,ENGINE,115
19780427013859I,SEPARATION,1
19780206006039I;19780228000419I;19780427013859I;19780603041639I;19780617046219I;19780629034269I;19780808049579I;19790309032649A;19790429005459A;19790817031829I;19790928049769I;19791222048699I;19800105013639I;19800228028039I;19800624056299I;19800721061969I;19901101064289I;20070202001609A,FLIGHT,27
19780112002729I;19780509032859I;19780904017739I;19781102023549I;19781128024449I;19790312008529I;19790425024979I;19790627017429I;19800319040039I,POWER LOSS,10
19780108002219I;19780110002479I;19780112002729I;19780403009389I;19780507032369I;19780509032859I;19780811037539I;19780904017739I;19781102023549I;19781114026859I;19790207005159I;19790210006409I;19790312008529I;19790410008789A;19790520026369I;19790528028209I;19790609016529A;19790627017429I;19800127019329I;19800217031679I;19800504044909I;19800519054059I;19800714060679I;19801116083749I;19840821046409A;19871027060859A,FORCED LANDING,40
19780403009359I;19780509032859I;19781102023549I;19790111000619I;19790627017429I;19791022029739A,FOUND WATER IN FUEL,6
19780113002859I;19780913017419I;19800507051499I,ABORTED TAKEOFF,5
19780913017419I,FRONT BAGGAGE DOOR POPPED OPEN,1
19780916024019A,TIE DOWN STRAP,3
19780607016509A;19780916024019A;19781104034149A;19791129033509A,TRAILER,5
19780916024019A,LEFT SKID,1
19780916024019A,TETHERED,1
19780916024019A,HEPER,1
19780822026439A;19780916024019A,?,2
19781108022239I;19790223006939I;19790718019229I,BAGGAGE CART,6
19781108022239I;19790223006939I,JET BLAST,2
19780311016379I;19780525040389I;19781108022239I;19781119026389I;19800129020169I;19800822082749I,BRAKES,11
19781108022239I,CART,1
19781210024199I,WHEELS LOCKED UP,2
19781210024199I,SNOW PACKED,1
19781210024199I,WHEEL PANTS,1
19751209037899A;19780307014069I;19781113027039I;19790107000829I;19790123003659I;19790929042239I;19800228028039I;19800309042889I;19970908038069A,TAXI,10
19781113027039I,TAXIED,3
19781113027039I,UNMARKED DITCH,1
19780401007929I;19781108022269I;19781113027039I;19781119026389I;19790209002599A;19790929042239I;19800429039119A;19950602032329I;20050429009279I,TAXIWAY,9
19780429014759I;19780726036499I;19780825038179I;19780923027059I;19781102023729I;19781110039789A;19781117041969A;19790119001139A;19790209002599A;19790211002709A;19790224005689A;19790316004809A;19790316004819A;19790319004969A;19790427100559I;19790508100289I;19790510009019A;19790703018439I;19790716019189I;19790823023209I;19791014005659A;19791222048699I;19800113015049I;19800115013869I;19800120016369I;19800215002609A;19800217031679I;19800615052619I;19840821046409A;19860128014289I;19860706034879A;19870309039779I;19890725041869I;19930530020029I;19940412011509I;19960322013629I;20010421009329I;20020619014309A;20030607012509A;20040304003309I;20050429009279I;20050713014239I;20070202001609A;20070630826079I,AIRCRAFT,81
19790211002709A,FAILED TO LIFTOFF RUNWAY,1
19790211002709A,RAN OFF END INTO SNOW BANK,1
19790211002709A,FROST ON AIRFRAME,1
19780904017739I;19790525014229A;19790720021329A;19791129033509A;19800208002479A;19800819040989A;20010411006739I,HELICOPTER,12
19790720021329A,SLING LOAD,1
19790318010729A;19790720021329A;19790807024709A;19791014005659A;19800129002139A;19920405008919A;19940818022409A,CRASHED,14
19780106001449I;19790720021329A,IMPROPER PREFLIGHT,2
19790720021329A;19800819039089A,TREES,2
19790718019229I,INOPERATIVE BRAKES,1
19790210002629A;19790718019229I,FUSELAGE,2
19790718019229I,9 INCH TEAR,1
19781114026859I;19791128035159A;19791221039859A;19800216026099I;19800504044909I;19800604051679I;19980620030289I,FIELD,7
19791128035159A,RAN ROUGH,1
19791128035159A,CLAIMS WATER IN FUEL,1
19780206006149I;19780225001789I;19780303015509I;19780416008469I;19780427013959I;19780504031959I;19780629034269I;19780708043109I;19780725039589I;19780726036499I;19780808049829I;19780820049069I;19780825038179I;19781230019999I;19790207002459A;19790207005339I;19790319004969A;19790421024749I;19790421024889I;19790623014019A;19790623022919A;19790705018829I;19790716019189I;19790718017739A;19790807024709A;19790808027309A;19790820029909A;19790916031359A;19790919027319A;19791014005659A;19791029027649A;19791102034159A;19791221039859A;19800118015029I;19800119000759A;19800129020169I;19800216026099I;19800217031649I;19800219031689I;19800415047829I;19800530018349A;19800620022039A;19800707059709I;19820725041999I;19840121015319I;19840821046409A;19870606018859A;19950216008379I;19960524045629A;19991230042089A;20010411006739I;20060621012279A;20070630826079I,TAKEOFF,62
19800217031649I,WING FUEL TANK SUMPS,2
19780106001449I;19780110002479I;19780129004679I;19780218007139I;19780219007659I;19780429014759I;19780811037539I;19780829037939I;19790127003859I;19790207005159I;19790528028209I;19791015052549I;19791103056779I;19800217031649I;19800322006789A,ENGINE QUIT,22
19780115003139I;19790705018829I;19790807029619I;19800217031649I;19800619055649I,PREFLIGHT,5
19780210006769I;19780218007139I;19800217031649I,AFTER TAKEOFF,3
19800217031649I,NOT DRAINED,1
19780626034739I;19800113000039A;19800225005279A;19800506012169A;19960418007829A,AIRPLANE,8
19790718017739A;19800506012169A;19850315007389A;19950527014439A;19960504009509A;19990213001379A,LOST CONTROL,13
19800506012169A,FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN,1
19780121004029I;19800331045949I;19800506012169A,TAKE OFF ROLL,4
19780225001819I;19780825038179I;19790507025919I;19790520026369I;19800804037399A,FUEL EXHAUSTION,7
19800804037399A,FUEL SIPHONING,1
19800804037399A,OVERSHOT EMERGENCY LANDING AREA,1
19801005072789I,BRAKE,2
19801005072789I,REMAINING BRAKE FAILED,1
19790116002119I;19790421024889I;19790716019189I;19790726019139A;19790820029909A;19790823023209I;19791108054919I;19800106011019I;19800421009329A;19800429039119A;19800523016979A;19800707059709I;19801005072789I,RUNWAY,15
19800623021719A;19801005072789I,END OF RUNWAY,2
19801116083749I,AUXILIARY FUEL SYSTEM,1
19780210005719I;19780219007659I;19781110039789A;19781114026859I;19781231044159A;19790204002289A;19790207005159I;19790224007469I;19801116083749I;19840121015319I,ICE,13
19801230089799I,FLAT NOSE STRUT,4
19801230089799I,BEFORE RETRACTION,1
19801230089799I,AIRPLANE STRUCTURE,1
19801230089799I,BELLCRANK,1
19780303015509I;19780409009699I;19790427100619I;19790429025299I;19800418044679I;19800427044589I;19800707059709I;19801230089799I,COLLAPSED,11
19780208007759I;19780501031459I;19780825038179I;19781128024449I;19790318009229I;19790404013469I;19790609011809A;19790712020439I;19790729022479I;19790813030889I;19790820032669I;19800410050199I;19800418044679I;19800624056339I;19800707059709I;19800807063609I;19810303007119A;19890723054159I,LANDING,25
19790203005099I;19790718017739A;19800620022039A;19810303007119A,VEERED OFF RUNWAY,6
19810303007119A,HIT PARKED AIRPLANE,1
19810303007119A,CARPETING,1
19810303007119A,RUDDER PEDAL MOVEMENT,1
19820725041999I,LOOSE COWLING,2
19820725041999I,CRACKED WINDSHIELD,3
19820725041999I,DENTED STABILIZER,2
19820725041999I,RETURNING TO LAND,2
19821117066379I,PRESSURIZE,1
19821117066379I,ACCESS DOOR,1
19780616046119I;19821117066379I;19940815046149I,OPEN,3
19821117066379I,DEPRESSURIZED,1
19821117066379I,DOOR OPENED FULLY,2
19821117066379I,STOPPED BY FUSELAGE,1
19840121015319I,DRIFTED OFF THE EDGE,1
19840121015319I,CARBURETOR BOWL,1
19790609016529A;19790623022919A;19791126034419A;19800623021719A;19800716028479A;19840821046409A,CRASH,11
19790127003899I;19790319004969A;19790410008789A;19790801021959A;19791102034159A;19800127019329I;19840821046409A,ENGINE FAILURE,8
19840821046409A,ANNUAL INSPECTION,1
19780401007929I;19780526040429I;19780921019829I;19800615052619I;19841214074599I;19990213001379A,TAXIING,8
19841214074599I,LOST NOSEWHEEL STEERING AND BRAKES,1
19841214074599I,STRUCK 2 AIRCRAFT AND FENCE,1
19841214074599I,CIRCUIT BREAKER HYDRAULIC PUMP,1
19850315007389A,ALTIMETER,1
19850315007389A,ICING,3
19850315007389A,ALTIMETER NOT IFR CERTIFIED,1
19850315007389A,ICING FORECAST,1
19850418016709I,ENGINE POWER FAILURE,1
19850418016709I,LANDED IN FIELD,2
19850418016709I,AEROBATICS,1
19850418016709I,DID NOT VISUALLY INSPECT FUEL TANKS,1
19850525020799A,TOUCHED DOWN,2
19850525020799A;19980620030289I,3 MILES,2
19780704042039I;19790113001939I;19790209002599A;19790513026659I;19790609011809A;19850525020799A,AIRPORT,6
19850525020799A,ATTEMPTED DOWNWIND GO AROUND,1
19850525020799A,STRUCK TREE,2
19850525020799A,DOWNWIND GO AROUND,1
