c5_sources,entity1,entity2,weight,relations,rows
19990213001379A,ACFT,LOST CONTROL,1,HAS CAUSE,0
19800217031649I,ENGINE,QUIT,1,HAS EFFECT,1
19800217031649I,WING FUEL TANK SUMPS,FROZEN,1,HAS CAUSE,1
19800217031649I,WING FUEL TANK SUMPS,NOT DRAINED DURING PREFLIGHT,1,HAS CAUSE,1
19790720021329A,HELICOPTER,IMPROPER PREFLIGHT,1,HAS CAUSE,2
19841214074599I,TAXIING,LOST NOSEWHEEL STEERING,1,HAS EFFECT,3
19841214074599I,TAXIING,LOST BRAKES,1,HAS EFFECT,3
19841214074599I,LOST NOSEWHEEL STEERING,TAXIING,1,HAS CAUSE,3
19841214074599I,LOST BRAKES,TAXIING,1,HAS CAUSE,3
19841214074599I,STRUCK,2 AIRCRAFT,1,HAS EFFECT,3
19841214074599I,STRUCK,FENCE,1,HAS EFFECT,3
19841214074599I,CIRCUIT BREAKER,HYDRAULIC PUMP,1,PART OF,3
19860128014289I,FORWARD CARGO DOOR,AIRCRAFT TOOK OFF,1,EVENT DISTANCE,4
20000215010329A,BELL HELICOPTER MODEL BHT-47-G5,TIMOTHY ALLEN WELLS,1,PILOT IN COMMAND,5
19801116083749I,FORCED LANDING,ONE ENGINE QUIT,1,HAS CAUSE,6
19801116083749I,ONE ENGINE QUIT,ICE IN AUXILIARY FUEL SYSTEM,1,HAS CAUSE,6
19850315007389A,PILOT,ICING,1,HAS CAUSE,7
20070630826079I,AIRCRAFT,RAY AIRPORT,1,DEPARTED,8
19900425011659A,FERRY FLIGHT,RAN OUT OF FUEL,1,HAS CAUSE,9
19900425011659A,LEFT PONTOON,SEPARATED LANDING IN A POND,1,HAS EFFECT,9
19900425011659A,FUEL,FUEL CAP NOT SECURED,1,HAS CAUSE,9
19900425011659A,FUEL,SIPHONED,1,HAS EFFECT,9
