c5_sources,node,count
19990213001379A,ACFT,1
19990213001379A,LOST CONTROL,1
19800217031649I,ENGINE,1
19800217031649I,QUIT,1
19800217031649I,WING FUEL TANK SUMPS,2
19800217031649I,FROZEN,1
19800217031649I,NOT DRAINED DURING PREFLIGHT,1
19790720021329A,HELICOPTER,1
19790720021329A,IMPROPER PREFLIGHT,1
19841214074599I,TAXIING,4
19841214074599I,LOST NOSEWHEEL STEERING,2
19841214074599I,LOST BRAKES,2
19841214074599I,STRUCK,2
19841214074599I,2 AIRCRAFT,1
19841214074599I,FENCE,1
19841214074599I,CIRCUIT BREAKER,1
19841214074599I,HYDRAULIC PUMP,1
19860128014289I,FORWARD CARGO DOOR,1
19860128014289I,AIRCRAFT TOOK OFF,1
20000215010329A,BELL HELICOPTER MODEL BHT-47-G5,1
20000215010329A,TIMOTHY ALLEN WELLS,1
19801116083749I,FORCED LANDING,1
19801116083749I,ONE ENGINE QUIT,2
19801116083749I,ICE IN AUXILIARY FUEL SYSTEM,1
19850315007389A,PILOT,1
19850315007389A,ICING,1
20070630826079I,AIRCRAFT,1
20070630826079I,RAY AIRPORT,1
19900425011659A,FERRY FLIGHT,1
19900425011659A,RAN OUT OF FUEL,1
19900425011659A,LEFT PONTOON,1
19900425011659A,SEPARATED LANDING IN A POND,1
19900425011659A,FUEL,2
19900425011659A,FUEL CAP NOT SECURED,1
19900425011659A,SIPHONED,1
