c5,c119,phi4mini_instruct_triplets_clean
19990213001379A,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK","<ACFT, EVENT DISTANCE, TAKE OFF>
<ACFT, HAS CAUSE, LOST CONTROL>
<ACFT, HAS CAUSE, RAN INTO A DITCH>
<ACFT, HAS CAUSE, STRUCK A TREE>
<ACFT, LOCATION, UNK>"
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.       ","<AFTER TAKEOFF, FOLLOWED BY, ENGINE QUIT>
<WING FUEL TANK SUMPS, NOT DRAINED DURING, PREFLIGHT BECAUSE THEY WERE FROZEN>"
19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.               ,"<HELICOPTER, USED BY, SLING LOAD>
<HELICOPTER, EVENT DISTANCE, TREES>
<CRASH, HAS CAUSE, IMPROPER PREFLIGHT>"
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,"<NOSEWHEEL, STRUCK, 2 AIRCRAFT>
<NOSEWHEEL, STRUCK, FENCE>
<NOSEWHEEL, LOST, NOSEWHEEL STEERING>
<NOSEWHEEL, LOST, BRAKES>
<NOSEWHEEL, CAUSE, CIRCUIT BREAKER HYDRAULIC PUMP OPEN>"
19860128014289I,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.        ,"<FORWARD CARGO DOOR, USED BY, AIRCRAFT>
<AIRCRAFT, EVENT DISTANCE, TOOK OFF>
<OBJECTS, HAS EFFECT, DROPPED OUT>
<WARNING LIGHT, HAS EFFECT, FAILED TO SEE>"
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED ","<MR. TIMOTHY ALLEN WELLS, ACTING AS, PILOT>
<MR. TIMOTHY ALLEN WELLS, COMMAND OF, BELL HELICOPTER MODEL BHT-47-G5>
<BELL HELICOPTER MODEL BHT-47-G5, ENGAGEMENT, N4754R>"
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.                                           ,"<ENGINE QUIT, CAUSE, FORCED LANDING>
<ICE IN AUXILIARY FUEL SYSTEM, CAUSE, FORCED LANDING>"
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.    ,"<PILOT, EVENT DISTANCE, LOSE CONTROL>
<PILOT, EVENT DISTANCE, ICING FORECAST>
<LOST CONTROL, HAS EFFECT, ICING FORECAST>"
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,"<(-23) AIRCRAFT, LOCATION, RAY AIRPORT>
<(-23) AIRCRAFT, EVENT DISTANCE, AFTER TAKEOFF>
<(-23) AIRCRAFT, HAS CAUSE, ENGINE PROBLEMS>"
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.    ,"<FERRY FLIGHT, EVENT DISTANCE, POND>
<FERRY FLIGHT, HAS EFFECT, LEFT PONTOON SEPARATED LANDING IN A POND>
<FERRY FLIGHT, HAS EFFECT, FUEL CAP NOT SECURED>
<FERRY FLIGHT, HAS EFFECT, FUEL SIPHONED>"
19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER ","<ENGINE, HAS CAUSE, CUTTING OUT>
<ENGINE, HAS CAUSE, NOT DEVELOPING ENOUGH POWER>
<AFTER TAKEOFF, FOLLOWED BY, ENGINE CUTTING OUT AND NOT DEVELOPING ENOUGH POWER>"
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ","<CRASH, HAS CAUSE, LOOSEN COWLING ON TAKEOFF>
<CRASH, HAS CAUSE, COWLING CAME OFF ON RETURNING TO LAND>
<CRASH, HAS CAUSE, CRACKED WINDSHIELD>
<CRASH, HAS CAUSE, DENTED STABILIZER>"
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,"<FLIGHT MANUAL, EVENT DISTANCE, STRUCK TRUCK WINDSHIELD ON GROUND>
<FLIGHT MANUAL, LOCATION, GROUND>
<FLIGHT MANUAL, EVENT DISTANCE, LANDED SAFELY>"
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,"<NR2, HAS CAUSE, ENGINE FIRE>
<NR2, HAS CAUSE, CUT OFF>
<NR2, HAS CAUSE, SMOKE CLEARED>"
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.                             ,"<MAIN GEAR, SHEARED, AIRPORT>
<MAIN GEAR, LOCATION, AIRPORT>
<MAIN GEAR, LOW ON OIL, MAIN GEAR>"
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    ,"<BATTERY COMPARTMENT DOOR, CAME OPEN, ANTENNA>
<CRACKED WINDSHIELD, CAUSE, ANTENNA>"
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.         ,"<NOSE GEAR, FAILED TO RETRACT, RETURNED>
<PIN, NOT REMOVED, AFTER PREVIOUS MAINTENANCE>"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,
