existing_node,match,new_row,final_node,similarity
TAKEOFF,AFTER TAKEOFF,1,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,8,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,10,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,25,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,50,AFTER TAKEOFF,1.0
STRUCK TREE,STRUCK A TREE,52,STRUCK A TREE,1.0
TAKEOFF,AFTER TAKEOFF,55,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,64,AFTER TAKEOFF,1.0
(-23) THE AIRCRAFT,(-23) AIRCRAFT,70,(-23) AIRCRAFT,0.99999994
(-23) THE AIRCRAFT,(-23) AIRCRAFT,70,(-23) AIRCRAFT,0.99999994
THE AIRCRAFT,AIRCRAFT,81,AIRCRAFT,1.0
THE AIRCRAFT,AIRCRAFT,81,AIRCRAFT,1.0
WHILE TAXIING,TAXIING,81,TAXIING,1.0
GET FUEL,FUEL,95,FUEL,1.0
