c5_sources,node,count
19751029037799A,2ND ILS APCH,1
19751029037799A,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ,1
19751209037899A;19761021035989A;19761022033409A;19770622018359A,PLT,13
19751209037899A,SOFT R BRAKE PEDAL DRG TAXI,1
19751209037899A,TKOF.FLT RTND SPRINGFIELD,1
19751209037899A,BOS,1
19750818025579A,TAXI,2
19750818025579A,HARD SFC DUE TFC R MAIN GR,1
19750818025579A,ROOF OF A WASHED OUT UNDERGROUND TUNNEL,1
19750905025029A;19770530012939A;19780112002729I,ACFT,5
19750905025029A,6 IN RUT,1
19750905025029A,GRASS TAXIWAY NOSE WHEEL,1
19750923031109A,KNOWN ELECTRICAL PROBABILITY,1
19750923031109A,EMERG GR DOWN SYS,1
19760215007629A,MTNS OBSCURED,2
19760215007629A,FLT,1
19760215007629A,PRIOR DAY,1
19760507010379A,LEFT ENG OIL SUPPLY,3
19760507010379A,GEAR-UP LDG IN MESQUITE BRUSH,1
19760507010379A,DENSITY ALT,7200FT,1
19760507010379A,HIGH OIL USAGE ENG,1
19761022033409A,T/O,1
19761022033409A,IFR,1
19761022033409A,VFR DEPARTURE,1
19761022033409A,WNDSHD,1
19761022033409A,WINDOWS FOGGED UP,1
19761021035989A,PREV NOSE WHEEL VIBRATION,1
19761021035989A,GR SAFE LGT,1
19761021035989A,WIND GUSTING 23KTS,1
19761119035559A,BANNER PICK UP,1
19761119035559A,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT,1
19770814024089A,L MAG INOP.#5 CYL COMPRESSION,1
19770814024089A,25/80,1
19770530012939A,WRONG PROP INSTALLED,1
19770528021299A,FUEL,1
19770528021299A,R BRAKE,1
19770622022049A,OIL FILLER CAP,1
19770622022049A,MISSING,1
19770622018359A,EMERG LNDNG GR EXTNSN,1
19770622018359A,ELECTRICAL PWR FAILURE,1
19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION,1
19770617020389A,AUTOROTATION,1
19770703018529A,FIRST FLT AFTR ANNUAL,3
19770703018529A,N/A,3
19770706020519A,AN175-16,3
19770706020519A,PULLED THROUGH TORQUE LINK CENTER SCISSORS,1
19770706020519A,WASHER CRACKED,1
19770706020519A,SEPARATED FRM BOLT,1
19770912040629A,100 OCTANE FUEL,3
19770912040629A,AIRCRAFT,2
19770912040629A,NOT FEATHERED AUTOFEATHER,1
19780112002729I,FORCED LANDING AFTER POWER LOSS,1
19780112002729I,WATER FOUND IN FUEL,1
19780102000459I,TAXIED OFF RUNWAY,2
19780102000459I,STRUCK DITCH AT NIGHT,1
19780102000459I,LANDING LIGHT WAS INOPERATIVE,1
19771104034549A,FRT BRAKE PUCK 70,1
19771104034549A,LAST WK,1
19771016042599A,WIND,1
19771016042599A,25,1
19780221000179I;19780225001789I;19780319009079I,AFTER TAKEOFF,3
19780225001789I,REFUELING,1
19780221000179I,PILOT,1
19780319009079I,BOLT IN NOSE GEAR SCISSORS,2
19780319009079I,AFTER LIFTOFF,2
19780319009079I,NOSE WHEEL,1
19780403009389I,FORCED LANDING,1
19780403009389I,HIGHWAY,1
19780610045289I,FUEL TANK DRAIN VALVE,1
19780610045289I,SPRING LOADED TANK,1
