existing_node,match,new_row,final_node,similarity
OUT OF FUEL,FUEL,31,FUEL,1.0
BEFORE TAKEOFF,AFTER TAKEOFF,46,AFTER TAKEOFF,1.0
WATER IN THE FUEL,WATER IN FUEL,50,WATER IN FUEL,1.0000001
AT TAKEOFF,AFTER TAKEOFF,50,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,56,AFTER TAKEOFF,1.0
BEFORE TAKEOFF,AFTER TAKEOFF,59,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,61,AFTER TAKEOFF,1.0
TOUCHDOWN,AFTER TOUCHDOWN,61,AFTER TOUCHDOWN,1.0
RAN OUT,RAN,63,RAN,1.0
ON TOUCHDOWN,AFTER TOUCHDOWN,64,AFTER TOUCHDOWN,1.0
TAKEOFF,AFTER TAKEOFF,66,AFTER TAKEOFF,1.0
TOUCHDOWN,AFTER TOUCHDOWN,74,AFTER TOUCHDOWN,1.0
OFF,NO,84,NO,1.0000001
OFF,NO,84,NO,1.0000001
TAKEOFF,AFTER TAKEOFF,87,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,87,AFTER TAKEOFF,1.0
WATER IN,WATER,91,WATER,1.0000001
