c5,c119,phi4mini_instruct_triplets,phi4mini_instruct_triplets_clean
19780527014729A,ACORNS LODGED IN CARB AIR BOX ASSEMBLY.                                                                            ,"<ACORNS, AFFECTED PART, CARB AIR BOX ASSEMBLY>","<ACORNS, AFFECTED PART, CARB AIR BOX ASSEMBLY>"
19780616046119I,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,"<FLIGHT, CONDITION, LOW POWER>
<FLIGHT, CAUSE, CARBURETOR HEAT WAS PARTIALLY OPEN>
<FLIGHT, CAUSE, OVER RICH MIXTURE>","<FLIGHT, CONDITION, LOW POWER>
<FLIGHT, CAUSE, CARBURETOR HEAT WAS PARTIALLY OPEN>
<FLIGHT, CAUSE, OVER RICH MIXTURE>"
19780616046129I,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN. NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED.     ","<NOSE GEAR, CONDITION, COULD NOT BE FULLY EXTENDED>
<NOSE GEAR, CONDITION, COLLAPSED ON TOUCHDOWN>
<NOSE GEAR DOORS, CONDITION, HAD BEEN LEFT UNHOOKED, JAMMED>","<NOSE GEAR, CONDITION, COULD NOT BE FULLY EXTENDED>
<NOSE GEAR, CONDITION, COLLAPSED ON TOUCHDOWN>
<NOSE GEAR DOORS, CONDITION, HAD BEEN LEFT UNHOOKED, JAMMED>"
19780619046649I,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,"<PILOT, ACTION, RETURNED DUE TO CONTROL PROBLEMS>
<PILOT, ISSUE, INBOARD END OF AILERON PUSH ROD NOT CONNECTED>","<PILOT, ACTION, RETURNED DUE TO CONTROL PROBLEMS>
<PILOT, ISSUE, INBOARD END OF AILERON PUSH ROD NOT CONNECTED>"
19780622016229A,ROPE CAUGHT ON GLIDER WHEEL BRACKET.                                                                               ,"<GLIDER WHEEL BRACKET, CAUSE, ROPE Caught On>","<GLIDER WHEEL BRACKET, CAUSE, ROPE Caught On>"
19780429007189A,OIL PR DROPPED TO ZERO.PLT SHUT DN ENG.WING HIT TREE ADJACENT TO IL CAP NOT SECURED.                               ,"<PLT, OIL PR DROPPED TO ZERO, ZERO>
<PLT, ENG, SHUT DN>
<PLT, WING, HIT TREE, TREE>
<PLT, WING, NOT SECURED, NOT SECURED>","<PLT, OIL PR DROPPED TO ZERO, ZERO>
<PLT, ENG, SHUT DN>
<PLT, WING, HIT TREE, TREE>
<PLT, WING, NOT SECURED, NOT SECURED>"
19780623018469A,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT.                                                            ","<LOSS OF POWER, CAUSE, LOSE BATTERY POST>
<LOSS OF POWER, CAUSE, LOSS OF ALTERNATOR EXCITING CURRENT>","<LOSS OF POWER, CAUSE, LOSE BATTERY POST>
<LOSS OF POWER, CAUSE, LOSS OF ALTERNATOR EXCITING CURRENT>"
19780607020299A,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,"<ACFT N42807, EVENT, BECAME AIRBORNE AFTER TKOF ABORTED>","<ACFT N42807, EVENT, BECAME AIRBORNE AFTER TKOF ABORTED>"
19780603041639I,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.                         ,"<FLIGHT, ACTION, TOOK OFF>
<FLIGHT, CONDITION, REAR CABIN ENTRY DOOR OPEN>
<FLIGHT, CONDITION, REAR CABIN ENTRY DOOR CLOSED IN FLIGHT>","<FLIGHT, ACTION, TOOK OFF>
<FLIGHT, CONDITION, REAR CABIN ENTRY DOOR OPEN>
<FLIGHT, CONDITION, REAR CABIN ENTRY DOOR CLOSED IN FLIGHT>"
19780607010749A,FULL NOSE DOWN TRIM.                                                                                               ,"<NOSE TRIM, FULL NOSE DOWN TRIM>","<NOSE TRIM, FULL NOSE DOWN TRIM>"
