c5_sources,entity1,entity2,weight,relations,rows
19780623036259I,PILOT,LANDED ON BEACH,1,EVENT DISTANCE,11
19780623036419I,PILOT,LANDED AFTER NOTING OIL ON WINDSHIELD,1,HAS EFFECT,12
19780623036419I,PILOT,OIL CAP WAS LOOSE,1,HAS EFFECT,12
19780624034629I,PILOT,STRUCK WIRES,1,HAS EFFECT,13
19780725039589I,PILOT,55 GAL DRUM,1,USED BY,26
19781018032569I,PILOT,UNABLE TO GET THE NOSE WHEEL DOWN,1,EVENT DISTANCE,40
19781018032569I,PILOT,WHEEL WELL,1,LOCATION,40
19780903028619A,PILOT,EXCESSIVE WATER IN FUEL,1,HAS EFFECT,45
19781230019999I,PILOT,ONE ENGINE QUIT ON TAKEOFF DUE TO FUEL STARVATION,1,HAS EFFECT,57
19781207022839I,PILOT,SNOW BLOWN IN THE ENGINE COMPARTMENT,1,HAS EFFECT,74
19781207022839I,PILOT,SNOW MELTED,1,HAS EFFECT,74
19781207022839I,PILOT,FROZE UP THE THROTTLE LINKAGE,1,HAS EFFECT,74
19790313008789I,PILOT,TAXI,1,USED BY,87
19790316004819A,PILOT,UNABLE TO CONTROL AIRCRAFT DURING TAKEOFF,1,HAS EFFECT,93
19790316004819A,PILOT,RESTRICTED STEERING,1,HAS EFFECT,93
19790316004819A,PILOT,FROST,1,HAS EFFECT,93
19790214002969A,PILOT,UNABLE TO REACH CONTROLS,1,HAS EFFECT,95
19780625035919I,ENGINE,WATER AND OTHER FOREIGN MATERIAL IN GASCOLATOR BOWL,1,HAS EFFECT,14
19780625035779I,ENGINE,FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING,1,HAS EFFECT,15
19780625035779I,ENGINE,SOON AFTER TAKEOFF,1,EVENT DISTANCE,15
19780626034739I,ENGINE,WATER IN THE FUEL SYSTEM,1,HAS CAUSE,16
19780725039589I,ENGINE,QUIT ON TAKEOFF,1,HAS EFFECT,26
19780725039589I,ENGINE,WATER IN FUEL,1,HAS CAUSE,26
19780925018069I,ENGINE,GEAR RETRACTED ON LANDING ROLLOUT,1,HAS EFFECT,44
19781009029939I,ENGINE,LOST POWER AFTER LIFTOFF,1,HAS EFFECT,50
19781009029939I,ENGINE,LANDED GEAR UP ON THE TAKEOFF RUNWAY,1,HAS EFFECT,50
19781009029939I,ENGINE,TOPPED OFF WITH JET FUEL,1,HAS EFFECT,50
19781114026859I,ENGINE,QUIT,1,HAS EFFECT,54
19781114026859I,ENGINE,FORCED LANDING IN FIELD,1,HAS CAUSE,54
19790107000829I,ENGINE,FLAMED OUT,1,HAS EFFECT,60
19790107000829I,ENGINE,DRAINED 6 QTS OF WATER FROM LEFT NACELLE AND BOOST PUMP,1,HAS EFFECT,60
19790111000619I,ENGINE,QUIT AFTER LIFTOFF,1,HAS EFFECT,61
19790113001939I,ENGINE,STOPPED DUE TO WATER IN ALL OF THE FUEL SYSTEM,1,HAS EFFECT,62
19780626034739I,NEWLY PURCHASED AIRPLANE,STORED OUTSIDE,1,LOCATION,16
19780820049069I,LANDING STRAIGHT AHEAD IN OAT FIELD,WATER IN FUEL,1,HAS EFFECT,20
19780805024609A,PLT,MOVED MIXTURE CONTROL TO CUT OFF POSITION,1,HAS EFFECT,21
19780723038809I,STUDENT PILOT,RAN OUT OF FUEL,1,HAS EFFECT,28
19780808049579I,FLIGHT,PILOT FAILED TO SECURE OIL STICK,1,HAS EFFECT,29
19780831038519I,FLIGHT,AFTER LANDING, COWLING STRUCK PROP,1,EVENT DISTANCE
19780809049919I,LEFT GEAR,COLLAPSED ON ROLL OUT,1,HAS EFFECT,31
19780809049919I,LEFT GEAR,HYDRAULIC SYSTEM,1,MAINTAINED BY,31
19780809049919I,HYDRAULIC SYSTEM,LOW ON FLUID,1,HAS CAUSE,31
