c5_sources,entity1,entity2,weight,relations,rows
19790207002459A;19790808027309A,ENGINE,FAILED DURING TAKEOFF,2,HAS EFFECT,2,82
19790316004809A,ENGINE,STOPPED ON FINAL APPROACH,1,HAS EFFECT,9
19790318010729A,ENGINE,STOPPED ON EMPTY TANK DURING ILS APPROACH,1,HAS EFFECT,12
19790318010729A,ENGINE,WOULD NOT START ON FULL TANK,1,HAS EFFECT,12
19790421024749I,ENGINE,QUIT SOON AFTER TAKEOFF,1,HAS EFFECT,14
19790421024749I,ENGINE,WATER AND DEBRIS FOUND IN THE FUEL SYSTEM,1,HAS EFFECT,14
19790623022919A,ENGINE,SPUTTERING ON TAKEOFF,1,HAS EFFECT,34
19790622017199I,ENGINE,QUIT TWICE,1,HAS EFFECT,45
19790625015009A,ENGINE,TWO & ONE HALF QUARTERS OF WATER DRAINED FROM GAS TANK,1,HAS EFFECT,46
19790513026659I,ENGINE,OIL LEAK,1,HAS CAUSE,49
19790513026659I,ENGINE,LOSS OF OIL PREESURE,1,HAS CAUSE,49
19790602009889A,ENGINE,PILOT DITCHED IN THE OCEAN,1,HAS EFFECT,57
19790809030499I,ENGINE,GASCOLATOR SHOWED FUEL CONTAMINATED WITH DIRT AND WATER,1,HAS EFFECT,60
19790703018439I,ENGINE,STOPPED SHORTLY AFTER TAKE-OFF,1,HAS EFFECT,68
19790813023739A,ENGINE,WATER AND TRASH IN FUEL,1,HAS CAUSE,71
19790813023739A,ENGINE,NO FILTER USED,1,HAS CAUSE,71
19790829023019A,ENGINE,LANDED IN SOYBEAN FIELD,1,HAS EFFECT,78
19790829023019A,ENGINE,FLIPPED OVER,1,HAS EFFECT,78
19790829023019A;19790919027319A,ENGINE,WATER IN FUEL,2,HAS CAUSE;HAS EFFECT,78,97
19791017051209I,ENGINE,ENGINE STOPPED DUE TO OBSTRUCTED FUEL VENT LINE,1,HAS EFFECT,90
19791022029739A,ENGINE,HIT TREES,1,HAS EFFECT,93
19791022029739A,ENGINE,FOUND WATER IN FUEL,1,HAS EFFECT,93
19790916031359A,ENGINE,LANDED OFF END RUNWAY,1,HAS EFFECT,96
19790919027319A,ENGINE,AIRCRAFT CRASHED DURING ATTEMPTED EMERGENCY LANDING,1,HAS EFFECT,97
19790222003429A,ACFT,6700 FT ALTITUDE,1,EVENT DISTANCE,3
19790222003429A,ACFT,SETTLED ONTO ICE,1,HAS EFFECT,3
19790222003429A,ACFT,SNOW COVERED LAKE,1,HAS EFFECT,3
19790222003439A,ACFT,65 DAYS PRIOR TO ACCIDENT,1,MAINTAINED BY,5
19790603012119A,ACFT,25-FT AGL LIFTOFF,1,EVENT DISTANCE,31
19790603012119A,ACFT,ENGINE STOPPED,1,HAS EFFECT,31
19790603012119A,ACFT,HIT GROUND,1,HAS EFFECT,31
19790603012119A,ACFT,FAILED TO ASSURE FUEL VALVE ON,1,HAS EFFECT,31
19790623022919A,ACFT,CRASHED & BURNED,1,HAS EFFECT,34
19790610014749I,ACFT,ENGINE QUIT AFTER LIFT OFF,1,HAS EFFECT,43
19790610014749I,ACFT,TANKS NEARLY EMPTY,1,HAS EFFECT,43
19790609024769A,ACFT,PARTIALLY EMPTY FUEL TANKS,1,MAINTAINED BY,58
19790609024769A,ACFT,PARKED OUTSIDE FOR 11 MONTHS,1,LOCATION,58
19790807024709A,ACFT,CRASHED,1,HAS EFFECT,66
19790412014049I,PRECAUTIONARY LANDING,ONE SIDE OF THE ENGINE COWL CAME OPEN DUE TO A LOOSE DZUS FASTENER,1,HAS CAUSE,4
19790204002289A,ICE,GASCOLATOR,1,HAS EFFECT,6
19790204002289A,ICE,FLEXIBLE HOSE,1,HAS EFFECT,6
19790319004969A,ENGINE FAILURE,CONTAMINATED FUEL,1,HAS EFFECT,7
19790801021959A,ENGINE FAILURE,WATER IN FUEL,1,HAS EFFECT,79
19791102034159A,ENGINE FAILURE,WATR IN FUEL,1,HAS CAUSE,98
19790405013359I,OBSTRUCTION,BETWEEN RUDDER AND VERTICAL STABILIZER,1,LOCATION,8
19790316004809A,AIRCRAFT,STRUCK GROUND SHORT OF RUNWAY,1,HAS EFFECT,9
19790510009019A,AIRCRAFT,TOOK OFF,1,EVENT DISTANCE,27
19790823023209I,AIRCRAFT,BRAKE DISC PADS TOTALLY WORN,1,HAS EFFECT,70
19790316004809A,FUEL SYSTEM,WATER,1,HAS EFFECT,9
19790916031359A,FUEL SYSTEM,LANDED OFF END RUNWAY,1,HAS EFFECT,96
19790916031359A,FUEL SYSTEM,FOUND WATER IN FUEL,1,HAS EFFECT,96
19790421024889I,PILOT,TOOK OFF WITH THE ENGINE NOT OPERATING PROPERLY,1,EVENT DISTANCE,10
19790421024889I,PILOT,BEYOND THE RUNWAY,1,LOCATION,10
19790216014249A,PILOT,GUST LOCK,1,USED BY,18
19790605014429I,PILOT,LANDED IN STREET,1,HAS EFFECT,40
19790605014429I,PILOT,DAMAGED SPEED LIMIT SIGN DURING TAXI BACK TO FIELD,1,HAS EFFECT,40
19790515027029I,PILOT,FAILED TO AVOID PREVENTABLE GEAR UP LANDING,1,HAS EFFECT,50
19790425024979I,PILOT,UNABLE TO MAINTAIN ALTITUDE,1,HAS EFFECT,52
19790425024979I,PILOT,FOUND WATER IN FUEL,1,HAS EFFECT,52
19790622017219I,PILOT,TOPPED TANKS,1,HAS EFFECT,54
19790622017219I,PILOT,LOST POWER,1,HAS EFFECT,54
19790519010229A,PILOT,COULD NOT SEE OUT,1,HAS EFFECT,55
19790729022479I,PILOT,FAILED TO EXTEND GEAR BEFORE LANDING,1,HAS EFFECT,61
19790807029619I,PILOT,FAILED TO SECURE OIL CAP ON PREFLIGHT,1,HAS EFFECT,65
19790807029619I,PILOT,OIL STREAMING OVER COWL AT LIFTOFF,1,HAS EFFECT,65
19790807024709A,PILOT,SEAT CAME LOOSE,1,HAS EFFECT,66
19790807024709A,PILOT,RELEASED BRAKES,1,HAS EFFECT,66
19790808027309A,PILOT,ATTEMPTED RETURN TO RUNWAY,1,FOLLOWS,82
19791030053329I,PILOT,NIGHT FLIGHT,1,USED BY,94
19791030053329I,PILOT,EMERGENCY GEAR SYSTEM,1,USED BY,94
19791108054919I,PILOT,RAN OFF END OF RUNWAY,1,EVENT DISTANCE,95
19791102034159A,PILOT,ENGINE FAILURE,1,HAS EFFECT,98
19790210002629A,FCD LDG,NIGHT,1,TIME PERIOD,11
19790318010729A,FUEL,WATER,1,HAS EFFECT,12
19790622017219I,FUEL,CONTAMINATED WITH WATER,1,HAS EFFECT,54
19790808027309A,FUEL,WATER IN FUEL,1,HAS EFFECT,82
19790318010729A,CRASH,SHORT OF RWY,1,EVENT DISTANCE,12
19790309032649A,CARGO DOOR,CAME OPEN IN FLIGHT,1,EVENT DISTANCE,13
19790309032649A,CARGO DOOR,AFTER LANDING,1,EVENT DISTANCE,13
19790820032669I,AFTER LANDING,HIGHWAY,1,LOCATION,76
19790820032669I,AFTER LANDING,OIL CAP NOT PROPERLY SEATED,1,HAS EFFECT,76
19790309032649A,FAILURE COULD NOT BE DUPLICATED,CARGO DOOR CAME OPEN IN FLIGHT,1,HAS EFFECT,13
19790224007709I,LANDED LONG AFTER APPROACH,RAN OFF DEPARTURE END OF RUNWAY,1,EVENT DISTANCE,15
19790210002639A,CRASHED AIRCRAFT,FIRST TEST FLIGHT AFTER REBUILDING,1,EVENT DISTANCE,16
19790210002639A,CRASHED AIRCRAFT,AILERON CONTROLS REVERSED,1,HAS EFFECT,16
19790224007469I,ENGINE QUIT LEVEL FLIGHT,LEFT TANK EMPTY,1,HAS CAUSE,17
19790224007469I,ENGINE QUIT LEVEL FLIGHT,ICE IN RIGHT TANK,1,HAS CAUSE,17
19790224007469I,ENGINE QUIT LEVEL FLIGHT,GAS SEDIMENT BOWL WOULD NOT DRAIN,1,HAS CAUSE,17
19790209002599A,TAXIWAY,AIRPORT,1,LOCATION,19
19790209002599A,TRUCK,AIRCRAFT,1,EVENT DISTANCE,19
19790312008529I;19790627017429I,FORCED LANDING AFTER POWER LOSS,FOUND WATER IN FUEL,2,HAS EFFECT,20,42
19790627017429I,FOUND WATER IN FUEL,FORCED LANDING AFTER POWER LOSS,1,HAS EFFECT,42
19790421024669I,GEAR,COLLAPSED AFTER LANDING,1,HAS EFFECT,21
19790812030579I,GEAR,GEAR SWITCH IN UP POSITION,1,HAS EFFECT,81
19790421024669I,EMERGENCY EXTENSION CRANK,NOT PROPERLY STOWED,1,MAINTAINED BY,21
19790603029089I,THROTTLE CABLE HOUSING,WENT TO IDLE,1,HAS EFFECT,23
19790603029089I,THROTTLE CABLE HOUSING,NOT BEEN PROPERLY SECURED,1,HAS CAUSE,23
19790605014519I,FLIGHT,TANK CAP, IMPROPERLY INSTALLED,1,LOCATION,24
19790528028209I,ENGINE QUIT,FOUND WATER IN FUEL,1,HAS EFFECT,28
19790427100559I,ENGINE QUIT,AIRCRAFT DAMAGED IN AUTOROTATION,1,HAS EFFECT,37
19790427100559I,ENGINE QUIT,FUEL CONTAMINATION,1,HAS CAUSE,37
19791103056779I,ENGINE QUIT,TOO RICH A MIXTURE,1,HAS CAUSE,99
19790529041069A,ENGINE LOST POWER ON TAKEOFF,ALTERNATE AIR DEFECT,1,HAS EFFECT,29
19790603012119A,PLT,ACFT,1,USED BY,31
19790603012119A,PLT,BANK ACFT, STALLED, HIT GROUND,1,EVENT DISTANCE,31
19790515018139A,ATTEMPTED TAKEOFF,LOCKED FLIGHT CONTROLS,1,HAS EFFECT,32
19790515018139A,ATTEMPTED TAKEOFF,FACTOR INADEQUATE PRE-FLIGHT CHECK,1,HAS CAUSE,32
19790513010459A,ACFT NOSED OVER,ONE FOOT HIGH GRASS,1,EVENT DISTANCE,33
19790609016529A,ROPE,CRASH,1,HAS CAUSE,35
19790609016529A,GLIDER,140 FEET ABOVE GROUND,1,EVENT DISTANCE,35
19790427100619I;19790429025299I,NOSE GEAR,COLLAPSED,2,HAS EFFECT,36,48
19790429025299I,NOSE GEAR,FLAT STRUT,1,PART OF,48
19790427100619I,ENGINE EQUIPPED WITH HYDRAULIC PUMP, SHUT DOWN,ENGINE EQUIPPED WITH HYDRAULIC PUMP WAS SHUT DOWN,1,HAS EFFECT,36
19790427100619I,EMERGENCY PROCEDURES, NOT FOLLOWED,EMERGENCY PROCEDURES NOT FOLLOWED,1,HAS EFFECT,36
19790623014019A,RUDDER TRIM,RAN OFF LEFT SIDE OF RUNWAY ON TAKEOFF,1,EVENT DISTANCE,39
19790622017199I,STUDENT PILOT,TOPPED TANKS,1,HAS EFFECT,45
