c5,c119,phi4mini_instruct_triplets_clean
19790928027659A,FOUND LEFT FUEL CAP IMPROPERLY INSTALLED. FUEL STAINS ON TOP OF LEFT WING.                                         ,"<LEFT FUEL CAP, INSTALLED, IMPROPERLY>
<FUEL STAINS, LOCATION, TOP OF LEFT WING>"
19791014005659A,STUDENT PILOT CARRYING PASSENGERS CRASHED SHORTLY AFTER TAKEOFF. WATER FOUND IN STRAINER. AIRCRAFT OUT OF LICENSE  ,"<STUDENT PILOT, HAS EFFECT, CRASHED SHORTLY AFTER TAKEOFF>
<AIRCRAFT, HAS EFFECT, OUT OF LICENSE>
<AIRCRAFT, HAS EFFECT, WATER FOUND IN STRAINER>"
19791002050939I,PILOT RAN OUT OF FUEL DUE TO OPEN BOWL DRAIN ON THE FUEL STRAINER. HAD PREVIOUS PROBLEM IWTH STICKING DRAIN.       ,"<PILOT, HAS CAUSE, OPEN BOWL DRAIN ON THE FUEL STRAINER>
<PILOT, HAS CAUSE, STICKING DRAIN ON THE FUEL STRAINER>"
19791029027649A,PILOT FAILED TO PROPERLY SECURE SEAT. SEAT SLID BACK ON TAKEOFF.                                                   ,"<PILOT, HAS EFFECT, SEAT SLID BACK>
<PILOT, HAS EFFECT, SEAT CAME LOOSE>"
19791116043249A,PILOT NOTICED & DISREGARDED BROKEN EXHAUST PIPE. AIRLINE CAUGHT FIRE IN AIR. TRIED TO RETURN. EXPLODED ON FINAL.   ,"<PILOT, HAS EFFECT, NOTICED & DISREGARDED BROKEN EXHAUST PIPE>
<BEFORE FLIGHT, HAS EFFECT, PILOT NOTICED & DISREGARDED BROKEN EXHAUST PIPE>
<BEFORE FLIGHT, HAS EFFECT, AIRLINE CAUGHT FIRE IN AIR>
<BEFORE FLIGHT, HAS EFFECT, TRIED TO RETURN>
<BEFORE FLIGHT, HAS EFFECT, EXPLODED ON FINAL>"
19790929042239I,TAXIED INTO UNMARKED MANHOLE NEAR UNLIGHTED TAXIWAY. AIRPLANES LANDING/TAXI LIGHT INOPERATIVE.                     ,"<TAXIED INTO UNMARKED MANHOLE, LOCATION, NEAR UNLIGHTED TAXIWAY>
<TAXIED INTO UNMARKED MANHOLE, AFFECTED BY, AIRPLANES LANDING/TAXI LIGHT INOPERATIVE>"
19791023031609A,ENGINE RAN ROUGH. STUDENT PILOT MISSED 1ST LANDING APPROCH. ENGINE QUIT ON BASE ON 2ND TRY. HIT TREES.             ,"<ENGINE, HAS EFFECT, RAN ROUGH>
<ENGINE, HAS EFFECT, QUIT ON BASE ON 2ND TRY>
<INTO TREES, EVENT DISTANCE, HIT BY STUDENT PILOT>"
19791014052729I,"ENGINE BECAME ROUGH, PILOT CHECKED FOR CARB ICE. MADE PRECAUTIONARY LANDING IN A FIELD. PRIMER UNLOCKED AND OUT.   ","<ENGINE, HAS EFFECT, BECAME ROUGH>
<PILOT, CHECKED FOR, CARB ICE>
<MADEN AIRCRAFT, USED BY, PILOT>
<PRIMER, UNLOCKED, HE>"
19791015052549I,ENGINE QUIT AND WAS SHUTDOWN. CAUSE FOUND TO BE FUEL STARVATION DUE TO MISSING FUEL CAP.                           ,"<ENGINE QUIT, HAS EFFECT, SHUTDOWN>
<ENGINE QUIT, HAS CAUSE, MISSING FUEL CAP>"
19791222048669I,PILOT ELECTED TO LAND GEAR UP DUE TO UNSAFE NOSE GEAR INDICATION. NO MALFUNCTION FOUND.                            ,"<PILOT ELECTED TO LAND GEAR UP DUE TO UNSAFE NOSE GEAR INDICATION, NO MALFUNCTION FOUND>"
19791222048699I,FLIGHT DIVERTED FOR ADDITIONAL FUEL. AIRCRAFT WAS IMPROPERLY FUELED FOR DEPARTURE.                                 ,
19791129033509A,TRIED TAKEOFF FROM TRAILER. SKID TIEDOWN FELL BACK IN PLACE. HELICOPTER ROLLED OVER OFF TRAILER.                   ,
19791219034489A,WIND RAISED LIGHT SLING LOAD . CABLE HIT TAILROTOR. MADE HARD AUTOROTATE LANDING.                                  ,"<WIND, HAS EFFECT, HARD AUTOROTATE LANDING>
<CABLE, EVENT DISTANCE, HARD AUTOROTATE LANDING>"
19791126034419A,CFI WITH STUDENT ATTEMPTED TAKEOFF FROM SNOW COVERED RWY WITH ICE ON WINGS. UNABLE TO CLIMB. CRASHED OFF END RWY.  ,"<CFI, HAS EFFECT, UNABLE TO CLIMB>
<CFI, EVENT DISTANCE, OFF END RWY>
<CFI, LOCATION, SNOW COVERED RWY>
<CFI, LOCATION, WINGS, ICE>"
19791221039859A,PILOT DID NOT DRAIN FUEL TANKS. WATER IN TANKS CAUSED ENGINE TO STOP AFTER TAKEOFF. LANDED IN FIELD.               ,"<PILOT, HAS EFFECT, DID NOT DRAIN FUEL TANKS>
<ENGINE, HAS EFFECT, WATER IN TANKS CAUSED TO STOP AFTER TAKEOFF>
<LANDED IN FIELD, EVENT DISTANCE, LANDED AFTER ENGINE TO STOP>"
19791218033279A,"ENGINE FAILED ON TAKEOFF, FOUND WATER IN FUEL.                                                                     ","<ENGINE, HAS CAUSE, FAILED ON TAKEOFF>
<ENGINE, HAS CAUSE, FOUND WATER IN FUEL>"
19791228036809A,TRIED TO TAKE OFF WITH SNOW & ICE ON ACFT. UNABLE TO CLIMB. RAN OFF END RWY INTO A BARN.                           ,"<ACFT, EVENT DISTANCE, RAN OFF END RWY INTO A BARN>"
19791208047929I,PILOT FAILED TO CHECK POSITION OF GEAR KNOB DURING PREFLIGHT. RETRACTED ON TAKEOFF ROLL.                           ,"<PILOT, HAS EFFECT, FAILED TO CHECK POSITION OF GEAR KNOB DURING PREFLIGHT>
<PILOT, HAS EFFECT, RETRACTED ON TAKEOFF ROLL>"
19791216046619I,"CREW MISUSED AUTO THROTTLE SYSTEM, LOST POWER. INCORRECTLY ASSUMED FLAMEOUT. POWER AND CONTROL WERE SOON RESTORED. ","<CREW, HAS EFFECT, LOST POWER>
<CREW, HAS EFFECT, POWER AND CONTROL WERE SOON RESTORED>"
19791210043359A,ENGINE COWLING CAME OPEN ON THE TAKEOFF ROLL. ABORTED TAKEOFF. UNABLE TO STOP ON RUNWAY. DROPPED OVER A CLIFF.     ,"<ABORTED TAKEOFF, EVENT DISTANCE, ENGINE COWLING CAME OPEN ON THE TAKEOFF ROLL>
<ABORTED TAKEOFF, EVENT DISTANCE, DROPPED OVER A CLIFF>
<ABORTED TAKEOFF, EVENT DISTANCE, UNABLE TO STOP ON RUNWAY>"
19791210036229A,ABORTED TAKEOFF WHEN ENGINE COWLING RAISED UP DUE TO BEING UNLATCHED ON ONE SIDE. RAN OFF END OF RUNWAY.           ,"<ABORTED TAKEOFF, CAUSED BY, ENGINE COWLING RAISED UP DUE TO BEING UNLATCHED ON ONE SIDE>
<ABORTED TAKEOFF, EVENT DISTANCE, RAN OFF END OF RUNWAY>"
19800105013639I,PILOT TOOK OFF WITH RIGHT GENERATOR INOPERATIVE. LEFT GENERATOR FAILED IN FLIGHT. PILOT LANDED GEAR UP.            ,"<PILOT, OWNED BY, RIGHT GENERATOR INOPERATIVE>
<PILOT, HAS EFFECT, LEFT GENERATOR FAILED IN FLIGHT>
<PILOT, LANDING, GEAR UP>"
19800109001489A,ELECTRIC POWER LOSS WHEN GEAR WAS EXTENDED. GEAR COLLAPSED ON LANDING ROLL. PILOT FAILED TO USE EMERGENCY EXTENSION,"<ELECTRIC POWER LOSS, HAS EFFECT, GEAR COLLAPSED ON LANDING ROLL>
<PILOT, FAILED TO, EMERGENCY EXTENSION>"
19800106011019I,"RUNWAY NOT LIGHTED. SNOW AND ICE COVERED. PILOT MISJUDGED INTERSECTION, TURNED TOO SOON.                           ","<RUNWAY, LOCATION, NOT LIGHTED>
<RUNWAY, CONDITION, SNOW AND ICE COVERED>
<PILOT, ACTION, MISJUDGED INTERSECTION>
<PILOT, ACTION, TURNED TOO SOON>"
19800114013749I,"DURING COPILOT LANDING, HE REVERSED ONE PROP MORE THAN OTHER.                                                      ","<HE, REVERSED, ONE PROP MORE THAN OTHER>"
19800113000039A,DEPARTED IFR WITH KNOWN DEFECTIVE GYRO HORIZON. LOST CONTROL OF AIRPLANE DESCENDING IFR IN HOLDING PATTERN.        ,"<DEPARTED IFR, CAUSED BY, KNOWN DEFECTIVE GYRO HORIZON>
<LOST CONTROL OF AIRPLANE, CAUSED BY, KNOWN DEFECTIVE GYRO HORIZON>
<LOST CONTROL OF AIRPLANE, EVENT DISTANCE, DESCENDING IFR IN HOLDING PATTERN>"
19800115013869I,UPPER LEFT ENGINE COWL PN41834-06 SEPARATED FROM THE AIRCRAFT.                                                     ,
19800113015049I,PILOT TAXIED TO NORMAL TIE DOWN AREA AND AIRCRAFT SANK INTO MUD.                                                   ,
19800118015029I,LANDING GEAR BRACED IN DOWN POSITION AND RETRACT RODS DISCONNECTED FOR FERRY. GEAR COLLAPSED DURING TAKEOFF.       ,"<LANDING GEAR, BRACED IN, DOWN POSITION>
<LANDING GEAR, RETRACT RODS, DISCONNECTED FOR, FERRY>
<LANDING GEAR, COLLAPSED, DURING, TAKEOFF>"
19800120016369I,AIRCRAFT DIVERTED TO LOS ANGELES DUE TO STICKING FLAP. LUBRICATED FLAP JACKSCREW. RETURNED TO SERVICE.             ,"<FLAP JACKSCREW, LUBRICATED, LUBRICATED FLAP JACKSCREW>
<FLAP JACKSCREW, HAS EFFECT, LUBRICATED FLAP JACKSCREW>
<FLAP JACKSCREW, USED BY, AIRCRAFT>
<FLAP JACKSCREW, INFLUENCED BY, AIRCRAFT>
<FLAP JACKSCREW, MAINTAINED BY, AIRCRAFT>
<FLAP JACKSCREW, DESIGNATED FOR, LUBRICATION>
<FLAP JACKSCREW, RETURNED TO SERVICE, AIRCRAFT>"
19800128019739I,SHOOTING TOUCH & GO LANDINGS. TEMPERATURE 16 BELOW ZERO FAHRENHEIT. ENGINE STOPPED. ICE CRYSTALS FOUND IN FUEL.    ,"<ENGINE, HAS EFFECT, STOPPED>
<FUEL, HAS EFFECT, CONTAINS ICE CRYSTALS>
<SHOOTING TOUCH & GO LANDINGS, LOCATION, NOT SPECIFIED>"
19800119000759A,ENGINE FAILED ON TAKEOFF. FOUND WATER IN THE FUEL.                                                                 ,"<ENGINE, HAS EFFECT, FAILED ON TAKEOFF>
<ENGINE, HAS EFFECT, FOUND WATER IN FUEL>"
19800119018919I,ICE & WATER FOUND IN LOWEST POINT IN FUEL SYSTEM UNDER FUEL ON-OFF SELECTOR. ICE ALSO FOUND IN THE STRAINER.       ,"<ICE, HAS EFFECT, LOWEST POINT IN FUEL SYSTEM UNDER FUEL ON-OFF SELECTOR>
<ICE, HAS EFFECT, STRAINER>
<ICE, HAS EFFECT, LOWEST POINT IN FUEL SYSTEM UNDER FUEL ON-OFF SELECTOR>"
19800127019329I,FORCED LANDING FROM ENGINE FAILURE. DESCREPANCY HAD BEEN WRITTEN UP AND AERO CLUB CAUTIONED ABOUT NEEDED MAINT.    ,
