c5_sources,entity1,entity2,weight,relations,rows
19790928027659A,FUEL STAINS,TOP OF LEFT WING,1,LOCATION,0
19791014005659A,STUDENT PILOT,CRASHED SHORTLY AFTER TAKEOFF,1,HAS EFFECT,1
19791014005659A,AIRCRAFT,OUT OF LICENSE,1,HAS EFFECT,1
19791014005659A,AIRCRAFT,WATER FOUND IN STRAINER,1,HAS EFFECT,1
19800217031679I,AIRCRAFT,STRUCK FENCE DURING FORCED LANDING,1,HAS EFFECT,40
19800615052619I,AIRCRAFT,TAXIWAY,1,EVENT DISTANCE,71
19800615052619I,AIRCRAFT,TAXI LIGHT INOPERATIVE,1,HAS EFFECT,71
19791002050939I,PILOT,OPEN BOWL DRAIN ON THE FUEL STRAINER,1,HAS CAUSE,2
19791002050939I,PILOT,STICKING DRAIN ON THE FUEL STRAINER,1,HAS CAUSE,2
19791029027649A,PILOT,SEAT SLID BACK,1,HAS EFFECT,3
19791029027649A,PILOT,SEAT CAME LOOSE,1,HAS EFFECT,3
19791116043249A,PILOT,NOTICED & DISREGARDED BROKEN EXHAUST PIPE,1,HAS EFFECT,4
19791221039859A,PILOT,DID NOT DRAIN FUEL TANKS,1,HAS EFFECT,14
19791208047929I,PILOT,FAILED TO CHECK POSITION OF GEAR KNOB DURING PREFLIGHT,1,HAS EFFECT,17
19791208047929I,PILOT,RETRACTED ON TAKEOFF ROLL,1,HAS EFFECT,17
19800105013639I,PILOT,RIGHT GENERATOR INOPERATIVE,1,OWNED BY,21
19800105013639I,PILOT,LEFT GENERATOR FAILED IN FLIGHT,1,HAS EFFECT,21
19800216026099I,PILOT,MADE EMERGENCY LANDING IN A FIELD,1,HAS EFFECT,38
19800328007979A,PILOT,KILLED TWO PERSONS,1,HAS EFFECT,55
19800328007979A,PILOT,DRANKING,2,HAS CAUSE;USED BY,55
19800328007979A,PILOT,ROAD,1,LOCATION,55
19800322006789A,PILOT,DID NOT DRAIN FUEL LINES,1,HAS EFFECT,57
19800611054319I,PILOT,PORTABLE FUEL CANS,1,USED BY,68
19800611054319I,PILOT,CANS,1,USED BY,68
19800508011869A,PILOT,RAN OUT OF FUEL,1,HAS EFFECT,75
19800523016979A,PILOT,FAILED TO CHECK CONTROLS,1,HAS EFFECT,80
19800707059709I,PILOT,PREVIOUS LANDING ON ROUGH PRIVATE RUNWAY,1,MAINTAINED BY,94
19791116043249A,BEFORE FLIGHT,PILOT NOTICED & DISREGARDED BROKEN EXHAUST PIPE,1,HAS EFFECT,4
19791116043249A,BEFORE FLIGHT,AIRLINE CAUGHT FIRE IN AIR,1,HAS EFFECT,4
19791116043249A,BEFORE FLIGHT,TRIED TO RETURN,1,HAS EFFECT,4
19791116043249A,BEFORE FLIGHT,EXPLODED ON FINAL,1,HAS EFFECT,4
19800331045949I,BEFORE FLIGHT,ON TAKEOFF ROLL AT 60 MPH RIGHT MAIN GEAR STRUCK A WATER FILLED POTHOLE,1,EVENT DISTANCE,51
19800331045949I,BEFORE FLIGHT,FLIGHT ABORTED,1,HAS EFFECT,51
19790929042239I,TAXIED INTO UNMARKED MANHOLE,NEAR UNLIGHTED TAXIWAY,1,LOCATION,5
19791023031609A,ENGINE,RAN ROUGH,1,HAS EFFECT,6
19791023031609A,ENGINE,QUIT ON BASE ON 2ND TRY,1,HAS EFFECT,6
19791014052729I,ENGINE,BECAME ROUGH,1,HAS EFFECT,7
19791221039859A,ENGINE,WATER IN TANKS CAUSED TO STOP AFTER TAKEOFF,1,HAS EFFECT,14
19791218033279A;19800119000759A,ENGINE,FAILED ON TAKEOFF,2,HAS CAUSE;HAS EFFECT,15
19791218033279A;19800119000759A,ENGINE,FOUND WATER IN FUEL,2,HAS CAUSE;HAS EFFECT,15
19800128019739I,ENGINE,STOPPED,1,HAS EFFECT,30
19800219031689I,ENGINE,QUIT IMMEDIATELY AFTER TAKEOFF,1,HAS EFFECT,39
19800219031689I,ENGINE,WATER FOUND IN GASCOLATOR,1,HAS EFFECT,39
19800217031679I,ENGINE,LOST RPM DUE TO WATER IN FUEL TANKS AND FUEL SYSTEM,1,HAS EFFECT,40
19800223026959I,ENGINE,PILOT MADE EMERGENCY LANDING,1,HAS EFFECT,44
19800223026959I,ENGINE,CARBURETOR ICE OR FUEL CONTAMINATION,1,HAS EFFECT,44
19800224029629I,ENGINE,ENGINE STOPPED AFTER LIFT-OFF,1,HAS EFFECT,46
19800224029629I,ENGINE,WATER FOUND IN FUEL,1,HAS EFFECT,46
19800403047119I,ENGINE,LOST POWER DUE TO FUEL CONTAMINATION,1,HAS EFFECT,52
19800403047119I,ENGINE,EXCESSIVE AMOUNT OF WATER FOUND IN TANKS,1,HAS EFFECT,52
19800504044909I,ENGINE,FORCED LANDING MADE IN FIELD,1,HAS EFFECT,63
19800504044909I,ENGINE,FUEL CONTAMINATION,1,HAS CAUSE,63
19800608019219A,ENGINE,FAILED TO OBTAIN FULL POWER ON TAKEOFF,1,HAS CAUSE,77
19800608019219A,ENGINE,SLUDGE IN OIL,1,HAS CAUSE,77
19800608019219A,ENGINE,AVOIDING TREES,3,HAS EFFECT,77
19800714060679I,ENGINE,LACK OF OIL,1,HAS EFFECT,81
19800712077549I,ENGINE,QUIT,1,HAS EFFECT,97
19800819039089A,ENGINE,AIRCRAFT CRASHED INTO TREES,2,HAS EFFECT,99
19791023031609A,INTO TREES,HIT BY STUDENT PILOT,1,EVENT DISTANCE,6
19791014052729I,MADEN AIRCRAFT,PILOT,1,USED BY,7
19791015052549I,ENGINE QUIT,SHUTDOWN,1,HAS EFFECT,8
19791015052549I,ENGINE QUIT,MISSING FUEL CAP,1,HAS CAUSE,8
19800129002139A,ENGINE QUIT,PLANE CRASHED ON FIELD AIRSTRIP,1,HAS EFFECT,41
19800607046889I,ENGINE QUIT,NO DAMAGE IN EMERGENCY LANDING,1,HAS EFFECT,67
19791219034489A,WIND,HARD AUTOROTATE LANDING,1,HAS EFFECT,12
19791219034489A,CABLE,HARD AUTOROTATE LANDING,1,EVENT DISTANCE,12
19791126034419A,CFI,UNABLE TO CLIMB,1,HAS EFFECT,13
19791126034419A,CFI,OFF END RWY,1,EVENT DISTANCE,13
19791126034419A,CFI,SNOW COVERED RWY,1,LOCATION,13
19791126034419A,CFI,WINGS, ICE,1,LOCATION
