c5_sources,node,count
19790928027659A,FUEL STAINS,1
19790928027659A,TOP OF LEFT WING,1
19791014005659A,STUDENT PILOT,1
19791014005659A,CRASHED SHORTLY AFTER TAKEOFF,1
19791014005659A;19800120016369I;19800217031679I;19800615052619I,AIRCRAFT,8
19791014005659A,OUT OF LICENSE,1
19791014005659A,WATER FOUND IN STRAINER,1
19791002050939I;19791014052729I;19791029027649A;19791116043249A;19791208047929I;19791221039859A;19800105013639I;19800216026099I;19800322006789A;19800328007979A;19800508011869A;19800523016979A;19800611054319I;19800624056259I;19800707059709I,PILOT,23
19791002050939I,OPEN BOWL DRAIN ON THE FUEL STRAINER,1
19791002050939I,STICKING DRAIN ON THE FUEL STRAINER,1
19791029027649A,SEAT SLID BACK,1
19791029027649A,SEAT CAME LOOSE,1
19791116043249A,NOTICED & DISREGARDED BROKEN EXHAUST PIPE,1
19791116043249A;19800331045949I,BEFORE FLIGHT,6
19791116043249A,PILOT NOTICED & DISREGARDED BROKEN EXHAUST PIPE,1
19791116043249A,AIRLINE CAUGHT FIRE IN AIR,1
19791116043249A,TRIED TO RETURN,1
19791116043249A,EXPLODED ON FINAL,1
19790929042239I,TAXIED INTO UNMARKED MANHOLE,1
19790929042239I,NEAR UNLIGHTED TAXIWAY,1
19791014052729I;19791023031609A;19791218033279A;19791221039859A;19800119000759A;19800128019739I;19800217031679I;19800219031689I;19800223026959I;19800224029629I;19800403047119I;19800504044909I;19800608019219A;19800712077549I;19800714060679I;19800819039089A,ENGINE,29
19791023031609A,RAN ROUGH,1
19791023031609A,QUIT ON BASE ON 2ND TRY,1
19791023031609A,INTO TREES,1
19791023031609A,HIT BY STUDENT PILOT,1
19791014052729I,BECAME ROUGH,1
19791014052729I,MADEN AIRCRAFT,1
19791015052549I;19800129002139A;19800607046889I,ENGINE QUIT,4
19791015052549I,SHUTDOWN,1
19791015052549I,MISSING FUEL CAP,1
19791219034489A,WIND,1
19791219034489A,HARD AUTOROTATE LANDING,2
19791219034489A,CABLE,1
19791126034419A,CFI,4
19791126034419A,UNABLE TO CLIMB,1
19791126034419A,OFF END RWY,1
19791126034419A,SNOW COVERED RWY,1
19791126034419A,WINGS, ICE,1
19791221039859A,DID NOT DRAIN FUEL TANKS,1
19791221039859A,WATER IN TANKS CAUSED TO STOP AFTER TAKEOFF,1
19791221039859A;19800604051679I,LANDED IN FIELD,2
19791221039859A,LANDED AFTER ENGINE TO STOP,1
19791218033279A;19800119000759A,FAILED ON TAKEOFF,2
19791218033279A;19800119000759A,FOUND WATER IN FUEL,2
19791228036809A;19800623021719A,ACFT,4
19791228036809A,RAN OFF END RWY INTO A BARN,1
19791208047929I,FAILED TO CHECK POSITION OF GEAR KNOB DURING PREFLIGHT,1
19791208047929I,RETRACTED ON TAKEOFF ROLL,1
19791216046619I;19800309042889I,CREW,6
19791216046619I,LOST POWER,1
19791216046619I,POWER AND CONTROL WERE SOON RESTORED,1
19791210036229A;19791210043359A;19800320047429I;19800623021719A,ABORTED TAKEOFF,6
19791210043359A,ENGINE COWLING CAME OPEN ON THE TAKEOFF ROLL,1
19791210043359A,DROPPED OVER A CLIFF,1
19791210043359A,UNABLE TO STOP ON RUNWAY,1
19791210036229A,RAN OFF END OF RUNWAY,1
19800105013639I,RIGHT GENERATOR INOPERATIVE,1
19800105013639I,LEFT GENERATOR FAILED IN FLIGHT,1
19800109001489A,ELECTRIC POWER LOSS,1
19800109001489A,GEAR COLLAPSED ON LANDING ROLL,1
19800106011019I;19800429039119A,RUNWAY,2
19800106011019I,NOT LIGHTED,1
19800113000039A,LOST CONTROL OF AIRPLANE,1
19800113000039A,DESCENDING IFR IN HOLDING PATTERN,1
19800120016369I,FLAP JACKSCREW,4
19800120016369I,LUBRICATED FLAP JACKSCREW,1
19800128019739I,STOPPED,1
19800128019739I,FUEL,1
19800128019739I,CONTAINS ICE CRYSTALS,1
19800128019739I,SHOOTING TOUCH & GO LANDINGS,1
19800128019739I,NOT SPECIFIED,1
19800119018919I,ICE,3
19800119018919I,LOWEST POINT IN FUEL SYSTEM UNDER FUEL ON-OFF SELECTOR,2
19800119018919I,STRAINER,1
19800128019779I,SMOKE,1
19800128019779I,ENGINE COWL,1
19800129020179I,FUEL CAP O RINGS,1
19800129020179I,LARGE QUANTITY WATER FOUND RIGHT TANK,1
19800216026099I,MADE EMERGENCY LANDING IN A FIELD,1
19800219031689I,QUIT IMMEDIATELY AFTER TAKEOFF,1
19800219031689I,WATER FOUND IN GASCOLATOR,1
19800217031679I,LOST RPM DUE TO WATER IN FUEL TANKS AND FUEL SYSTEM,1
19800217031679I,STRUCK FENCE DURING FORCED LANDING,1
19800129002139A,PLANE CRASHED ON FIELD AIRSTRIP,1
19800208002479A;19800819040989A,HELICOPTER,4
19800208002479A,SURFACE AT DEPARTURE,1
19800215002609A,TRIED TO TAKE OFF WITH EXTERNAL LOAD,1
19800215002609A,LOST CONTROL OF AIRCRAFT,1
19800215002609A,LOSS OF CONTROL OF AIRPLANE,1
19800215002609A,AIRCRAFT NOSE-DIVED,1
19800223026959I,PILOT MADE EMERGENCY LANDING,1
19800223026959I,CARBURETOR ICE OR FUEL CONTAMINATION,1
19800223029599I,RIGHT ENGINE,1
19800223029599I,CENTER ENGINE,1
19800224029629I,ENGINE STOPPED AFTER LIFT-OFF,1
19800224029629I,WATER FOUND IN FUEL,1
19800309042889I,ENGINES,1
19800309042889I,TAXI WHILE BEING REFUELED,1
19800309042889I,RAN INTO FUEL TRUCK,1
19800309042889I,DEPARTED WITH DAMAGED WING,1
19800320047429I,SPEED BRAKE LEVER NOT SEATED,1
19800331045949I,ON TAKEOFF ROLL AT 60 MPH RIGHT MAIN GEAR STRUCK A WATER FILLED POTHOLE,1
19800331045949I,FLIGHT ABORTED,1
19800403047119I,LOST POWER DUE TO FUEL CONTAMINATION,1
19800403047119I,EXCESSIVE AMOUNT OF WATER FOUND IN TANKS,1
19800225005279A,TAXI FOR TAKEOFF,3
19800225005279A,SEAT SLID BACKWARDS DURING TAXI FOR TAKEOFF,1
19800225005279A,PILOT UNABLE TO REACH CONTROLS,1
19800225005279A,AIRPLANE RAN INTO A DITCH,1
19800229004169A,NOSE WHEEL STEERING,1
19800229004169A,TURNED TO LEFT ON TOUCHDOWN,1
19800229004169A,VEERING,1
19800229004169A,SNOWBANK,1
19800328007979A,KILLED TWO PERSONS,1
19800328007979A,DRANKING,2
19800328007979A,ROAD,1
19800322006789A,DID NOT DRAIN FUEL LINES,1
19800322006789A,PLANE,1
19800322006789A,CRASHED,1
19800408048109I,FLIGHT ENGINEER,1
19800408048109I,UNSCHEDULED LANDING,1
19800410050199I,OWNER,2
19800410050199I,WHEEL CAME OFF ON LANDING,1
19800410050199I,REMOVED BRAKE ASSEMBLY DAY PREVIOUS,1
19800415047829I,ENGINE STOPPAGE ON TAKEOFF,1
19800415047829I;19800712077549I,WATER IN FUEL,2
19800427044589I,ALTERNATOR,3
19800427044589I,ELECTRICAL FAILURE,1
19800427044589I,COLLAPSED,1
19800427044589I,LANDED WITH GEAR PARTIALLY DOWN,1
19800504044909I,FORCED LANDING MADE IN FIELD,1
19800504044909I,FUEL CONTAMINATION,1
19800604051679I,STUDENT PREFLIGHTED PLANE,4
19800604051679I,STUDENT,1
19800604051679I,RAN OUT OF GAS,1
19800604051679I,FIELD,1
19800607046889I,NO DAMAGE IN EMERGENCY LANDING,1
19800611054319I,PORTABLE FUEL CANS,1
19800611054319I,CANS,1
19800530018349A,FERTILIZE BUCKET SUPPORT CABLE,2
19800530018349A,LOADING SYSTEM,1
19800530018349A,ON TAKEOFF,1
19800530018349A,COPTER,1
19800530018349A,PULLED BY AN UNKNOWN ENTITY,1
19800418044679I;19800619055649I,NOSE GEAR,2
19800418044679I,COLLAPSED ON LANDING,1
19800615052619I,TAXIWAY,1
19800615052619I,TAXI LIGHT INOPERATIVE,1
19800429039119A,LEAVING A BIG HOLE,1
19800429039119A,PLANE NOSE WHEEL,1
19800429039119A,FELL INTO THE HOLE,1
19800508011869A,RAN OUT OF FUEL,1
19800608019219A,FAILED TO OBTAIN FULL POWER ON TAKEOFF,1
19800608019219A,SLUDGE IN OIL,1
19800608019219A,AVOIDING TREES,3
19800424010429A,MAJOR EVENT,3
19800424010429A,MAIN ROTOR SEVERED TAIL ROTOR,1
19800424010429A,CRASHLANDED,1
19800424010429A,TRAILING LAND LINE,1
19800523016979A,AILERONS,1
19800523016979A,MAINTENANCE,1
19800523016979A,WING-TIP,1
19800523016979A,HIT RUNWAY,1
19800523016979A,FAILED TO CHECK CONTROLS,1
19800714060679I,LACK OF OIL,1
19800822082749I,BRAKES,2
19800822082749I,INOPERATIVE AFTER LANDING,1
19800822082749I,HYDRAULIC RESERVOIR,1
