existing_node,match,new_row,final_node,similarity
FLIGHT,BEFORE FLIGHT,4,BEFORE FLIGHT,1.0
FLIGHT,BEFORE FLIGHT,4,BEFORE FLIGHT,1.0
FLIGHT,BEFORE FLIGHT,4,BEFORE FLIGHT,1.0
FLIGHT,BEFORE FLIGHT,4,BEFORE FLIGHT,1.0
TREES,INTO TREES,6,INTO TREES,1.0
OUT,HE,7,HE,1.0000001
MADE HARD AUTOROTATE LANDING,HARD AUTOROTATE LANDING,12,HARD AUTOROTATE LANDING,1.0
FOUND WATER IN THE FUEL,FOUND WATER IN FUEL,31,FOUND WATER IN FUEL,1.0
FLIGHT,BEFORE FLIGHT,51,BEFORE FLIGHT,1.0
FLIGHT,BEFORE FLIGHT,51,BEFORE FLIGHT,1.0
TAKEOFF,ON TAKEOFF,69,ON TAKEOFF,1.0
TAKEOFF,ON TAKEOFF,82,ON TAKEOFF,1.0
TAKEOFF,ON TAKEOFF,94,ON TAKEOFF,1.0
