c5_sources,entity1,entity2,weight,relations,rows
19990213001379A,ACFT,NO,1,EVENT DISTANCE,0
19990213001379A,ACFT,LOST CONTROL,1,HAS CAUSE,0
19990213001379A,ACFT,RAN INTO A DITCH,1,HAS CAUSE,0
19990213001379A,ACFT,STRUCK A TREE,1,HAS CAUSE,0
19990213001379A,ACFT,UNK,1,LOCATION,0
19750905025029A,ACFT,6 IN RUT,1,EVENT DISTANCE,105
19750905025029A,ACFT,GRASS TAXIWAY NOSE WHEEL,1,LOCATION,105
19770530012939A,ACFT,WRONG PROP INSTALLED,1,USED BY,120
19780112002729I,ACFT,FORCED LANDING AFTER POWER LOSS,1,EVENT DISTANCE,133
19780112002729I,ACFT,WATER FOUND IN FUEL,1,HAS CAUSE,133
19850315007389A,LOST CONTROL,ICING FORECAST,1,HAS EFFECT,7
19800217031649I,AFTER TAKEOFF,ENGINE QUIT,1,FOLLOWED BY,1
19991230042089A,AFTER TAKEOFF,ENGINE CUTTING OUT AND NOT DEVELOPING ENOUGH POWER,1,FOLLOWED BY,10
19780225001789I,AFTER TAKEOFF,REFUELING,1,LOCATION,156
19790720021329A,HELICOPTER,SLING LOAD,1,USED BY,2
19790720021329A,HELICOPTER,TREES,1,EVENT DISTANCE,2
19790720021329A,CRASH,IMPROPER PREFLIGHT,1,HAS CAUSE,2
19820725041999I,CRASH,LOOSEN COWLING ON TAKEOFF,1,HAS CAUSE,11
19820725041999I,CRASH,COWLING CAME OFF ON RETURNING TO LAND,1,HAS CAUSE,11
19820725041999I,CRASH,CRACKED WINDSHIELD,1,HAS CAUSE,11
19820725041999I,CRASH,DENTED STABILIZER,1,HAS CAUSE,11
19940818022409A,CRASH,BAD OIL LEAK,1,FOLLOWED BY,48
19940818022409A,CRASH,CRACKED ENGINE CASE,1,FOLLOWED BY,48
19840821046409A,CRASH,FORCED LANDING,1,FOLLOWED BY,50
19840821046409A,CRASH,ENGINE FAILURE,1,FOLLOWED BY,50
19840821046409A,CRASH,AFTER TAKEOFF,1,FOLLOWED BY,50
19880527016939A,CRASH,AVOIDING TREES,1,EVENT DISTANCE,95
19860128014289I,FORWARD CARGO DOOR,AIRCRAFT,1,USED BY,4
19860128014289I,AIRCRAFT,TOOK OFF,1,EVENT DISTANCE,4
19960322013629I,AIRCRAFT,FERRY,1,USED BY,28
19870309039779I,AIRCRAFT,TAXIING,1,TIME PERIOD,81
19860128014289I,OBJECTS,DROPPED OUT,1,HAS EFFECT,4
19860128014289I,WARNING LIGHT,FAILED TO SEE,1,HAS EFFECT,4
19850315007389A,PILOT,LOSE CONTROL,1,EVENT DISTANCE,7
19850315007389A,PILOT,ICING FORECAST,1,EVENT DISTANCE,7
19821117066379I,PILOT,UNABLE TO PRESSURIZE,1,HAS CAUSE,20
