c5_sources,node,count
19750905025029A;19770530012939A;19780112002729I;19781020041019A;19990213001379A,ACFT,12
19990213001379A,EMPTY,1
19850315007389A;19990213001379A,LOST CONTROL,2
19990213001379A,RAN INTO A DITCH,1
19990213001379A,STRUCK A TREE,1
19990213001379A,UNK,1
19780221000179I;19780225001789I;19780319009079I;19790207005339I;19800217031649I;19840821046409A;19860706034879A;19950216008379I;19960524045629A;19991230042089A;20060621012279A;20070630826079I,AFTER TAKEOFF,12
19780811037539I;19780829037939I;19781114026859I;19790127003859I;19790210006409I;19800217031649I,ENGINE QUIT,8
19780904017739I;19790720021329A,HELICOPTER,4
19790720021329A,SLING LOAD,1
19790720021329A,TREES,1
19790720021329A;19820725041999I;19840821046409A;19880527016939A;19940818022409A,CRASH,11
19790720021329A,IMPROPER PREFLIGHT,1
19790207005339I;19860128014289I,FORWARD CARGO DOOR,2
19770912040629A;19780923027059I;19860128014289I;19870309039779I;19960322013629I,AIRCRAFT,9
19860128014289I,TOOK OFF,1
19860128014289I,OBJECTS,1
19860128014289I,DROPPED OUT,1
19860128014289I,WARNING LIGHT,1
19860128014289I,FAILED TO SEE,1
19780221000179I;19780623036259I;19780623036419I;19780624034629I;19780725039589I;19780903028619A;19781018032569I;19781113027039I;19781207022839I;19781230019999I;19790214002969A;19790313008789I;19790316004819A;19791128035159A;19801005072789I;19821117066379I;19850315007389A;19850418016709I;19860706034879A;19930530020029I;19970908038069A;20030620012809I;20051009024969I,PILOT,41
19850315007389A,LOSE CONTROL,1
19850315007389A,ICING FORECAST,2
20030607012509A;20050429009279I;20070630826079I,(-23) AIRCRAFT,7
20070630826079I,RAY AIRPORT,1
20070630826079I,ENGINE PROBLEMS,1
19900425011659A,FERRY FLIGHT,4
19900425011659A,POND,1
19900425011659A,LEFT PONTOON SEPARATED LANDING IN A POND,1
19900425011659A,FUEL CAP NOT SECURED,1
19900425011659A,FUEL SIPHONED,1
19780427013859I;19780625035779I;19780625035919I;19780626034739I;19780725039589I;19780925018069I;19781009029939I;19781114026859I;19790107000829I;19790111000619I;19790113001939I;19840121015319I;19860530030499A;19860706034879A;19991230042089A,ENGINE,27
19991230042089A,CUTTING OUT,1
19991230042089A,NOT DEVELOPING ENOUGH POWER,1
19991230042089A,ENGINE CUTTING OUT AND NOT DEVELOPING ENOUGH POWER,1
19820725041999I,LOOSEN COWLING ON TAKEOFF,1
19820725041999I,COWLING CAME OFF ON RETURNING TO LAND,1
19820725041999I,CRACKED WINDSHIELD,1
19820725041999I,DENTED STABILIZER,1
19940412011509I,FLIGHT MANUAL,3
19940412011509I,STRUCK TRUCK WINDSHIELD ON GROUND,1
19940412011509I,GROUND,1
19940412011509I,LANDED SAFELY,1
19971226042729I,NR2,3
19971226042729I,ENGINE FIRE,1
19971226042729I,CUT OFF,1
19971226042729I,SMOKE CLEARED,1
19950619021589I,MAIN GEAR,1
19790113001939I;19950619021589I,AIRPORT,2
19860530030499A,HOT OIL SMELL,1
19860530030499A,FAILED TO REMOVE AIR INTAKE PLUGS,1
19860530030499A,NOSED OVER IN FURROWS PLOWED,1
19821117066379I,UNABLE TO PRESSURIZE,1
19821117066379I,DOOR SLIGHTLY OPEN,1
19821117066379I,DEPRESSURIZED,1
19821117066379I,DOOR OPENED FULLY,1
19821117066379I,STOPPED BY FUSELAGE,1
19810303007119A,VEERED OFF RUNWAY,1
19810303007119A,HITTED PARKED AIRPLANE,1
19810303007119A,NEWLY INSTALLED CARPETING,1
19810303007119A,RUDDER PEDAL,1
19860706034879A;19980508008619A;20070202001609A,LOST POWER,3
19860706034879A,AIRCRAFT FLIPPED,1
19860706034879A,TANKS,1
19770528021299A;19790111000619I;19860706034879A,FUEL,4
19780725039589I;19780820049069I;19780829037939I;19790127003859I;19790211007509A;19791128035159A;19860706034879A,WATER IN FUEL,7
19840121015319I,DRIFTED OFF THE EDGE,1
19840121015319I,FOUND SOLID ICE IN CARBURETOR BOWL,1
19800506012169A;19940226003029A;19940818022409A;19950527014439A,LAST CONTROL,9
19950527014439A,TOW RELEASE,1
19950527014439A,IMPACT,1
19950527014439A,CONNECT RIGHT AILERON,1
19960322013629I,FERRY,1
19951031041599A;19960322013629I,NOSE,3
19960322013629I,GEAR BLOCKED DOWN,1
19790211002709A,FAIL TO LIFTOFF,2
19790211002709A,RAN OFF END INTO SNOW BANK,1
19790211002709A,FROST ON AIRFRAME,1
19850418016709I,ENGINE POWER FAILURE,2
19850418016709I,AEROBATICS,1
19791128035159A;19850418016709I,LANDED IN FIELD,2
19850418016709I,FUEL TANKS,1
19781113027039I;20050429009279I,TAXIWAY,2
19781113027039I,UNMARKED DITCH,1
19870606018859A;19911222062669I,ABORTED TAKEOFF,6
19870606018859A,GROUND LOOPED INTO A TREE,1
19870606018859A,UNABLE TO STAY AIRBORNE,1
19870606018859A,MAG SWITCH,1
19870319012959I,RETURNED,1
19870319012959I,FOUND PIN WAS INSTALLED,1
20050429009279I,(-23) PILOT,1
19790111000619I;19890723054159I,AFTER LANDING,2
19890723054159I,INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD,1
19970523014439I,CARGO DOOR,1
19970523014439I,MR. BOWEN,1
19970523014439I,RUNWAY CONDITIONS,1
19970523014439I,STEVEN'S VILLAGE,1
19970908038069A,TIEDOWN CHAINS,6
19750818025579A;19790313008789I;19970908038069A,TAXI,5
19970908038069A,SKIDS,1
19790313008789I;19790316009739I;19970908038069A,RAMP,3
19970908038069A,PERSON,1
19771016042599A;19970908038069A,WIND,2
19760606015529A,GLIDER,1
19760606015529A,RELEASE,1
20051009024969I,HELICOPTER ENGINE POWER CHECKS,2
20051009024969I,CREWMEMBER,1
19930530020029I,ON TAKEOFF ROLL,1
19930530020029I,PILOTS SEAT,1
19980508008619A,ENROUTE,1
19980508008619A,NOSED OVER LANDING,1
19980508008619A,SLOPE,1
19980508008619A,NO EVIDENCE OF FUEL,1
19980508008619A,SCENE,1
19940818022409A,H71,1
19940818022409A,BAD OIL LEAK,1
19940818022409A,CRACKED ENGINE CASE,1
19920405008919A,ATTEMPTED TAKEOFF,4
19920405008919A,2500 FT SOD STRIP,1
19920405008919A,HITTED TREES OFF END OF STRIP,1
19920405008919A,GUSTY NORTH WIND,1
19920405008919A,CRASHED,1
19780403009389I;19840821046409A;19871027060859A,FORCED LANDING,3
19840821046409A,ENGINE FAILURE,1
19950216008379I,N1549U,2
19950216008379I,BETHEL AIRPORT,1
19850525020799A,ATTEMPTED DOWNWIND GO AROUND,1
19850525020799A,3 MILES FROM AIRPORT,1
19861114075329I,ENTERED TCA,1
19861114075329I,MALFUNCTIONING ENCODING ALTIMETER,1
19960524045629A,BAGGAGE DOOR,1
19960524045629A,BAGGAGE,1
19960524045629A,HIT LEFT PROP,1
19960524045629A,BELWO UMC,1
19960524045629A,LANDED ON SEA ICE,2
19960524045629A,SEA ICE,1
19960524045629A,DOOR,1
19960524045629A,WILL FLY,1
19871211075169A,ROUTINE ENGINE,1
19871211075169A,CITY STREET,1
19871027060859A,PICTOR,5
19871027060859A,PILOT ERROR,1
19871027060859A,ELECTRIC POWER LOST,1
19871027060859A,STRUCK POWER POLE,1
19871027060859A,CIRCUIT BREAKER OFF,1
19980616023109I,ENGINE COWLING SEPERATED,3
19980616023109I,LOUD BANG AND SHUDDER ENROUTE,1
19980616023109I,SPARKS AT ROTOR,1
19980616023109I,COWL NOT FASTENED,1
19791128035159A;19910710026989A,CLIMBOUT,4
19910710026989A,NO LOCKING PINS IN SEAT TRACK,1
19910710026989A,SEAT PIN BENT,1
19910710026989A,BELT NOT FASTENED,1
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL,1
19800506012169A,FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN,1
19791128035159A,LANDED TO WAIT OUT RAIN SHOWER,1
20060621012279A,AT ROTATION,2
19790214002969A;20060621012279A,SEAT SLID BACK,3
20060621012279A,OVERROTATE,1
19780402008409I;19780921019829I;19790306009619I,TAXIING AIRCRAFT,5
19780402008409I,WORN OUT & INEFFECTIVE BRAKES,1
19890725041869I,ENGINE START,3
19890725041869I,PILOTS SEAT WENT TO FULL AFT POSITION,1
19890725041869I,PUSH THROTTLE IN FULL,1
19890725041869I,AIRCRAFT COLLIDED WITH PARKED PLANE,1
19780319009079I;19911222062669I,AFTER LIFTOFF,3
19911222062669I,LANDED ON SAME RUNWAY,1
19911222062669I,RAN OFF SIDE OF RUNWAY,1
20030607012509A,BARTLESVILLE MUNICIPAL AIRPORT (BVO),1
20030607012509A,1147 AM LOCAL TIME,1
19801005072789I,REMAINING BRAKE FAILED,1
19801005072789I,RUNWAY,1
19781210024199I,WHEELS,1
19781210024199I,SNOW PACKED IN THE WHEEL PANTS,1
19780427013859I,ENGINE COWLING,1
19780808049579I;19780831038519I;19951031041599A;20070202001609A,FLIGHT,8
20070202001609A,NOTH PLATTE, NE
20070202001609A,IOWA CITY, IA
20070202001609A,NEAR GRINNELL,1
19780916024019A,TIE DOWN STRAP,3
19780916024019A,LEFT SKID,1
19780916024019A,TRAILER,1
19780916024019A,HEPER,1
20060718018299I,THE PILOT IN COMMAND (PIC),1
20060718018299I,FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE,1
19961027033759A,PRIOR DEMO FLIGHT,1
19961027033759A,CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP,1
19961027033759A,CONNECTING ROD,1
19961027033759A,BROKE,3
19961027033759A,HIT COUNTER WT.,1
19961027033759A,BROKE PORP SHAFT,1
19870309039779I,TAXIING,1
19951031041599A,OPENED DOOR,1
19951031041599A,TEST FLIGHT,1
19951031041599A,STORAGE,1
19940226003029A,LOST POWER EN ROUTE,1
19940226003029A,PRIVATE STRIP,1
19940226003029A,NOSED OVER,1
20010411006739I,(-23) THE HELICOPTER,2
20010411006739I,HELIPAD,1
20010411006739I,FLY POSITION,1
19870816062719I,COPPER TUBE,2
19870816062719I,AERIAL BANNERS,1
19870816062719I,THROUGH THE ROOF OF A HOUSE,1
19980620030289I,MR. KADERA,3
19980620030289I,3 MILES,1
19980620030289I,HIGHWAY 93,1
19980620030289I,SUNMER, IOWA
19980415037339I,NOSE BAGGAGE CARGO,1
19980415037339I,WOODEN WHEEL CHOCK,1
20000215041409A,BEECH 1900D,2
20000215041409A,1825 EASTERN STANDARD TIME,1
20000215041409A,N81SK,1
19880527016939A,AVOIDING TREES,1
19880527016939A,FUEL TANK,1
19880527016939A,SELECTED FUEL TANK EMPTY,1
19960418007829A,CRASHED AND BURNED,2
19960418007829A,AFTER DEPARTURE FROM A GRASS RUNWAY,1
19960418007829A,GRASS RUNWAY,1
19970828026989A,(-23) M,4
19970828026989A,LOUD POP ON TAKEOFF ROLL,1
19970828026989A,LOST RUDDER CONTROL,1
19970828026989A,EXITED RWY INTO CORNFIELD,1
19970828026989A,HAD FAILED TO LOCK THE TAILWHEEL,1
20030620012809I,FAILED TO SECURE OIL FILLER CAP,1
20030620012809I,OIL,1
19751029037799A,2ND ILS APCH,1
19751029037799A,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ,1
19751209037899A;19761021035989A;19761022033409A;19770622018359A;19780805024609A,PLT,14
19751209037899A,SOFT R BRAKE PEDAL DRG TAXI,1
19751209037899A,TKOF.FLT RTND SPRINGFIELD,1
19751209037899A,BOS,1
19750818025579A,HARD SFC DUE TFC R MAIN GR,1
19750818025579A,ROOF OF A WASHED OUT UNDERGROUND TUNNEL,1
19750905025029A,6 IN RUT,1
19750905025029A,GRASS TAXIWAY NOSE WHEEL,1
19750923031109A,KNOWN ELECTRICAL PROBABILITY,1
19750923031109A,EMERG GR DOWN SYS,1
19760215007629A,MTNS OBSCURED,2
19760215007629A,FLT,1
19760215007629A,PRIOR DAY,1
19760507010379A,LEFT ENG OIL SUPPLY,3
19760507010379A,GEAR-UP LDG IN MESQUITE BRUSH,1
19760507010379A,DENSITY ALT,7200FT
19760507010379A,HIGH OIL USAGE ENG,1
19761022033409A,T/O,1
19761022033409A,IFR,1
19761022033409A,VFR DEPARTURE,1
19761022033409A,WNDSHD,1
19761022033409A,WINDOWS FOGGED UP,1
19761021035989A,PREV NOSE WHEEL VIBRATION,1
19761021035989A,GR SAFE LGT,1
19761021035989A,WIND GUSTING 23KTS,1
19761119035559A,BANNER PICK UP,1
19761119035559A,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT,1
19770814024089A,L MAG INOP.#5 CYL COMPRESSION,1
19770814024089A,25/80,1
19770530012939A,WRONG PROP INSTALLED,1
19770528021299A,R BRAKE,1
19770622022049A,OIL FILLER CAP,1
19770622022049A,MISSING,1
19770622018359A,EMERG LNDNG GR EXTNSN,1
19770622018359A,ELECTRICAL PWR FAILURE,1
19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION,1
19770617020389A,AUTOROTATION,1
19770703018529A,FIRST FLT AFTR ANNUAL,3
