c5,c119,phi4mini_instruct_triplets,phi4mini_instruct_triplets_clean
19990213001379A,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK","<ACFT, EVENT DISTANCE, TAKE OFF>
<ACFT, HAS CAUSE, LOST CONTROL>
<ACFT, HAS CAUSE, RAN INTO A DITCH>
<ACFT, HAS CAUSE, STRUCK A TREE>
<ACFT, LOCATION, UNK>","<ACFT, EVENT DISTANCE, TAKE OFF>
<ACFT, HAS CAUSE, LOST CONTROL>
<ACFT, HAS CAUSE, RAN INTO A DITCH>
<ACFT, HAS CAUSE, STRUCK A TREE>
<ACFT, LOCATION, UNK>"
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.       ","<TAKEOFF, FOLLOWED BY, ENGINE QUIT>
<WING FUEL TANK SUMPS, NOT DRAINED DURING, PREFLIGHT BECAUSE THEY WERE FROZEN>","<TAKEOFF, FOLLOWED BY, ENGINE QUIT>
<WING FUEL TANK SUMPS, NOT DRAINED DURING, PREFLIGHT BECAUSE THEY WERE FROZEN>"
19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.               ,"<HELICOPTER, USED BY, SLING LOAD>
<HELICOPTER, EVENT DISTANCE, TREES>
<CRASH, HAS CAUSE, IMPROPER PREFLIGHT>","<HELICOPTER, USED BY, SLING LOAD>
<HELICOPTER, EVENT DISTANCE, TREES>
<CRASH, HAS CAUSE, IMPROPER PREFLIGHT>"
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,"<NOSEWHEEL, STRUCK, 2 AIRCRAFT>
<NOSEWHEEL, STRUCK, FENCE>
<NOSEWHEEL, LOST, NOSEWHEEL STEERING>
<NOSEWHEEL, LOST, BRAKES>
<NOSEWHEEL, CAUSE, CIRCUIT BREAKER HYDRAULIC PUMP OPEN>","<NOSEWHEEL, STRUCK, 2 AIRCRAFT>
<NOSEWHEEL, STRUCK, FENCE>
<NOSEWHEEL, LOST, NOSEWHEEL STEERING>
<NOSEWHEEL, LOST, BRAKES>
<NOSEWHEEL, CAUSE, CIRCUIT BREAKER HYDRAULIC PUMP OPEN>"
19860128014289I,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.        ,"<FORWARD CARGO DOOR, USED BY, AIRCRAFT>
<AIRCRAFT, EVENT DISTANCE, TOOK OFF>
<OBJECTS, HAS EFFECT, DROPPED OUT>
<WARNING LIGHT, HAS EFFECT, FAILED TO SEE>","<FORWARD CARGO DOOR, USED BY, AIRCRAFT>
<AIRCRAFT, EVENT DISTANCE, TOOK OFF>
<OBJECTS, HAS EFFECT, DROPPED OUT>
<WARNING LIGHT, HAS EFFECT, FAILED TO SEE>"
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED ","<MR. TIMOTHY ALLEN WELLS, ACTING AS, PILOT>
<MR. TIMOTHY ALLEN WELLS, COMMAND OF, BELL HELICOPTER MODEL BHT-47-G5>
<BELL HELICOPTER MODEL BHT-47-G5, ENGAGEMENT, N4754R>","<MR. TIMOTHY ALLEN WELLS, ACTING AS, PILOT>
<MR. TIMOTHY ALLEN WELLS, COMMAND OF, BELL HELICOPTER MODEL BHT-47-G5>
<BELL HELICOPTER MODEL BHT-47-G5, ENGAGEMENT, N4754R>"
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.                                           ,"<ENGINE QUIT, CAUSE, FORCED LANDING>
<ICE IN AUXILIARY FUEL SYSTEM, CAUSE, FORCED LANDING>","<ENGINE QUIT, CAUSE, FORCED LANDING>
<ICE IN AUXILIARY FUEL SYSTEM, CAUSE, FORCED LANDING>"
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.    ,"<PILOT, EVENT DISTANCE, LOSE CONTROL>
<PILOT, EVENT DISTANCE, ICING FORECAST>
<LOST CONTROL, HAS EFFECT, ICING FORECAST>","<PILOT, EVENT DISTANCE, LOSE CONTROL>
<PILOT, EVENT DISTANCE, ICING FORECAST>
<LOST CONTROL, HAS EFFECT, ICING FORECAST>"
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,"<(-23) AIRCRAFT, LOCATION, RAY AIRPORT>
<(-23) AIRCRAFT, EVENT DISTANCE, TAKEOFF>
<(-23) AIRCRAFT, HAS CAUSE, ENGINE PROBLEMS>","<(-23) AIRCRAFT, LOCATION, RAY AIRPORT>
<(-23) AIRCRAFT, EVENT DISTANCE, TAKEOFF>
<(-23) AIRCRAFT, HAS CAUSE, ENGINE PROBLEMS>"
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.    ,"<FERRY FLIGHT, EVENT DISTANCE, POND>
<FERRY FLIGHT, HAS EFFECT, LEFT PONTOON SEPARATED LANDING IN A POND>
<FERRY FLIGHT, HAS EFFECT, FUEL CAP NOT SECURED>
<FERRY FLIGHT, HAS EFFECT, FUEL SIPHONED>","<FERRY FLIGHT, EVENT DISTANCE, POND>
<FERRY FLIGHT, HAS EFFECT, LEFT PONTOON SEPARATED LANDING IN A POND>
<FERRY FLIGHT, HAS EFFECT, FUEL CAP NOT SECURED>
<FERRY FLIGHT, HAS EFFECT, FUEL SIPHONED>"
