c5_sources,node,count
19750905025029A;19770530012939A;19780112002729I;19781020041019A;19790222003429A;19790222003439A;19790603012119A;19790609024769A;19790610014749I;19790623022919A;19790807024709A;19791228036809A;19800623021719A;19990213001379A,ACFT,31
19790519010229A;19990213001379A,COULD NOT SEE OUT,3
19790718017739A;19850315007389A;19990213001379A,LOST CONTROL,3
19990213001379A,RAN INTO A DITCH,1
19990213001379A,STRUCK A TREE,1
19990213001379A,UNK,1
19780221000179I;19780225001789I;19780319009079I;19790207005339I;19790716019189I;19800217031649I;19800530018349A;19840821046409A;19860706034879A;19950216008379I;19960524045629A;19991230042089A;20060621012279A;20070630826079I,AFTER TAKEOFF,14
19780811037539I;19780829037939I;19781114026859I;19790127003859I;19790210006409I;19790427100559I;19790528028209I;19791015052549I;19791103056779I;19800129002139A;19800217031649I;19800607046889I,ENGINE QUIT,17
19780904017739I;19790525014229A;19790720021329A;19800208002479A;19800819040989A,HELICOPTER,10
19790720021329A,SLING LOAD,1
19790720021329A;19791023031609A,INTO TREES,2
19790318010729A;19790609016529A;19790720021329A;19800716028479A;19820725041999I;19840821046409A;19880527016939A;19940818022409A,CRASH,14
19790720021329A,IMPROPER PREFLIGHT,1
19790207005339I;19860128014289I,FORWARD CARGO DOOR,2
19770912040629A;19780923027059I;19790209002599A;19790316004809A;19790510009019A;19790823023209I;19791014005659A;19800120016369I;19800217031679I;19800615052619I;19860128014289I;19870309039779I;19960322013629I,AIRCRAFT,21
19790510009019A;19860128014289I,TOOK OFF,2
19860128014289I,OBJECTS,1
19860128014289I,DROPPED OUT,1
19860128014289I,WARNING LIGHT,1
19860128014289I,FAILED TO SEE,1
19780221000179I;19780623036259I;19780623036419I;19780624034629I;19780725039589I;19780903028619A;19781018032569I;19781113027039I;19781207022839I;19781230019999I;19790214002969A;19790216014249A;19790313008789I;19790316004819A;19790421024889I;19790425024979I;19790515027029I;19790519010229A;19790605014429I;19790622017219I;19790729022479I;19790807024709A;19790807029619I;19790808027309A;19791002050939I;19791014052729I;19791029027649A;19791030053329I;19791102034159A;19791108054919I;19791116043249A;19791128035159A;19791208047929I;19791221039859A;19800105013639I;19800216026099I;19800322006789A;19800328007979A;19800508011869A;19800523016979A;19800611054319I;19800624056259I;19800707059709I;19801005072789I;19821117066379I;19850315007389A;19850418016709I;19860706034879A;19930530020029I;19970908038069A;20030620012809I;20051009024969I,PILOT,85
19850315007389A,LOSE CONTROL,1
19850315007389A,ICING FORECAST,2
20030607012509A;20050429009279I;20070630826079I,(-23) AIRCRAFT,7
20070630826079I,RAY AIRPORT,1
20070630826079I,ENGINE PROBLEMS,1
19900425011659A,FERRY FLIGHT,4
19900425011659A,POND,1
19900425011659A,LEFT PONTOON SEPARATED LANDING IN A POND,1
19900425011659A,FUEL CAP NOT SECURED,1
19900425011659A,FUEL SIPHONED,1
19780427013859I;19780625035779I;19780625035919I;19780626034739I;19780725039589I;19780925018069I;19781009029939I;19781114026859I;19790107000829I;19790111000619I;19790113001939I;19790207002459A;19790316004809A;19790318010729A;19790421024749I;19790513026659I;19790602009889A;19790622017199I;19790623022919A;19790625015009A;19790703018439I;19790808027309A;19790809030499I;19790813023739A;19790829023019A;19790916031359A;19790919027319A;19791014052729I;19791017051209I;19791022029739A;19791022054789I;19791023031609A;19791218033279A;19791221039859A;19800119000759A;19800128019739I;19800217031679I;19800219031689I;19800223026959I;19800224029629I;19800403047119I;19800504044909I;19800608019219A;19800712077549I;19800714060679I;19800819039089A;19840121015319I;19860530030499A;19860706034879A;19991230042089A,ENGINE,83
19991230042089A,CUTTING OUT,1
19991230042089A,NOT DEVELOPING ENOUGH POWER,1
19991230042089A,ENGINE CUTTING OUT AND NOT DEVELOPING ENOUGH POWER,1
19820725041999I,LOOSEN COWLING ON TAKEOFF,1
19820725041999I,COWLING CAME OFF ON RETURNING TO LAND,1
19820725041999I,CRACKED WINDSHIELD,1
19820725041999I,DENTED STABILIZER,1
19940412011509I,FLIGHT MANUAL,3
19940412011509I,STRUCK TRUCK WINDSHIELD ON GROUND,1
19940412011509I,GROUND,1
19940412011509I,LANDED SAFELY,1
19971226042729I,NR2,3
19971226042729I,ENGINE FIRE,1
19971226042729I,CUT OFF,1
19971226042729I,SMOKE CLEARED,1
19950619021589I,MAIN GEAR,1
19790113001939I;19790209002599A;19950619021589I,AIRPORT,3
19860530030499A,HOT OIL SMELL,1
19860530030499A,FAILED TO REMOVE AIR INTAKE PLUGS,1
19860530030499A,NOSED OVER IN FURROWS PLOWED,1
19821117066379I,UNABLE TO PRESSURIZE,1
19821117066379I,DOOR SLIGHTLY OPEN,1
19821117066379I,DEPRESSURIZED,1
19821117066379I,DOOR OPENED FULLY,1
19821117066379I,STOPPED BY FUSELAGE,1
19790718017739A;19810303007119A,VEERED OFF RUNWAY,2
19810303007119A,HITTED PARKED AIRPLANE,1
19810303007119A,NEWLY INSTALLED CARPETING,1
19810303007119A,RUDDER PEDAL,1
19790622017219I;19791216046619I;19860706034879A;19980508008619A;20070202001609A,LOST POWER,5
19860706034879A,AIRCRAFT FLIPPED,1
19790622017199I;19860706034879A,TANKS,2
19770528021299A;19790111000619I;19790318010729A;19790622017219I;19790808027309A;19800128019739I;19860706034879A,FUEL,8
19780725039589I;19780820049069I;19780829037939I;19790127003859I;19790211007509A;19790801021959A;19790808027309A;19790829023019A;19790919027319A;19791128035159A;19800415047829I;19800712077549I;19860706034879A,WATER IN FUEL,13
19840121015319I,DRIFTED OFF THE EDGE,1
19840121015319I,FOUND SOLID ICE IN CARBURETOR BOWL,1
19800506012169A;19940226003029A;19940818022409A;19950527014439A,LAST CONTROL,9
19950527014439A,TOW RELEASE,1
19950527014439A,IMPACT,1
19950527014439A,CONNECT RIGHT AILERON,1
19960322013629I,FERRY,1
19951031041599A;19960322013629I,NOSE,3
19960322013629I,GEAR BLOCKED DOWN,1
19790211002709A,FAIL TO LIFTOFF,2
19790211002709A,RAN OFF END INTO SNOW BANK,1
19790211002709A,FROST ON AIRFRAME,1
19850418016709I,ENGINE POWER FAILURE,2
19850418016709I,AEROBATICS,1
19791128035159A;19791221039859A;19800604051679I;19850418016709I,LANDED IN FIELD,4
19850418016709I,FUEL TANKS,1
19781113027039I;19790209002599A;19800615052619I;20050429009279I,TAXIWAY,4
19781113027039I,UNMARKED DITCH,1
19791210036229A;19791210043359A;19800320047429I;19800623021719A;19870606018859A;19911222062669I,ABORTED TAKEOFF,12
19870606018859A,GROUND LOOPED INTO A TREE,1
19870606018859A,UNABLE TO STAY AIRBORNE,1
19870606018859A,MAG SWITCH,1
19870319012959I,RETURNED,1
19870319012959I,FOUND PIN WAS INSTALLED,1
20050429009279I,(-23) PILOT,1
19790111000619I;19790309032649A;19790716019189I;19790820032669I;19890723054159I,AFTER LANDING,6
19890723054159I,INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD,1
19790309032649A;19970523014439I,CARGO DOOR,3
19970523014439I,MR. BOWEN,1
19970523014439I,RUNWAY CONDITIONS,1
19970523014439I,STEVEN'S VILLAGE,1
19970908038069A,TIEDOWN CHAINS,6
19750818025579A;19790313008789I;19970908038069A,TAXI,5
19970908038069A,SKIDS,1
