entity1,entity2,relation,incident_ids
ACFT,IT,coreference,19990213001379A
TAKEOFF,ENGINE QUIT,FOLLOWED BY,19800217031649I
TAKEOFF,CLIMB,FOLLOWED BY,20070630826079I
TAKEOFF,ENGINE CUTTING OUT,FOLLOWED BY,19991230042089A
TAKEOFF,ENGINE FAILED,FOLLOWED BY,19840121015319I
TAKEOFF,NOSE GEAR WOULD NOT RETRACT,FOLLOWED BY,19870319012959I
TAKEOFF,2500 FT SOD STRIP,LOCATION,19920405008919A
TAKEOFF,BETHEL AIRPORT,LOCATION,19950216008379I
TAKEOFF,ENGINE STOPPED,FOLLOWED BY,19950216008379I
FUEL TANK,TANK,secondary_of,19800217031649I
WING FUEL TANK SUMPS,THEY,coreference,19800217031649I
WING FUEL TANK SUMPS,FUEL TANK SUMPS,secondary_of,19800217031649I
WING FUEL TANK SUMPS,SUMPS,tertiary_of,19800217031649I
HELICOPTER,HELIPAD,LOCATION,20010411006739I
SLING LOAD,LOAD,coreference,19790720021329A
SLING LOAD,HELICOPTER,USED BY,19790720021329A
SLING LOAD,CRASHED,HAS EFFECT,19790720021329A
IMPROPER PREFLIGHT,PREFLIGHT,secondary_of,19790720021329A
IMPROPER PREFLIGHT,CRASHED,HAS EFFECT,19790720021329A
BRAKES,CART,PART OF,19781108022239I
2 AIRCRAFT,AIRCRAFT,secondary_of,19841214074599I
CIRCUIT BREAKER HYDRAULIC PUMP,HYDRAULIC PUMP,secondary_of,19841214074599I
CIRCUIT BREAKER HYDRAULIC PUMP,PUMP,tertiary_of,19841214074599I
FORWARD CARGO DOOR,CARGO DOOR,secondary_of,19860128014289I
FORWARD CARGO DOOR,DOOR,tertiary_of,19860128014289I
AIRCRAFT,RAY AIRPORT,LOCATION,20070630826079I
AIRCRAFT,AMATEUR,DESIGNED BY,19950314029269I
WARNING LIGHT,LIGHT,secondary_of,19860128014289I
MR. TIMOTHY ALLEN WELLS,PILOT IN COMMAND,FACET OF,20000215010329A
"PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R",PILOT,secondary_of,20000215010329A
"BELL HELICOPTER MODEL BHT-47-G5, N4754R",BHT-47-G5,secondary_of,20000215010329A
BELL HELICOPTER MODEL BHT-47-G5,BHT-47-G5,secondary_of,20000215010329A
FORCED LANDING,LANDING,secondary_of,"19780509032859I, 19801116083749I, 19840821046409A, 19871027060859A"
FORCED LANDING,ENGINE QUIT,HAS CAUSE,19801116083749I
FORCED LANDING,ICE IN AUXILIARY SYSTEM,HAS CAUSE,19801116083749I
FORCED LANDING,ENGINE FAILURE,FOLLOWS,19840821046409A
FORCED LANDING,PILOT ERROR,HAS CAUSE,19871027060859A
FORCED LANDING,POWER LOSS,FOLLOWS,19780509032859I
ONE ENGINE,ENGINE,secondary_of,19801116083749I
AUXILIARY FUEL SYSTEM,FUEL SYSTEM,secondary_of,19801116083749I
PILOT,PILOTS,coreference,19930530020029I
PILOT,PILOT,coreference,"19780111000459A, 20010421009329I"
LOWER ALTITUDE,ALTITUDE,secondary_of,19850315007389A
LOWER ALTITUDE,ICING,HAS CAUSE,19850315007389A
ICING,LOWER ALTITUDE,HAS EFFECT,19850315007389A
RAY AIRPORT,AIRPORT,secondary_of,20070630826079I
CLIMB,PROBLEMS,FOLLOWED BY,20070630826079I
AIRCRAFT ENGINE,ENGINE,secondary_of,20070630826079I
PROBLEMS,ENGINE,PART OF,20070630826079I
FERRY FLIGHT,FLIGHT,secondary_of,19900425011659A
LEFT PONTOON,PONTOON,secondary_of,19900425011659A
FUEL CAP,CAP,secondary_of,"19900425011659A, 19901101064289I"
FUEL CAP,FUEL SIPHONED,HAS EFFECT,19900425011659A
FUEL CAP,RIGHT TANK,PART OF,19901101064289I
LOOSE COWLING,COWLING,coreference,19820725041999I
LOOSE COWLING,TAKEOFF,PART OF,19820725041999I
LOOSE COWLING,CRACKED WINDSHIELD,HAS EFFECT,19820725041999I
LOOSE COWLING,DENTED STABILIZER,HAS EFFECT,19820725041999I
LAND,HIGHWAY 93,LOCATION,19980620030289I
CRACKED WINDSHIELD,WINDSHIELD,secondary_of,19820725041999I
CRACKED WINDSHIELD,LOOSE COWLING,HAS CAUSE,19820725041999I
CRACKED WINDSHIELD,ANTENNA,HAS CAUSE,19940815046149I
DENTED STABILIZER,STABILIZER,secondary_of,19820725041999I
DENTED STABILIZER,LOOSE COWLING,HAS CAUSE,19820725041999I
DESCENT,AIRCRAFT POPPED OPEN,FOLLOWED BY,19940412011509I
FLIGHT MANUAL,MANUAL,secondary_of,19940412011509I
TRUCK WINDSHIELD,WINDSHIELD,secondary_of,19940412011509I
NR2 ENGINE FIRE,FIRE,secondary_of,19971226042729I
FUEL LEVER,LEVER,secondary_of,19971226042729I
FUEL LEVER,ENGINE FIRE,HAS EFFECT,19971226042729I
HIGH OIL TEMP,OIL TEMP,secondary_of,19950619021589I
HIGH OIL TEMP,TEMP,tertiary_of,19950619021589I
OIL,ENGINE,PART OF,20030620012809I
SHEARED MAIN GEAR,MAIN GEAR,secondary_of,19950619021589I
SHEARED MAIN GEAR,GEAR,tertiary_of,19950619021589I
SHEARED MAIN GEAR,LANDED OFF AIRPORT,HAS CAUSE,19950619021589I
BATTERY COMPARTMENT DOOR,DOOR,secondary_of,19940815046149I
ANTENNA,CRACKED WINDSHIELD,HAS EFFECT,19940815046149I
ANTENNA,BATTERY,PART OF,19940815046149I
NOSE GEAR,GEAR,secondary_of,"19860228038269I, 19870319012959I"
PREVIOUS MAINTENANCE,MAINTENANCE,secondary_of,19860228038269I
GROUND STAND,STAND,secondary_of,19790718019229I
GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES,BAGGAGE CART,secondary_of,19790718019229I
GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES,CART,tertiary_of,19790718019229I
9 INCH TEAR IN FUSELAGE,TEAR,secondary_of,19790718019229I
FUSELAGE,STOPPED,HAS EFFECT,19821117066379I
NORTHWEST AIRLINES DC-10,DC-10,secondary_of,20000625032189I
GATE B-52,GATE,secondary_of,20000625032189I
ENGINE OVERHEAT,AIR INTAKE PLUGS,HAS CAUSE,19860530030499A
ENGINE OVERHEAT,HOT OIL SMELL,HAS EFFECT,19860530030499A
HOT OIL SMELL,SMELL,secondary_of,19860530030499A
HOT OIL SMELL,ENGINE OVERHEAT,HAS CAUSE,19860530030499A
AIR INTAKE PLUGS,PLUGS,secondary_of,19860530030499A
AIR INTAKE PLUGS,ENGINE OVERHEAT,HAS EFFECT,19860530030499A
ACCESS DOOR,DOOR,secondary_of,19821117066379I
LANDING,VEERED OFF RUNWAY,FOLLOWED BY,19810303007119A
LANDING,INSUFFICIENT NUMBER OF SEATS,FOLLOWED BY,19890723054159I
LANDING,INSUFFICIENT NUMBER OF OXYGEN MASKS,FOLLOWED BY,19890723054159I
PARKED AIRPLANE,AIRPLANE,secondary_of,19810303007119A
NEWLY INSTALLED CARPETING,CARPETING,secondary_of,19810303007119A
RUDDER PEDAL,PEDAL,secondary_of,19810303007119A
DAMAGED PROP,PROP,secondary_of,19950602032329I
DAMAGED PROP,STRUCK TAXIWAY LIGHT,FOLLOWS,19950602032329I
RIGHT TANK,TANK,secondary_of,19901101064289I
FLIGHT,NOTH PLATTER NE,LOCATION,20070202001609A
FLIGHT,487 STATUTE MILES,EVENT DISTANCE,20070202001609A
FLIGHT,IOWA CITY IA,LOCATION,20070202001609A
1535 MST,1535,secondary_of,20050713014239I
"RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING",B36TC,secondary_of,20050713014239I
HAVENS LEASING,RAYTHEON ARICRAFT,OWNER OF,20050713014239I
WATER IN FUEL,WATER,secondary_of,"19780509032859I, 19791128035159A, 19860706034879A, 19950804028629A"
WATER IN FUEL,ENGINE RAN ROUGH,HAS EFFECT,19791128035159A
SOLID ICE IN CARBURETOR BOWL,ICE,secondary_of,19840121015319I
CARBURETOR BOWL,CARBURETOR,secondary_of,19840121015319I
TOW RELEASE,LOST CONTROL,FOLLOWED BY,19950527014439A
RIGHT AILERON,AILERON,secondary_of,19950527014439A
RIGHT AILERON,LOST CONTROL,HAS EFFECT,19950527014439A
GEAR,AIRCRAFT,PART OF,19960322013629I
NOSE BLOCK,AIRCRAFT,PART OF,19960322013629I
TRAILER TIE DOWN,TIE DOWN,secondary_of,19960504009509A
TRAILER TIE DOWN,SKID,PART OF,19960504009509A
TRAILER TIE DOWN,LOST CONTROL,HAS EFFECT,19960504009509A
TRAILER TIE DOWN,ROLLED ON LIFT OFF,HAS EFFECT,19960504009509A
FROST ON AIRFRAME,FROST,secondary_of,19790211002709A
ENGINE POWER FAILURE,POWER FAILURE,secondary_of,19850418016709I
ENGINE POWER FAILURE,LANDED IN FIELD,FOLLOWED BY,19850418016709I
ENGINE POWER FAILURE,FUEL TANKS,HAS CAUSE,19850418016709I
ENGINE POWER,POWER,secondary_of,19850418016709I
FUEL TANKS,TANKS,secondary_of,19850418016709I
FUEL TANKS,ENGINE POWER FAILURE,HAS EFFECT,19850418016709I
ABORTED TAKEOFF,TAKEOFF,secondary_of,19780913017419I
ABORTED TAKEOFF,FRONT BAGGAGE DOOR POPPED OPEN,HAS CAUSE,19780913017419I
FRONT BAGGAGE DOOR,BAGGAGE DOOR,secondary_of,19780913017419I
FRONT BAGGAGE DOOR,DOOR,tertiary_of,19780913017419I
ONE MAG,MAG SWITCH,INSTANCE OF,19870606018859A
FRONT RANGE AIRPORT,AIRPORT,secondary_of,19990714022959I
"SIKORSKY S-70A, N160LA",S-70A,secondary_of,20050504010229A
SIKORSKY S-70A,S-70A,secondary_of,20050504010229A
VIBRATION,ROTOR BLADE,HAS CAUSE,20050504010229A
APU DOOR,DOOR,secondary_of,20050504010229A
APU DOOR,SIKORSKY S-70A,PART OF,20050504010229A
MAIN ROTOR BLADE,ROTOR BLADE,secondary_of,20050504010229A
MAIN ROTOR BLADE,BLADE,tertiary_of,20050504010229A
CARGO TRIP,TRIP,secondary_of,20050429009279I
CARGO TRIP,TAXIING,FOLLOWED BY,20050429009279I
INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD,SEATS,secondary_of,19890723054159I
INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD,OXYGEN MASKS,secondary_of,19890723054159I
CARGO DOOR,DOOR,secondary_of,19970523014439I
CARGO DOOR,MR. BOWEN,MAINTAINED BY,19970523014439I
RUNWAY CONDITIONS,CONDITIONS,secondary_of,19970523014439I
TIEDOWN CHAINS,CHAINS,secondary_of,19970908038069A
TIEDOWN CHAINS,ROLLED OVER,HAS EFFECT,19970908038069A
RAMP PERSON,PERSON,secondary_of,19970908038069A
SKIDS,RAMP PERSON,MAINTAINED BY,19970908038069A
HIGH WIND,WIND,secondary_of,19970908038069A
HIGH WIND,TIED SKIDS,HAS EFFECT,19970908038069A
BAGGAGE CART,CART,coreference,19781108022239I
PARKED AIRCRAFT,AIRCRAFT,secondary_of,"19780402008409I, 19781108022239I"
NOSE HIGH ATTITUDE,ATTITUDE,secondary_of,19760606015529A
HELICOPTER ENGINE,ENGINE,secondary_of,20051009024969I
ONE CREWMEMBER,CREWMEMBER,secondary_of,20051009024969I
TAKEOFF ROLL,TAKEOFF,secondary_of,"19800506012169A, 19930530020029I, 19970828026989A"
PILOTS SEAT,SEAT,secondary_of,"19890725041869I, 19930530020029I"
FLAT NOSE STRUT,IT,coreference,19801230089799I
FLAT NOSE STRUT,AIRPLANE STRUCTURE,PART OF,19801230089799I
AIRPLANE STRUCTURE,STRUCTURE,secondary_of,19801230089799I
NO EVIDENCE OF FUEL AT SCENE,EVIDENCE,secondary_of,19980508008619A
LEFT ENGINE,ENGINE,secondary_of,19940818022409A
BAD OIL LEAK,OIL LEAK,secondary_of,19940818022409A
BAD OIL LEAK,LEAK,tertiary_of,19940818022409A
BAD OIL LEAK,LOST LEFT ENGINE,HAS EFFECT,19940818022409A
CRACKED ENGINE CASE,ENGINE CASE,secondary_of,19940818022409A
CRACKED ENGINE CASE,CASE,tertiary_of,19940818022409A
CRACKED ENGINE CASE,LOST LEFT ENGINE,HAS CAUSE,19940818022409A
2500 FT SOD STRIP,STRIP,coreference,19920405008919A
2500 FT SOD STRIP,SOD STRIP,secondary_of,19920405008919A
