index,index,c5_unique_id,c119_text,"entity1, relation_type, entity2"
2318,2318,19990213001379A,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK","LOST CONTROL, HAS EFFECT, RAN INTO A DITCH; LOST CONTROL, HAS EFFECT, STRUCK A TREE; RAN INTO A DITCH, HAS CAUSE, LOST CONTROL; STRUCK A TREE, HAS CAUSE, LOST CONTROL"
354,354,19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.       ","TAKEOFF, FOLLOWED BY, ENGINE QUIT; WING TANKS NOT DRAINED, HAS CAUSE, FROZEN; FROZEN, HAS EFFECT, WING TANKS NOT DRAINED; WING TANKS NOT DRAINED, PART-OF, PREFLIGHT;  ENGINE QUIT, HAS CAUSE, WING TANKS NOT DRAINED; WING TANKS NOT DRAINED, HAS EFFECT, ENGINE QUIT"
354,284,19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.,"SLING LOAD, USED BY, HELICOPTER; SLING LOAD, HAS EFFECT, CRASHED; CRASHED, HAS CAUSE, SLING LOAD; IMPROPER PREFLIGHT, HAS EFFECT, CRASHED; CRASHED, HAS CAUSE, IMPROPER PREFLIGHT"
284,817,19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,"LOST NOSEWHEEL STEERING AND BRAKES, HAS EFFECT, STRUCK 2 AIRCRAFT; STRUCK 2 AIRCRAFT, HAS CAUSE, LOST NOSEWHEEL STEERING AND BRAKES;  HYDRAULIC PUMP, PART-OF, CIRCUIT BREAKER;  STRUCK FENCE, HAS CAUSE, LOST NOSEWHEEL STEERING AND BRAKES; HYDRAULIC PUMP OPEN, HAS EFFECT, LOST NOSEWHEEL STEERING AND BRAKES; LOST NOSEWHEEL STEERING AND BRAKES, HAS CAUSE, HYDRAULIC PUMP OPEN; LOST NOSEWHEEL STEERING AND BRAKES, HAS EFFECT, STRUCK FENCE;  LOST NOSEWHEEL STEERING AND BRAKES, HAS EFFECT, STRUCK 2 AIRCRAFT"
817,1024,19860128014289I,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.,"FORWARD CARGO DOOR, PART-OF, AIRCRAFT; FORWARD CARDO DOOR OPENED, INSTANCE OF, TAKEOFF; OBJECTS DROPPED OUT, HAS CAUSE, FORWARD CARGO DOOR OPENED; FORWARD CARGO DOOR OPENED, HAS EFFECT, OBJECTS DROPPED OUT"
1024,2335,20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED ","MR. TIMOTHY ALLEN WELLS, FACET OF, PILOT IN COMMAND;  BHT-47-G5, INSTANCE OF, HELICOPTER MODEL"
2335,467,19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.,"ENGINE QUIT, HAS EFFECT, FORCED LANDING;  FORCED LANDING, HAS CAUSE, ENGINE QUIT; ICE, PART-OF, AUXILIARY SYSTEM; ICE IN AUXILIARY SYSTEM , HAS EFFECT, FORCED LANDING; FORCED LANDING, HAS CAUSE, ICE IN AUXILIARY SYSTEM"
467,856,19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.,"ICING, HAS EFFECT, LOWER ALTITUDE; LOWER ALTITUDE, HAS CAUSE, ICING; LOST CONTROL, HAS CAUSE, ALTIMETER NOT IFR CERTIFIED; ALTIMETER NOT IFR CERTIFIED, HAS EFFECT, LOST CONTROL; LOST CONTROL, HAS CAUSE, ALTIMETER NOT IFR CERTIFIED"
856,2685,20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,"AIRCRAFT, LOCATION, RAY AIRPORT; PROBLEMS, PART OF, ENGINE; TAKEOFF, FOLLOWED BY, CLIMB; CLIMB, FOLLOWED BY, PROBLEMS"
2685,1457,19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.,"LEFT PONTOON, LOCATED IN OR NEXT TO BODY OF WATER, POND; FUEL SIPHONED, HAS CAUSE, FUEL CAP; FUEL CAP, HAS EFFECT, FUEL SIPHONED; RAN OUT OF FUEL, PART OF, FERRY FLIGHT"
