question_id,method_type,question,ground_truth,predicted_answer,bleu_score,meteor_score,rouge_l_f1,rouge_1_f1,rouge_2_f1,semantic_similarity,exact_match,method
action_001,vanilla,What action could be taken when: #2 & 3 intakes leaking on r/h engine?,REMOVED & REPLACED GASKETS.,"**Action: Inspect and Replace Intake Seals**

- Remove engine cowling to access intake ducts.
- Inspect intake seals for wear, damage, or deterioration.
- Replace worn or damaged seals with new ones, ensuring proper fit and alignment.
- Reassemble and torque cowling fasteners to specified values.
- Perform a test run to verify seal integrity and engine performance.",0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,False,base_mistral-nemo-12b-it_kg_gs100
action_001,textchunkrag,What action could be taken when: #2 & 3 intakes leaking on r/h engine?,REMOVED & REPLACED GASKETS.,Replace #2 & 3 engine intake gaskets.,0.033031643180138064,0.0,0.4444444444444444,0.4444444444444444,0.0,0.36363636363636365,False,base_mistral-nemo-12b-it_kg_gs100
action_001,graphrag,What action could be taken when: #2 & 3 intakes leaking on r/h engine?,REMOVED & REPLACED GASKETS.,Replace #2 & 3 air intake seals.,0.033031643180138064,0.0,0.2222222222222222,0.2222222222222222,0.0,0.18181818181818182,False,base_mistral-nemo-12b-it_kg_gs100
action_002,vanilla,What action could be taken when: replace l/h engine torquemeter hoses?,LEAK CHECKED GOOD.,"Replace the left-hand engine torquemeter hoses with new, approved parts, ensuring they are properly routed and secured as per the aircraft maintenance manual.",0.0,0.0,0.0,0.0,0.0,0.0,False,base_mistral-nemo-12b-it_kg_gs100
action_002,textchunkrag,What action could be taken when: replace l/h engine torquemeter hoses?,LEAK CHECKED GOOD.,Replace both left and right engine torquemeter hoses.,0.0,0.0,0.0,0.0,0.0,0.0,False,base_mistral-nemo-12b-it_kg_gs100
action_002,graphrag,What action could be taken when: replace l/h engine torquemeter hoses?,LEAK CHECKED GOOD.,Replace left and right torquemeter hoses.,0.0,0.0,0.0,0.0,0.0,0.0,False,base_mistral-nemo-12b-it_kg_gs100
action_003,vanilla,What action could be taken when: cyl #3 rocker cover is leaking?,REMOVED & REPLACED CYL #3 ROCKER COVER GASKET.,**Inspect and replace the cylinder head gasket on cylinder #3.**,0.0,0.0,0.23529411764705882,0.3529411764705882,0.0,0.0,False,base_mistral-nemo-12b-it_kg_gs100
action_003,textchunkrag,What action could be taken when: cyl #3 rocker cover is leaking?,REMOVED & REPLACED CYL #3 ROCKER COVER GASKET.,Replace #3 cylinder head gasket.,0.029486824119076216,0.0,0.5,0.5,0.0,0.3076923076923077,False,base_mistral-nemo-12b-it_kg_gs100
action_003,graphrag,What action could be taken when: cyl #3 rocker cover is leaking?,REMOVED & REPLACED CYL #3 ROCKER COVER GASKET.,Tighten or replace the cylinder head bolts on cylinder #3.,0.0,0.0,0.23529411764705882,0.23529411764705882,0.0,0.0,False,base_mistral-nemo-12b-it_kg_gs100
action_004,vanilla,What action could be taken when: eng died after landing?,STARTED A/C USING FLOODED START PROCEDURE. A/C RAN NORM,Secure the engine and prepare for engine run.,0.0,0.0,0.0,0.0,0.0,0.0,False,base_mistral-nemo-12b-it_kg_gs100
action_004,textchunkrag,What action could be taken when: eng died after landing?,STARTED A/C USING FLOODED START PROCEDURE. A/C RAN NORM,Inspect and replace fuel vents.,0.0,0.0,0.0,0.0,0.0,0.0,False,base_mistral-nemo-12b-it_kg_gs100
action_004,graphrag,What action could be taken when: eng died after landing?,STARTED A/C USING FLOODED START PROCEDURE. A/C RAN NORM,Inspect and refuel fuel tanks.,0.0,0.0,0.0,0.0,0.0,0.0,False,base_mistral-nemo-12b-it_kg_gs100
action_005,vanilla,"What action could be taken when: engine overspeed, 2750 - 2760 rpm for 3-4 seconds?","RESEARCHED FDM CARD DATA, FOUND MAX RPM OF 2739.8; WHIC","""Immediately shut down the engine and perform a borescope inspection of the compressor blades.""",0.0,0.0,0.08,0.08,0.0,0.08695652173913043,False,base_mistral-nemo-12b-it_kg_gs100
action_005,textchunkrag,"What action could be taken when: engine overspeed, 2750 - 2760 rpm for 3-4 seconds?","RESEARCHED FDM CARD DATA, FOUND MAX RPM OF 2739.8; WHIC",Inspect and replace fuel boost switch.,0.0,0.0,0.0,0.0,0.0,0.0,False,base_mistral-nemo-12b-it_kg_gs100
action_005,graphrag,"What action could be taken when: engine overspeed, 2750 - 2760 rpm for 3-4 seconds?","RESEARCHED FDM CARD DATA, FOUND MAX RPM OF 2739.8; WHIC",**Immediate Action:** Investigate and rectify engine governor system to prevent overspeed.,0.0,0.0,0.0,0.0,0.0,0.0,False,base_mistral-nemo-12b-it_kg_gs100
action_006,vanilla,What action could be taken when: l/h eng #2 & 4 intake tube gaskets leaking?,REMOVED & REPLACED W/ NEW GASKETS.,Replace the leaking intake tube gaskets on engines #2 and #4.,0.0,0.0,0.25000000000000006,0.25000000000000006,0.0,0.0,False,base_mistral-nemo-12b-it_kg_gs100
action_006,textchunkrag,What action could be taken when: l/h eng #2 & 4 intake tube gaskets leaking?,REMOVED & REPLACED W/ NEW GASKETS.,Replace #2 & #4 engine intake tube gaskets.,0.02777619034011792,0.0,0.3333333333333333,0.3333333333333333,0.0,0.28571428571428575,False,base_mistral-nemo-12b-it_kg_gs100
