c5,c119_text,coreferences_human_readable,coreferences
19990213001379A,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK","['ACFT', 'IT']","[[[0, 0], [7, 7]]]"
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.       ","['WING FUEL TANK SUMPS', 'THEY']","[[[6, 9], [16, 16]]]"
19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.               ,"['HELICOPTER', 'SLING LOAD', 'LOAD']","[[[0, 0]], [[4, 5], [5, 5]]]"
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,"['NOSEWHEEL STEERING', 'BRAKES', '2 AIRCRAFT', 'THEY', 'CIRCUIT BREAKER HYDRAULIC PUMP', 'IT']","[[[3, 4], [6, 6]], [[9, 10]], [[14, 17]]]"
19860128014289I,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.        ,"['FORWARD CARGO DOOR', 'DOOR', 'AIRCRAFT', 'IT']","[[[0, 2], [2, 2]], [[5, 5]]]"
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED ","['MR. TIMOTHY ALLEN WELLS', 'PILOT IN COMMAND', 'A BELL HELICOPTER MODEL BHT-47-G5, N4754R']","[[[3, 6], [10, 12]], [[14, 20]]]"
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.                                           ,"['ONE ENGINE', 'IT', 'AUXILIARY FUEL SYSTEM']","[[[3, 4]], [[10, 12]]]"
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.    ,['PILOT'],"[[[0, 0]]]"
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,"['AIRCRAFT', 'AIRCRAFT ENGINE']","[[[3, 3], [13, 14]]]"
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.    ,"['FUEL CAP', 'FUEL']","[[[16, 17], [3, 3]]]"
19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER ","['THE ENGINE', 'IT']","[[[11, 12]]]"
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ","['COWLING', 'COWLING']","[[[1, 1], [1, 1]]]"
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,"['AIRCRAFT', 'IT', 'FLIGHT MANUAL', 'IT']","[[[0, 0]], [[6, 7]]]"
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,"['NR2 ENGINE', 'FUEL LEVER', 'NR2 ENGINE FIRE', 'SMOKE']","[[[0, 1], [11, 12]], [[0, 2], [21, 21]]]"
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.                             ,"['HIGH OIL TEMP', 'LOW ON OIL', 'MAIN GEAR', 'SHEARED MAIN GEAR']","[[[2, 4], [15, 17]], [[11, 12], [10, 12]]]"
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    ,"['BATTERY COMPARTMENT DOOR', 'IT', 'ANTENNA', 'IT', 'WINDSHIELD', 'IT']","[[[0, 2]], [[6, 6]], [[8, 8]]]"
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.         ,"['NOSE GEAR', 'IT', 'PIN', 'THAT']","[[[2, 3]], [[10, 10], [9, 9]]]"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,"['GROUND STAND BAGGAGE CART', 'IT', 'PARKED AIRCRAFT', 'FUSELAGE']","[[[0, 3]], [[11, 12], [18, 18]]]"
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,"['NORTHWEST AIRLINES DC-10 BOEING', 'IT', 'GATE B-52', 'IT', 'A CONTINENTAL AIRLINES D', 'IT']","[[[3, 6]], [[13, 14]], [[16, 19]]]"
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED  ,"['HE', 'HE']","[[[6, 6], [6, 6]]]"
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"['ACCESS DOOR', 'DOOR']","[[[6, 7], [7, 7]]]"
19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,"['NEWLY INSTALLED CARPETING', 'IT']","[[[10, 12]]]"
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.                              ,"['VEERED OFF TAXIWAY', 'WAS ADVISED DAMAGED PROP', 'CONTINUED TO LIT']","[[[0, 2], [8, 11], [13, 15]]]"
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"['FUEL CAP', 'CAP', 'GAS', 'IT', 'RIGHT TANK', 'WING']","[[[0, 1], [1, 1]], [[7, 7]], [[4, 5], [19, 19]]]"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING ","['AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V', 'IT']","[[[13, 22]]]"
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.   ,"['THE ENGINE', 'THE ENGINE', 'THE AIRCRAFT', 'THE AIRCRAFT', 'PILOT', 'PILOT', 'TANKS', 'TANKS', 'WATER IN FUEL', 'WATER IN FUEL']","[[[0, 1], [0, 1]], [[7, 8], [7, 8]], [], [[15, 15], [15, 15]], [[17, 19], [17, 19]]]"
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.    ,"['ENGINE', 'IT', 'A ROAD', 'THE EDGE', 'CARBURETOR BOWL', 'IT']","[[[0, 0]], [[8, 9], [13, 14]], [[20, 21]]]"
19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,"['LOST CONTROL', 'ROLLED BOTH WAYS', 'SPIRAL TO IMPACT', 'NEGLECTED TO CONNECT RIGHT AILERON']","[[[0, 1], [8, 10], [12, 14], [16, 20]]]"
19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,"['THE AIRCRAFT', 'THE GEAR', 'THE NOSE BLOCK']","[[[2, 3], [10, 11], [15, 17]]]"
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,"['PILOT', 'FAILED TO DETACH TRAILER TIE DOWN FROM SKID', 'LOST CONTROL AND ROLLED ON LIFT OFF', 'PILOT FAILED TO FULLY DETAC']","[[[20, 20], [0, 7], [9, 15], [20, 24]]]"
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,"['AIRCRAFT', 'IT']","[[[0, 0]]]"
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.           ,"['PILOT', 'DID NOT VISUALLY INSPECT FUEL TANKS']","[[[11, 11], [12, 17]]]"
19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,[],[]
19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,['PILOT'],"[[[0, 0]]]"
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,"['UNABLE TO STAY AIRBORNE ON TAKEOFF', 'ABORTED', 'GROUND LOOPED INTO A TREE TO AVOID OVERRUN', 'MAG SWITCH', 'ONE MAG']","[[[0, 5], [7, 7], [9, 16]], [[18, 19], [21, 22]]]"
19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,"['THE PILOT', 'HE']","[[[5, 6], [7, 7]]]"
19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.                                   ,"['NOSE GEAR', 'IT', 'PIN', 'WAS INSTALLED']","[[[0, 1]], [[11, 11], [12, 13]]]"
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR ","['A SIKORSKY S-70A, N160LA', 'THE APU DOOR', 'A MAIN ROTOR BLADE']","[[[3, 7], [13, 15], [17, 20]]]"
20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,"['THE PILOT', 'THEY', 'THE AIRCRAFT', 'A POINT WHERE THE TAXIWAY']","[[[3, 4]], [[7, 8], [18, 22]]]"
19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.    ,"['IT', 'THERE', 'SEATS', 'OXYGEN MASKS', 'PASSENGERS', 'ONBOARD']","[[[2, 2], [5, 5]], [[10, 10], [12, 13]], [[15, 15], [16, 16]]]"
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,"['THE CARGO DOOR', 'IT', 'MR. BOWEN', 'HE', 'RUNWAY CONDITIONS', 'THEY', ""STEVEN'S VILLAGE"", 'IT']","[[[2, 4]], [[10, 11]], [[13, 14]], [[16, 18]]]"
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,"['TIRED TAXI', 'IT', 'PILOT', 'RAMP PERSON', 'TIEDOWN CHAINS', 'SKIDS']","[[[0, 1]], [[10, 10], [13, 14]], [[3, 4], [16, 16]]]"
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,"['BAGGAGE CART', 'CART']","[[[0, 1], [1, 1]]]"
