id,entities_predicted,qids_predicted
19990213001379A,"['ACFT (Aircraft)', 'TAKE OFF', 'DITCH', 'TREE']","['Q11436', 'Q1079033', 'Q12336300', 'Q10884']"
19800217031649I,"['TAKEOFF', 'ENGINE', 'WING FUEL TANK', 'SUMP', 'PREFLIGHT']","['Q744431', 'Q4412', 'Q3003116', 'Q764412', 'Q723431']"
19790720021329A,"['Helicopter', 'Sling load', 'Trees', 'Preflight']","['Q744431', 'Q7532480', 'Q10884', 'Q7195413']"
19841214074599I,"['TAXIING', 'NOSEWHEEL STEERING', 'BRAKES', 'AIRCRAFT', 'FENCE', 'CIRCUIT BREAKER', 'HYDRAULIC PUMP']","['Q7643069', 'Q6982931', 'Q107715', 'Q11436', 'Q148993', 'Q847556', 'Q597291']"
19860128014289I,"['aircraft', 'warning light']","['Q11436', 'Q7979300']"
20000215010329A,['Bell Helicopter'],['Q816459']
19801116083749I,"['Forced landing', 'Engine', 'Ice']","['Q545666', 'Q441661', 'Q23397']"
19850315007389A,"['PILOT', 'ALTITUDE', 'ICING', 'CONTROL', 'ALTIMETER', 'IFR', 'ICING FORECAST']","['Q42973', 'Q186352', 'Q131557', 'Q11631510', 'Q125928', 'Q597745', 'Q2297970']"
20070630826079I,"['aircraft', 'Ray Airport', 'takeoff', 'engine']","['Q11436', 'Q7276383', 'Q287329', 'Q44167']"
19900425011659A,"['Ferry flight', 'Pontoon', 'Pond', 'Fuel cap', 'Fuel']","['Q5432624', 'Q848313', 'Q283', 'Q5463943', 'Q314']"
19991230042089A,"['pilot', 'engine', 'takeoff']","['Q42973', 'Q44167', 'Q744431']"
19820725041999I,"['cowling', 'takeoff', 'landing', 'windshield', 'stabilizer']","['Q3006146', 'Q744431', 'Q647447', 'Q170564', 'Q761433']"
19940412011509I,"['Aircraft', 'Descent', 'Flight manual', 'Truck', 'Windshield', 'Ground', 'Landed']","['Q11436', 'Q11696', 'Q545666', 'Q323169', 'Q131857', 'Q132263', 'Q644687']"
19971226042729I,"['Engine fire', 'Passengers', 'Gate', 'Fuel lever', 'Smoke']","['Q5411880', 'Q376799', 'Q695850', 'Q3072041', 'Q597215']"
19950619021589I,"['Oil', 'Main gear', 'Oil']","['Q12140', 'Q2747450', 'Q12140']"
19940815046149I,"['Antenna', 'Windshield']","['Q131410', 'Q170564']"
19860228038269I,"['Nose gear', 'Pin']","['Q7074370', 'Q192939']"
19790718019229I,"['Baggage cart', 'Aircraft', 'Fuselage']","['Q81096', 'Q11436', 'Q83490']"
20000625032189I,"['Northwest Airlines', 'DC-10', 'Boeing', 'Continental Airlines']","['Q1338964', 'Q837171', 'Q2283', 'Q11298']"
19860530030499A,['Air intake plugs'],['Q63140000']
19821117066379I,"['Pilot', 'Access door', 'Fuselage']","['Q42973', 'Q21025364', 'Q83495']"
19810303007119A,"['runway', 'airplane', 'carpeting', 'rudder pedal']","['Q13226383', 'Q11436', 'Q163446', 'Q7374753']"
19950602032329I,"['TAXIWAY', 'TAXIWAY LIGHT', 'PROP', 'LIT']","['Q695850', 'Q695850', 'Q559357', 'Q649708']"
19901101064289I,"['FUEL CAP', 'RIGHT TANK', 'GAS', 'TAXIING', 'FLIGHT', 'WING']","['Q5455400', 'Q106886293', 'Q1480', 'Q1316963', 'Q11436', 'Q212059']"
20050713014239I,"['July 13, 2005', 'MST (Mountain Standard Time)', 'Raytheon Aircraft Company', 'B36TC (Bonanza)']","['Q5780', 'Q23397', 'Q7300083', 'Q486274']"
19860706034879A,"['ENGINE', 'AIRCRAFT', 'PILOT', 'WATER', 'FUEL']","['Q441833', 'Q11436', 'Q42973', 'Q283', 'Q314']"
19840121015319I,"['ENGINE', 'TAKEOFF', 'ROAD', 'ICE', 'CARBURETOR']","['Q44183', 'Q744431', 'Q34442', 'Q10908', 'Q834150']"
19950527014439A,"['Climbout', 'Tow release', 'Aileron']","['Q1096384', 'Q7804683', 'Q834924']"
19960322013629I,"['aircraft', 'maintenance', 'gear']","['Q11436', 'Q630907', 'Q183405']"
19960504009509A,"['skid', 'lift off', 'pilot']","['Q1133851', 'Q2916861', 'Q42973']"
19790211002709A,"['aircraft', 'runway', 'snow bank', 'frost', 'airframe']","['Q11436', 'Q13226383', 'Q7563783', 'Q1311', 'Q467057']"
19850418016709I,"['ENGINE POWER FAILURE', 'AEROBATICS', 'LANDED', 'FIELD', 'PILOT', 'VISUALLY INSPECT', 'FUEL TANKS']","['Q3006146', 'Q83486', 'Q2650491', 'Q188869', 'Q42973', 'Q7644696', 'Q381413']"
19780913017419I,['Takeoff'],['Q107696']
19781113027039I,"['PILOT', 'TAXIWAY']","['Q42973', 'Q1064850']"
19870606018859A,"['takeoff', 'tree', 'overrun', 'magneto switch']","['Q14350', 'Q10884', 'Q7097850', 'Q6782480']"
19990714022959I,['Front Range Airport'],['Q5463483']
19870319012959I,"['Nose gear', 'Takeoff', 'Pin']","['Q834394', 'Q11696', 'Q192875']"
20050504010229A,"['SIKORSKY S-70A', 'APU (Auxiliary Power Unit)', 'MAIN ROTOR BLADE']","['Q3498370', 'Q287896', 'Q6783945']"
20050429009279I,"['pilot', 'aircraft', 'cargo', 'taxiway']","['Q42973', 'Q11436', 'Q8074', 'Q2699202']"
19890723054159I,"['seats', 'oxygen masks', 'passengers']","['Q1067164', 'Q710647', 'Q376799']"
19970523014439I,"['Cargo door', 'Takeoff', 'Runway', ""Steven's Village""]","['Q1048069', 'Q1166791', 'Q13226383', 'Q7592903']"
19970908038069A,"['taxi', 'chains', 'pilot', 'ramp', 'skids', 'wind']","['Q42889', 'Q131696', 'Q1649502', 'Q1137809', 'Q753821', 'Q131696']"
19781108022239I,"['BAGGAGE CART', 'AIRCRAFT', 'JET BLAST', 'BRAKES']","['Q486747', 'Q11436', 'Q618123', 'Q107715']"
19760606015529A,['Glider'],['Q264378']
20051009024969I,"['HELICOPTER', 'ENGINE', 'POWER CHECKS', 'PILOT', 'CREWMEMBER']","['Q1610', 'Q4412', 'Q22988604', 'Q164950', 'Q1853510']"
19930530020029I,"['pilot', 'aircraft', 'takeoff', 'seat', 'acceleration']","['Q42973', 'Q11436', 'Q744431', 'Q15026', 'Q11376']"
19801230089799I,"['Nose strut', 'Airplane', 'Bellcrank']","['Q106886379', 'Q11436', 'Q488180']"
