id,sample,entities_predicted,entity_types_predicted
19990213001379A,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK","['ACFT', 'TAKE OFF', 'DITCH', 'TREE']","['VEHICLE', 'PHASE', 'LOCATION', 'LOCATION']"
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.       ","['TAKEOFF', 'ENGINE', 'WING FUEL TANK SUMPS', 'PREFLIGHT']","['PHASE', 'SYSTEM', 'SYSTEM', 'PROCEDURE']"
19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.               ,"['HELICOPTER', 'SLING LOAD', 'TOOK OFF', 'TREES', 'PREFLIGHT']","['VEHICLE', 'OBJECT', 'PHASE', 'OBJECT', 'PROCEDURE']"
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,"['TAXIING', 'NOSEWHEEL STEERING', 'BRAKES', 'AIRCRAFT', 'FENCE', 'CIRCUIT BREAKER', 'HYDRAULIC PUMP']","['PHASE', 'SYSTEM', 'SYSTEM', 'VEHICLE', 'STRUCTURE', 'COMPONENT', 'COMPONENT']"
19860128014289I,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.        ,"['FORWARD CARGO DOOR', 'AIRCRAFT', 'TOOK OFF', 'WARNING LIGHT']","['COMPONENT', 'VEHICLE', 'PHASE', 'SYSTEM']"
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED ","['MR. TIMOTHY ALLEN WELLS', 'PILOT IN COMMAND', 'BELL HELICOPTER MODEL BHT-47-G5', 'N4754R']","['PERSON', 'ROLE', 'VEHICLE', 'VEHICLE IDENTIFIER']"
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.                                           ,"['FORCED LANDING', 'ENGINE', 'AUXILIARY FUEL SYSTEM']","['PHASE', 'SYSTEM', 'SYSTEM']"
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.    ,"['PILOT', 'ALTITUDE', 'ICING', 'ALTIMETER', 'ICING FORECAST']","['PERSON', 'MEASUREMENT', 'WEATHER', 'INSTRUMENT', 'WEATHER']"
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,"['AIRCRAFT', 'RAY AIRPORT', 'TAKEOFF', 'CLIMB', 'AIRCRAFT ENGINE']","['VEHICLE', 'LOCATION', 'PHASE', 'PHASE', 'SYSTEM']"
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.    ,"['FERRY FLIGHT', 'LEFT PONTOON', 'LANDING', 'POND', 'FUEL CAP']","['PHASE', 'VEHICLE PART', 'PHASE', 'LOCATION', 'SYSTEM']"
19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER ","['PILOT', 'TAKEOFF', 'ENGINE']","['PERSON', 'PHASE', 'SYSTEM']"
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ","['COWLING', 'TAKEOFF', 'WINDSHIELD', 'STABILIZER']","['COMPONENT', 'PHASE', 'COMPONENT', 'COMPONENT']"
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,"['AIRCRAFT', 'DESCENT', 'FLIGHT MANUAL', 'TRUCK WINDSHIELD']","['VEHICLE', 'PHASE', 'DOCUMENT', 'VEHICLE PART']"
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,"['NR2 ENGINE', 'LOADING PASSENGERS', 'GATE', 'FUEL LEVER', 'FLIGHT IDLE']","['SYSTEM', 'PROCEDURE', 'LOCATION', 'COMPONENT', 'STATE']"
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.                             ,"['DEPARTING', 'HIGH OIL TEMP', 'LANDED', 'AIRPOR', 'MAIN GEAR', 'OIL']","['PHASE', 'SYSTEM', 'PHASE', 'LOCATION', 'COMPONENT', 'SUBSTANCE']"
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    ,"['BATTERY COMPARTMENT DOOR', 'ANTENNA', 'WINDSHIELD']","['COMPONENT', 'COMPONENT', 'COMPONENT']"
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.         ,"['NOSE GEAR', 'PIN', 'MAINTENANCE']","['SYSTEM', 'COMPONENT', 'PROCEDURE']"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,"['GROUND STAND BAGGAGE CART', 'BRAKES', 'AIRCRAFT', 'FUSELAGE']","['EQUIPMENT', 'SYSTEM', 'VEHICLE', 'PART']"
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,"['NORTHWEST AIRLINES', 'DC-10', 'BOEING', 'GATE B-52', 'CONTINENTAL AIRLINES']","['ORGANIZATION', 'VEHICLE', 'MANUFACTURER', 'LOCATION', 'ORGANIZATION']"
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED  ,"['ENGINE', 'AIR INTAKE PLUGS']","['SYSTEM', 'COMPONENT']"
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"['PILOT', 'ACCESS DOOR', 'FUSELAGE']","['PERSON', 'COMPONENT', 'COMPONENT']"
19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,"['RUNWAY', 'LANDING', 'AIRPLANE', 'CARPETING', 'RUDDER PEDAL']","['LOCATION', 'PHASE', 'VEHICLE', 'COMPONENT', 'COMPONENT']"
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.                              ,"['TAXIWAY', 'TAXIWAY LIGHT', 'PROP', 'LIT']","['LOCATION', 'OBJECT', 'SYSTEM', 'LOCATION']"
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"['FUEL CAP', 'RIGHT TANK', 'GAS', 'TAXIING', 'CAP', 'FLIGHT', 'WING']","['COMPONENT', 'COMPONENT', 'SUBSTANCE', 'PHASE', 'COMPONENT', 'PHASE', 'COMPONENT']"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING ","['JULY 13, 2005', '1535 MST', 'RAYTHEON AIRCRAFT CO.', 'B36TC', 'BONANZA', 'N3042V', 'HAVENS LEASING']","['DATE', 'TIME', 'ORGANIZATION', 'VEHICLE', 'VEHICLE', 'REGISTRATION', 'ORGANIZATION']"
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.   ,"['ENGINE', 'TAKEOFF', 'AIRCRAFT', 'LANDING', 'PILOT', 'TANKS', 'WATER', 'FUEL']","['SYSTEM', 'PHASE', 'VEHICLE', 'PHASE', 'PERSON', 'COMPONENT', 'SUBSTANCE', 'SUBSTANCE']"
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.    ,"['ENGINE', 'TAKEOFF', 'CARBURETOR BOWL']","['SYSTEM', 'PHASE', 'SYSTEM']"
19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,"['CLIMBOUT', 'TOW RELEASE', 'SPIRAL', 'RIGHT AILERON']","['PHASE', 'PROCEDURE', 'MANEUVER', 'SYSTEM']"
19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,"['AIRCRAFT', 'MAINTENANCE', 'GEAR', 'NOSE BLOCK']","['VEHICLE', 'PROCEDURE', 'SYSTEM', 'SYSTEM']"
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,"['TRAILER TIE DOWN', 'SKID', 'LIFT OFF', 'PILOT']","['EQUIPMENT', 'VEHICLE PART', 'PHASE', 'PERSON']"
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,"['AIRCRAFT', 'RUNWAY', 'SNOW BANK', 'AIRFRAME']","['VEHICLE', 'LOCATION', 'LOCATION', 'SYSTEM']"
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.           ,[],"['SYSTEM', 'ACTIVITY', 'LOCATION', 'PERSON', 'SYSTEM']"
19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,"['TAKEOFF', 'FRONT BAGGAGE DOOR']","['PHASE', 'COMPONENT']"
19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,"['PILOT', 'DITCH', 'TAXIWAY']","['PERSON', 'OBSTACLE', 'LOCATION']"
