id,sample,entities_predicted,qids_predicted
19990213001379A,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK",['ACFT'],['Q11436']
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.","['TAKEOFF', 'ENGINE', 'FUEL TANK', 'WING', 'PREFLIGHT']","['Q854248', 'Q1', 'Q12419', 'Q14445', 'Q168494']"
19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.,"['HELICOPTER', 'TREES', 'PREFLIGHT']","['Q121', 'Q4765', 'Q189253']"
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,"['TAXIING', 'BRAKES', 'AIRCRAFT', 'FENCE']","['Q854249', 'Q1', 'Q11436', 'Q1321657']"
19860128014289I,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.,['AIRCRAFT'],['Q214300']
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED","['BELL HELICOPTER MODEL BHT-47-G5', 'N4754R']","['Q1066548', 'Q1105559']"
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.,"['ENGINE', 'ICE']","['Q1', 'Q16758']"
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.,"['PILOT', 'ALTITUDE', 'ICING']","['Q82964', 'Q84495', 'Q182594']"
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,"['AIRCRAFT', 'RAY AIRPORT', 'TAKEOFF', 'ENGINE']","['Q11436', 'Q1561115', 'Q854248', 'Q1']"
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.,"['POND', 'PONTOON']","['Q8387', 'Q175626']"
19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER","['TAKEOFF', 'ENGINE', 'PILOT']","['Q854248', 'Q1', 'Q5']"
