id,sample,entities_predicted,entity_types_predicted
19990213001379A,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK",[],[]
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.       ","['ENGINE', 'PREFLIGHT']","['SYSTEM', 'PROCEDURE']"
19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.               ,"['HELICOPTER', 'SLING LOAD', 'CRASH', 'TREES', 'PREFLIGHT']",[]
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,"['NOSEWHEEL', 'STEERING', 'BRAKES', 'AIRCRAFT', 'CIRCUIT BREAKER', 'HYDRAULIC PUMP']",[]
19860128014289I,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.        ,"['AIRCRAFT', 'OBJECTS', 'WARNING LIGHT']","['VEHICLE', 'SUBJECT', 'LIGHT']"
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED ","['MR. TIMOTHY ALLEN WELLS', 'PILOT', 'BELL HELICOPTER', 'MODEL BHT-47-G5', 'N4754R']","['PERSON', 'ROLE', 'VEHICLE', 'VEHICLE SPECIFICATION', 'Aircraft Identifier']"
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.                                           ,"['ENGINE', 'AUXILIARY FUEL SYSTEM', 'AIRCRAFT']","['SYSTEM', 'SYSTEM', 'VEHICLE']"
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.    ,"['PILOT', 'ICING', 'ALTITER (REDACTED)', 'FORECAST']",[]
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,"['AIRCRAFT', 'RAY AIRPORT', 'CLIMB', 'PILO']",[]
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.    ,"['FERRY FLIGHT', 'PONTOON', 'LANDING', 'FUEL CAP', 'FUEL SIPHON']",[]
19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER ","['PILOT', 'TAKEOFF', 'ENGINE']","['PERSON', 'PHASE', 'SYSTEM']"
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ",[],[]
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,"['AIRCRAFT', 'FLIGHT MANUAL', 'TRUCK', 'GROUND']",[]
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,"['NR2', 'ENGINE', 'FUEL LEVER']",[]
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.                             ,[],[]
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    ,[],[]
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.         ,"['NOSE GEAR', 'PIN']",['SYSTEM']
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,[],[]
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,[],[]
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED  ,"['ENGINE', 'OIL', 'AIR INTAKE PLUGS', 'NOSE']",[]
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"['PILOT', 'DOOR', 'FUSELAGE']",[]
19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,[],"['LOCATION', 'VEHICLE']"
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.                              ,"['TAXIWAY', 'LIGHT', 'PROP']",[]
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"['FUEL CAP', 'TANK', 'GAS', 'REPLACED CAP']",[]
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING ","['JULY 13', '2005']","['DATE', 'DATE']"
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.   ,"['ENGINE', 'TAKEOFF', 'AIRCRAFT', 'PILOT', 'TANKS', 'WATER']","['SYSTEM', 'PHASE', 'VEHICLE', 'PERSON', 'SYSTEM', 'SUBSTANCE']"
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.    ,"['ENGINE', 'TAKEOFF', 'CARBURETOR BOWL']","['SYSTEM', 'PHASE', 'LOCATION']"
19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,"['CLIMBOUT', 'TOW RELEASE', 'SPIRAL', 'RIGHT AILERON']","['PHASE', 'EVENT', ' EVENT', 'COMPONENT']"
19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,"['AIRCRAFT', 'GEAR', 'NOSE']",[]
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,"['TRAILER', 'SKID', 'PILOT']",[]
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,"['AIRCRAFT', 'RUNWAY']","['VEHICLE', 'LOCATION']"
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.           ,"['ENGINE', 'AEROBATICS', 'FIELD']","['SYSTEM', 'ACTIVITY', 'LOCATION']"
19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,['FRONT BAGGAGE DOOR'],['COMPARTMENT']
19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,"['PILOT', 'DITCH', 'TAXIWAY']",[]
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,"['TAKEOFF', 'LOOP', 'TREE']","['PHASE', 'MOVEMENT', 'LOCATION']"
19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,"['FRONT RANGE AIRPORT', 'PILOT']","['LOCATION', 'PERSON']"
19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.                                   ,"['NOSE GEAR', 'PIN']","['PART', 'OBJECT']"
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR ",[],[]
20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,"['PILOT', 'AIRCRAFT', 'TAXIWAY']",[]
19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.    ,[],[]
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,"['CARGO DOOR', ""STEVEN'S VILLAGE""]","['VEHICLE FEATURE', 'LOCATION']"
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,"['TIRED TAXI', 'PILOT', 'RAMP', 'SKIDS']","['VEHICLE', 'PERSON', 'LOCATION', 'DEVICE']"
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,"['BAGGAGE CART', 'JET BLAST', 'AIRCRAFT', 'BRAKES']",[]
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,"['GLIDER', 'NOSE', 'HIGH ATTITUDE']",[]
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,[],[]
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"['PILOT', 'AIRCRAFT', 'PILOTS SEAT']","['PERSON', 'VEHICLE', 'PART OF VEHICLE']"
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED","['FLAT NOSE STRUT', 'AIRPLANE STRUCTURE', 'BELLCRANK']",[]
19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,"['POWER', 'SCENE', 'FUEL', 'SLOPE']","['PHENOMENON', 'LOCATION', 'SYSTEM', 'LOCATION']"
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,"['ENGINE', 'LOCATION', 'VEHICLE', 'OIL LEAK']",[]
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ","['2500 FT', 'SOD STRIP', 'WIND', 'TREES']",[]
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.  ,"['CRASH', 'ENGINE', 'TAKEOFF', 'AIRCRAFT', 'ANNUAL INSPECTION']","['EVENT', 'SYSTEM', 'PHASE', 'VEHICLE', 'PROCEDURE']"
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","['PILOT', 'CESSNA 207', 'BETHEL AIRPORT', 'ENGINE']","['PERSON', 'Aircraft Model', 'LOCATION', 'SYSTEM']"
19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.     ,"['AIRPORT', 'TREE']","['LOCATION', 'LOCATION']"
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.                       ,[],['AIRPORT CODE']
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG","['(-23)AIRCRAFT', 'RPM LOSS']",[]
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.  ,"['NOSE', 'BAGGAGE', 'DOOR', 'TAKEOFF', 'BAGGAGE', 'LEFT PROP', 'BELWO', 'UMC', 'SEA', 'ICE', 'FLY', 'DOOR']",[]
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.              ,"['ENGINE', 'CLIMBOUT', 'CITY STREET', 'SPARK PLUGS', 'PRIMER']",[]
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH","['CFI', 'NOSE LANDING GEAR', 'GREEN LIGHT']","['PERSON', 'SYSTEM', 'LIGHT']"
